fold,participant,query_index,family,context,donor,selected_codes,observable_only
3,1,0,head_motion,WRONG,21,p21:04;p21:12;p21:13;p21:03;p21:07;p21:14;p21:15;p21:01,1
3,1,0,head_motion,WRONG,22,p22:08;p22:05;p22:14;p22:06;p22:13;p22:09;p22:11;p22:00,1
3,1,0,head_motion,WRONG,29,p29:03;p29:15;p29:12;p29:01;p29:06;p29:02;p29:09;p29:04,1
3,1,0,head_motion,POP,,p06:00;p30:03;p05:04;p18:08;p13:14;p08:11;p30:05;p27:12,1
3,1,0,head_motion,MATCH,1,p01:07;p01:01;p01:03;p01:14;p01:00;p01:10;p01:12;p01:06,1
3,1,0,chewing,WRONG,21,p21:04;p21:03;p21:07;p21:11;p21:14;p21:13;p21:15;p21:01,1
3,1,0,chewing,WRONG,22,p22:04;p22:06;p22:14;p22:13;p22:09;p22:05;p22:00;p22:11,1
3,1,0,chewing,WRONG,29,p29:06;p29:03;p29:13;p29:15;p29:09;p29:07;p29:02;p29:04,1
3,1,0,chewing,POP,,p08:10;p13:14;p08:11;p13:10;p27:12;p27:07;p05:04;p18:08,1
3,1,0,chewing,MATCH,1,p01:01;p01:07;p01:14;p01:03;p01:00;p01:10;p01:12;p01:06,1
3,1,0,tongue,WRONG,21,p21:06;p21:07;p21:13;p21:03;p21:14;p21:12;p21:01;p21:15,1
3,1,0,tongue,WRONG,22,p22:03;p22:12;p22:14;p22:05;p22:13;p22:09;p22:11;p22:00,1
3,1,0,tongue,WRONG,29,p29:15;p29:06;p29:03;p29:12;p29:13;p29:01;p29:04;p29:09,1
3,1,0,tongue,POP,,p08:11;p08:06;p18:11;p27:12;p30:03;p13:14;p27:07;p18:05,1
3,1,0,tongue,MATCH,1,p01:08;p01:14;p01:02;p01:10;p01:12;p01:03;p01:00;p01:06,1
3,1,0,swallowing,WRONG,21,p21:11;p21:12;p21:07;p21:03;p21:13;p21:15;p21:14;p21:01,1
3,1,0,swallowing,WRONG,22,p22:05;p22:13;p22:06;p22:14;p22:12;p22:09;p22:11;p22:00,1
3,1,0,swallowing,WRONG,29,p29:03;p29:12;p29:15;p29:01;p29:06;p29:02;p29:09;p29:04,1
3,1,0,swallowing,POP,,p06:00;p18:08;p30:03;p08:11;p30:05;p05:04;p13:14;p27:12,1
3,1,0,swallowing,MATCH,1,p01:11;p01:02;p01:14;p01:03;p01:00;p01:10;p01:12;p01:06,1
3,1,0,facial_emg,WRONG,21,p21:06;p21:12;p21:03;p21:07;p21:14;p21:13;p21:15;p21:01,1
3,1,0,facial_emg,WRONG,22,p22:06;p22:13;p22:12;p22:05;p22:09;p22:14;p22:11;p22:00,1
3,1,0,facial_emg,WRONG,29,p29:02;p29:13;p29:12;p29:06;p29:15;p29:01;p29:04;p29:09,1
3,1,0,facial_emg,POP,,p05:04;p27:07;p30:05;p18:08;p18:11;p27:12;p30:03;p13:14,1
3,1,0,facial_emg,MATCH,1,p01:14;p01:08;p01:02;p01:03;p01:10;p01:12;p01:00;p01:06,1
3,1,1,head_motion,WRONG,21,p21:07;p21:15;p21:02;p21:10;p21:11;p21:01;p21:03;p21:05,1
3,1,1,head_motion,WRONG,22,p22:14;p22:04;p22:07;p22:10;p22:08;p22:15;p22:01;p22:09,1
3,1,1,head_motion,WRONG,29,p29:06;p29:12;p29:03;p29:11;p29:05;p29:00;p29:10;p29:08,1
3,1,1,head_motion,POP,,p06:05;p13:07;p08:02;p23:06;p23:08;p08:00;p14:15;p05:00,1
3,1,1,head_motion,MATCH,1,p01:03;p01:00;p01:09;p01:01;p01:14;p01:08;p01:04;p01:15,1
