fold,participant,query_index,family,context,donor,selected_codes,observable_only
1,8,0,head_motion,WRONG,9,,1
1,8,0,head_motion,WRONG,13,p13:05;p13:06;p13:02;p13:04;p13:01;p13:15;p13:11;p13:08,1
1,8,0,head_motion,WRONG,16,p16:13;p16:15;p16:05;p16:03;p16:10;p16:06;p16:08;p16:09,1
1,8,0,head_motion,POP,,p21:00;p21:08;p30:15;p05:14;p21:02;p23:10;p14:13;p06:01,1
1,8,0,head_motion,MATCH,8,p08:09;p08:07;p08:12;p08:08;p08:13;p08:05;p08:06;p08:04,1
1,8,0,chewing,WRONG,9,,1
1,8,0,chewing,WRONG,13,p13:00;p13:01;p13:02;p13:15;p13:06;p13:08;p13:11;p13:04,1
1,8,0,chewing,WRONG,16,p16:04;p16:05;p16:03;p16:15;p16:06;p16:08;p16:10;p16:09,1
1,8,0,chewing,POP,,p14:13;p29:08;p23:10;p21:08;p14:01;p18:13;p21:02;p06:01,1
1,8,0,chewing,MATCH,8,p08:07;p08:08;p08:13;p08:05;p08:01;p08:12;p08:06;p08:04,1
1,8,0,tongue,WRONG,9,,1
1,8,0,tongue,WRONG,13,p13:05;p13:06;p13:02;p13:01;p13:11;p13:04;p13:15;p13:08,1
1,8,0,tongue,WRONG,16,p16:13;p16:05;p16:15;p16:03;p16:06;p16:10;p16:08;p16:09,1
1,8,0,tongue,POP,,p14:01;p21:08;p30:15;p05:14;p23:10;p21:02;p14:13;p06:01,1
1,8,0,tongue,MATCH,8,p08:06;p08:07;p08:08;p08:01;p08:13;p08:05;p08:12;p08:04,1
1,8,0,swallowing,WRONG,9,,1
1,8,0,swallowing,WRONG,13,p13:00;p13:01;p13:02;p13:15;p13:06;p13:08;p13:11;p13:04,1
1,8,0,swallowing,WRONG,16,p16:04;p16:05;p16:03;p16:15;p16:06;p16:08;p16:10;p16:09,1
1,8,0,swallowing,POP,,p14:13;p29:08;p23:10;p21:08;p14:01;p18:13;p21:02;p06:01,1
1,8,0,swallowing,MATCH,8,p08:07;p08:08;p08:13;p08:05;p08:01;p08:12;p08:06;p08:04,1
1,8,0,facial_emg,WRONG,9,,1
1,8,0,facial_emg,WRONG,13,p13:05;p13:00;p13:02;p13:11;p13:04;p13:15;p13:01;p13:08,1
1,8,0,facial_emg,WRONG,16,p16:03;p16:11;p16:07;p16:05;p16:10;p16:06;p16:09;p16:08,1
1,8,0,facial_emg,POP,,p14:01;p27:05;p05:14;p14:13;p21:08;p23:10;p21:02;p06:01,1
1,8,0,facial_emg,MATCH,8,p08:09;p08:01;p08:06;p08:13;p08:12;p08:05;p08:07;p08:04,1
1,8,1,head_motion,WRONG,9,,1
1,8,1,head_motion,WRONG,13,p13:00;p13:01;p13:03;p13:09;p13:11;p13:13;p13:08;p13:05,1
1,8,1,head_motion,WRONG,16,p16:10;p16:13;p16:05;p16:01;p16:00;p16:06;p16:11;p16:08,1
1,8,1,head_motion,POP,,p30:08;p06:14;p01:11;p26:09;p30:10;p23:09;p23:05;p21:12,1
1,8,1,head_motion,MATCH,8,p08:09;p08:00;p08:10;p08:15;p08:02;p08:11;p08:14;p08:07,1
1,8,1,chewing,WRONG,9,,1
1,8,1,chewing,WRONG,13,p13:00;p13:11;p13:03;p13:01;p13:10;p13:09;p13:08;p13:05,1
1,8,1,chewing,WRONG,16,p16:04;p16:00;p16:06;p16:13;p16:10;p16:08;p16:01;p16:05,1
1,8,1,chewing,POP,,p01:14;p01:13;p30:03;p02:11;p30:00;p21:12;p23:09;p30:10,1
1,8,1,chewing,MATCH,8,p08:15;p08:01;p08:02;p08:09;p08:13;p08:00;p08:14;p08:07,1
1,8,1,tongue,WRONG,9,,1
1,8,1,tongue,WRONG,13,p13:13;p13:00;p13:03;p13:11;p13:01;p13:09;p13:08;p13:05,1
1,8,1,tongue,WRONG,16,p16:10;p16:13;p16:05;p16:01;p16:11;p16:06;p16:00;p16:08,1
1,8,1,tongue,POP,,p30:00;p26:09;p06:14;p02:01;p21:12;p01:11;p23:09;p30:10,1
1,8,1,tongue,MATCH,8,p08:01;p08:15;p08:02;p08:09;p08:10;p08:11;p08:14;p08:07,1
1,8,1,swallowing,WRONG,9,,1
1,8,1,swallowing,WRONG,13,p13:00;p13:11;p13:03;p13:01;p13:10;p13:09;p13:08;p13:05,1
1,8,1,swallowing,WRONG,16,p16:04;p16:00;p16:06;p16:13;p16:10;p16:08;p16:01;p16:05,1
1,8,1,swallowing,POP,,p01:14;p01:13;p30:03;p02:11;p30:00;p21:12;p23:09;p30:10,1
1,8,1,swallowing,MATCH,8,p08:15;p08:01;p08:02;p08:09;p08:13;p08:00;p08:14;p08:07,1
1,8,1,facial_emg,WRONG,9,,1
1,8,1,facial_emg,WRONG,13,p13:10;p13:01;p13:03;p13:11;p13:00;p13:09;p13:08;p13:05,1
1,8,1,facial_emg,WRONG,16,p16:13;p16:10;p16:05;p16:01;p16:06;p16:08;p16:11;p16:00,1
1,8,1,facial_emg,POP,,p06:14;p30:08;p23:09;p21:12;p30:00;p01:11;p02:01;p30:10,1
1,8,1,facial_emg,MATCH,8,p08:10;p08:00;p08:01;p08:15;p08:11;p08:09;p08:14;p08:07,1
1,8,2,head_motion,WRONG,9,,1
1,8,2,head_motion,WRONG,13,p13:06;p13:12;p13:13;p13:10;p13:05;p13:09;p13:00;p13:03,1
1,8,2,head_motion,WRONG,16,p16:07;p16:01;p16:08;p16:10;p16:13;p16:05;p16:14;p16:12,1
1,8,2,head_motion,POP,,p18:07;p18:01;p26:05;p30:06;p29:01;p02:15;p27:09;p18:05,1
1,8,2,head_motion,MATCH,8,p08:00;p08:15;p08:08;p08:13;p08:06;p08:05;p08:12;p08:14,1
1,8,2,chewing,WRONG,9,,1
1,8,2,chewing,WRONG,13,p13:02;p13:07;p13:15;p13:14;p13:05;p13:10;p13:13;p13:03,1
1,8,2,chewing,WRONG,16,p16:01;p16:15;p16:04;p16:14;p16:02;p16:13;p16:12;p16:05,1
1,8,2,chewing,POP,,p22:12;p21:14;p22:11;p29:01;p02:15;p23:14;p30:04;p30:06,1
1,8,2,chewing,MATCH,8,p08:00;p08:13;p08:15;p08:06;p08:11;p08:12;p08:14;p08:05,1
1,8,2,tongue,WRONG,9,,1
1,8,2,tongue,WRONG,13,p13:06;p13:14;p13:13;p13:09;p13:05;p13:10;p13:00;p13:03,1
1,8,2,tongue,WRONG,16,p16:00;p16:08;p16:01;p16:13;p16:10;p16:14;p16:05;p16:12,1
1,8,2,tongue,POP,,p02:15;p06:12;p23:03;p29:15;p29:01;p27:09;p26:05;p18:05,1
1,8,2,tongue,MATCH,8,p08:11;p08:08;p08:15;p08:13;p08:05;p08:12;p08:06;p08:14,1
1,8,2,swallowing,WRONG,9,,1
1,8,2,swallowing,WRONG,13,p13:02;p13:07;p13:15;p13:14;p13:05;p13:10;p13:13;p13:03,1
1,8,2,swallowing,WRONG,16,p16:01;p16:15;p16:04;p16:14;p16:02;p16:13;p16:12;p16:05,1
1,8,2,swallowing,POP,,p22:12;p21:14;p22:11;p29:01;p02:15;p23:14;p30:04;p30:06,1
1,8,2,swallowing,MATCH,8,p08:00;p08:13;p08:15;p08:06;p08:11;p08:12;p08:14;p08:05,1
1,8,2,facial_emg,WRONG,9,,1
1,8,2,facial_emg,WRONG,13,p13:02;p13:15;p13:06;p13:13;p13:05;p13:14;p13:10;p13:03,1
1,8,2,facial_emg,WRONG,16,p16:00;p16:03;p16:13;p16:01;p16:02;p16:12;p16:14;p16:05,1
1,8,2,facial_emg,POP,,p06:12;p23:14;p21:05;p21:07;p27:09;p22:12;p21:14;p30:04,1
1,8,2,facial_emg,MATCH,8,p08:08;p08:15;p08:13;p08:11;p08:12;p08:14;p08:05;p08:06,1
