fold,participant,unit,state,run,family,outer_training_mask_only
0,10,0,open_base,2,head_motion,1
0,10,0,open_base,2,chewing,1
0,10,0,open_base,2,tongue,1
0,10,0,open_base,2,swallowing,1
0,10,0,open_base,2,facial_emg,1
0,10,1,open_base,2,head_motion,1
0,10,1,open_base,2,chewing,1
0,10,1,open_base,2,tongue,1
0,10,1,open_base,2,swallowing,1
0,10,1,open_base,2,facial_emg,1
0,10,2,open_base,2,head_motion,1
0,10,2,open_base,2,chewing,1
0,10,2,open_base,2,tongue,1
0,10,2,open_base,2,swallowing,1
0,10,2,open_base,2,facial_emg,1
0,10,3,open_base,2,head_motion,1
0,10,3,open_base,2,chewing,1
0,10,3,open_base,2,tongue,1
0,10,3,open_base,2,swallowing,1
0,10,3,open_base,2,facial_emg,1
0,10,4,open_base,3,head_motion,1
0,10,4,open_base,3,chewing,1
0,10,4,open_base,3,tongue,1
0,10,4,open_base,3,swallowing,1
0,10,4,open_base,3,facial_emg,1
0,10,5,open_base,3,head_motion,1
0,10,5,open_base,3,chewing,1
0,10,5,open_base,3,tongue,1
0,10,5,open_base,3,swallowing,1
0,10,5,open_base,3,facial_emg,1
0,10,6,open_base,3,head_motion,1
0,10,6,open_base,3,chewing,1
0,10,6,open_base,3,tongue,1
0,10,6,open_base,3,swallowing,1
0,10,6,open_base,3,facial_emg,1
0,10,7,open_base,3,head_motion,1
0,10,7,open_base,3,chewing,1
0,10,7,open_base,3,tongue,1
0,10,7,open_base,3,swallowing,1
0,10,7,open_base,3,facial_emg,1
0,10,8,open_base,4,head_motion,1
0,10,8,open_base,4,chewing,1
0,10,8,open_base,4,tongue,1
0,10,8,open_base,4,swallowing,1
0,10,8,open_base,4,facial_emg,1
0,10,9,open_base,4,head_motion,1
0,10,9,open_base,4,chewing,1
0,10,9,open_base,4,tongue,1
0,10,9,open_base,4,swallowing,1
0,10,9,open_base,4,facial_emg,1
0,10,10,open_base,4,head_motion,1
0,10,10,open_base,4,chewing,1
0,10,10,open_base,4,tongue,1
0,10,10,open_base,4,swallowing,1
0,10,10,open_base,4,facial_emg,1
0,10,11,open_base,4,head_motion,1
0,10,11,open_base,4,chewing,1
0,10,11,open_base,4,tongue,1
0,10,11,open_base,4,swallowing,1
0,10,11,open_base,4,facial_emg,1
0,10,12,open_base,5,head_motion,1
0,10,12,open_base,5,chewing,1
0,10,12,open_base,5,tongue,1
0,10,12,open_base,5,swallowing,1
0,10,12,open_base,5,facial_emg,1
0,10,13,open_base,5,head_motion,1
0,10,13,open_base,5,chewing,1
0,10,13,open_base,5,tongue,1
0,10,13,open_base,5,swallowing,1
0,10,13,open_base,5,facial_emg,1
0,10,14,open_base,5,head_motion,1
0,10,14,open_base,5,chewing,1
0,10,14,open_base,5,tongue,1
0,10,14,open_base,5,swallowing,1
0,10,14,open_base,5,facial_emg,1
0,10,15,open_base,5,head_motion,1
0,10,15,open_base,5,chewing,1
0,10,15,open_base,5,tongue,1
0,10,15,open_base,5,swallowing,1
0,10,15,open_base,5,facial_emg,1
0,10,16,open_base,6,head_motion,1
0,10,16,open_base,6,chewing,1
0,10,16,open_base,6,tongue,1
0,10,16,open_base,6,swallowing,1
0,10,16,open_base,6,facial_emg,1
0,10,17,open_base,6,head_motion,1
0,10,17,open_base,6,chewing,1
0,10,17,open_base,6,tongue,1
0,10,17,open_base,6,swallowing,1
0,10,17,open_base,6,facial_emg,1
0,10,18,open_base,6,head_motion,1
0,10,18,open_base,6,chewing,1
0,10,18,open_base,6,tongue,1
0,10,18,open_base,6,swallowing,1
0,10,18,open_base,6,facial_emg,1
0,10,19,open_base,6,head_motion,1
0,10,19,open_base,6,chewing,1
0,10,19,open_base,6,tongue,1
0,10,19,open_base,6,swallowing,1
0,10,19,open_base,6,facial_emg,1
0,14,0,open_base,2,head_motion,1
0,14,0,open_base,2,chewing,1
0,14,0,open_base,2,tongue,1
0,14,0,open_base,2,swallowing,1
0,14,0,open_base,2,facial_emg,1
0,14,1,open_base,2,head_motion,1
0,14,1,open_base,2,chewing,1
0,14,1,open_base,2,tongue,1
0,14,1,open_base,2,swallowing,1
0,14,1,open_base,2,facial_emg,1
0,14,2,open_base,2,head_motion,1
0,14,2,open_base,2,chewing,1
0,14,2,open_base,2,tongue,1
0,14,2,open_base,2,swallowing,1
0,14,2,open_base,2,facial_emg,1
0,14,3,open_base,2,head_motion,1
0,14,3,open_base,2,chewing,1
0,14,3,open_base,2,tongue,1
0,14,3,open_base,2,swallowing,1
0,14,3,open_base,2,facial_emg,1
0,14,4,open_base,3,head_motion,1
0,14,4,open_base,3,chewing,1
0,14,4,open_base,3,tongue,1
0,14,4,open_base,3,swallowing,1
0,14,4,open_base,3,facial_emg,1
0,14,5,open_base,3,head_motion,1
0,14,5,open_base,3,chewing,1
0,14,5,open_base,3,tongue,1
0,14,5,open_base,3,swallowing,1
0,14,5,open_base,3,facial_emg,1
0,14,6,open_base,3,head_motion,1
0,14,6,open_base,3,chewing,1
0,14,6,open_base,3,tongue,1
0,14,6,open_base,3,swallowing,1
0,14,6,open_base,3,facial_emg,1
0,14,7,open_base,3,head_motion,1
0,14,7,open_base,3,chewing,1
0,14,7,open_base,3,tongue,1
0,14,7,open_base,3,swallowing,1
0,14,7,open_base,3,facial_emg,1
0,14,8,close_base,3,head_motion,1
0,14,8,close_base,3,chewing,1
0,14,8,close_base,3,tongue,1
0,14,8,close_base,3,swallowing,1
0,14,8,close_base,3,facial_emg,1
0,14,9,close_base,3,head_motion,1
0,14,9,close_base,3,chewing,1
0,14,9,close_base,3,tongue,1
0,14,9,close_base,3,swallowing,1
0,14,9,close_base,3,facial_emg,1
0,14,10,close_base,3,head_motion,1
0,14,10,close_base,3,chewing,1
0,14,10,close_base,3,tongue,1
0,14,10,close_base,3,swallowing,1
0,14,10,close_base,3,facial_emg,1
0,14,11,close_base,3,head_motion,1
0,14,11,close_base,3,chewing,1
0,14,11,close_base,3,tongue,1
0,14,11,close_base,3,swallowing,1
0,14,11,close_base,3,facial_emg,1
0,14,12,open_base,4,head_motion,1
0,14,12,open_base,4,chewing,1
0,14,12,open_base,4,tongue,1
0,14,12,open_base,4,swallowing,1
0,14,12,open_base,4,facial_emg,1
0,14,13,open_base,4,head_motion,1
0,14,13,open_base,4,chewing,1
0,14,13,open_base,4,tongue,1
0,14,13,open_base,4,swallowing,1
0,14,13,open_base,4,facial_emg,1
0,14,14,open_base,4,head_motion,1
0,14,14,open_base,4,chewing,1
0,14,14,open_base,4,tongue,1
0,14,14,open_base,4,swallowing,1
0,14,14,open_base,4,facial_emg,1
0,14,15,open_base,4,head_motion,1
0,14,15,open_base,4,chewing,1
0,14,15,open_base,4,tongue,1
0,14,15,open_base,4,swallowing,1
0,14,15,open_base,4,facial_emg,1
0,14,16,close_base,4,head_motion,1
0,14,16,close_base,4,chewing,1
0,14,16,close_base,4,tongue,1
0,14,16,close_base,4,swallowing,1
0,14,16,close_base,4,facial_emg,1
0,14,17,close_base,4,head_motion,1
0,14,17,close_base,4,chewing,1
0,14,17,close_base,4,tongue,1
0,14,17,close_base,4,swallowing,1
0,14,17,close_base,4,facial_emg,1
0,14,18,close_base,4,head_motion,1
0,14,18,close_base,4,chewing,1
0,14,18,close_base,4,tongue,1
0,14,18,close_base,4,swallowing,1
0,14,18,close_base,4,facial_emg,1
0,14,19,close_base,4,head_motion,1
0,14,19,close_base,4,chewing,1
0,14,19,close_base,4,tongue,1
0,14,19,close_base,4,swallowing,1
0,14,19,close_base,4,facial_emg,1
0,14,20,open_base,5,head_motion,1
0,14,20,open_base,5,chewing,1
0,14,20,open_base,5,tongue,1
0,14,20,open_base,5,swallowing,1
0,14,20,open_base,5,facial_emg,1
0,14,21,open_base,5,head_motion,1
0,14,21,open_base,5,chewing,1
0,14,21,open_base,5,tongue,1
0,14,21,open_base,5,swallowing,1
0,14,21,open_base,5,facial_emg,1
0,14,22,open_base,5,head_motion,1
0,14,22,open_base,5,chewing,1
0,14,22,open_base,5,tongue,1
0,14,22,open_base,5,swallowing,1
0,14,22,open_base,5,facial_emg,1
0,14,23,open_base,5,head_motion,1
0,14,23,open_base,5,chewing,1
0,14,23,open_base,5,tongue,1
0,14,23,open_base,5,swallowing,1
0,14,23,open_base,5,facial_emg,1
0,14,24,close_base,5,head_motion,1
0,14,24,close_base,5,chewing,1
0,14,24,close_base,5,tongue,1
0,14,24,close_base,5,swallowing,1
0,14,24,close_base,5,facial_emg,1
0,14,25,close_base,5,head_motion,1
0,14,25,close_base,5,chewing,1
0,14,25,close_base,5,tongue,1
0,14,25,close_base,5,swallowing,1
0,14,25,close_base,5,facial_emg,1
0,14,26,close_base,5,head_motion,1
0,14,26,close_base,5,chewing,1
0,14,26,close_base,5,tongue,1
0,14,26,close_base,5,swallowing,1
0,14,26,close_base,5,facial_emg,1
0,14,27,close_base,5,head_motion,1
0,14,27,close_base,5,chewing,1
0,14,27,close_base,5,tongue,1
0,14,27,close_base,5,swallowing,1
0,14,27,close_base,5,facial_emg,1
0,14,28,open_base,6,head_motion,1
0,14,28,open_base,6,chewing,1
0,14,28,open_base,6,tongue,1
0,14,28,open_base,6,swallowing,1
0,14,28,open_base,6,facial_emg,1
0,14,29,open_base,6,head_motion,1
0,14,29,open_base,6,chewing,1
0,14,29,open_base,6,tongue,1
0,14,29,open_base,6,swallowing,1
0,14,29,open_base,6,facial_emg,1
0,14,30,open_base,6,head_motion,1
0,14,30,open_base,6,chewing,1
0,14,30,open_base,6,tongue,1
0,14,30,open_base,6,swallowing,1
0,14,30,open_base,6,facial_emg,1
0,14,31,open_base,6,head_motion,1
0,14,31,open_base,6,chewing,1
0,14,31,open_base,6,tongue,1
0,14,31,open_base,6,swallowing,1
