fold,recipient,state,match_bank,evaluable,wrong_donors,wrong_bank_sizes,population_owners,population_candidates
0,10,open_base,0,0,14;20;26,14:16;20:0;26:16,14,224
0,10,close_base,0,0,14;20;26,14:0;20:16;26:16,10,160
0,14,open_base,16,1,10;20;26,10:0;20:0;26:16,14,224
0,14,close_base,0,0,10;20;26,10:0;20:16;26:16,10,160
0,20,open_base,0,0,10;14;26,10:0;14:16;26:16,14,224
0,20,close_base,16,1,10;14;26,10:0;14:0;26:16,10,160
0,26,open_base,16,1,10;14;20,10:0;14:16;20:0,14,224
0,26,close_base,16,1,10;14;20,10:0;14:0;20:16,10,160
1,8,open_base,16,1,9;13;16,9:0;13:16;16:16,13,208
1,8,close_base,16,1,9;13;16,9:0;13:16;16:16,9,144
1,9,open_base,0,0,8;13;16,8:16;13:16;16:16,13,208
1,9,close_base,0,0,8;13;16,8:16;13:16;16:16,9,144
1,13,open_base,16,1,8;9;16,8:16;9:0;16:16,13,208
1,13,close_base,16,1,8;9;16,8:16;9:0;16:16,9,144
1,16,open_base,16,1,8;9;13,8:16;9:0;13:16,13,208
1,16,close_base,16,1,8;9;13,8:16;9:0;13:16,9,144
2,5,open_base,16,1,11;18;30,11:0;18:16;30:16,13,208
2,5,close_base,0,0,11;18;30,11:0;18:16;30:0,11,176
2,11,open_base,0,0,5;18;30,5:16;18:16;30:16,13,208
2,11,close_base,0,0,5;18;30,5:0;18:16;30:0,11,176
2,18,open_base,16,1,5;11;30,5:16;11:0;30:16,13,208
2,18,close_base,16,1,5;11;30,5:0;11:0;30:0,11,176
2,30,open_base,16,1,5;11;18,5:16;11:0;18:16,13,208
2,30,close_base,0,0,5;11;18,5:0;11:0;18:16,11,176
3,1,open_base,16,1,21;22;29,21:16;22:16;29:16,12,192
3,1,close_base,16,1,21;22;29,21:16;22:16;29:0,9,144
3,21,open_base,16,1,1;22;29,1:16;22:16;29:16,12,192
3,21,close_base,16,1,1;22;29,1:16;22:16;29:0,9,144
3,22,open_base,16,1,1;21;29,1:16;21:16;29:16,12,192
3,22,close_base,16,1,1;21;29,1:16;21:16;29:0,9,144
3,29,open_base,16,1,1;21;22,1:16;21:16;22:16,12,192
3,29,close_base,0,0,1;21;22,1:16;21:16;22:16,9,144
4,2,open_base,16,1,6;23;27,6:16;23:16;27:16,12,192
4,2,close_base,16,1,6;23;27,6:16;23:16;27:0,9,144
4,6,open_base,16,1,2;23;27,2:16;23:16;27:16,12,192
4,6,close_base,16,1,2;23;27,2:16;23:16;27:0,9,144
4,23,open_base,16,1,2;6;27,2:16;6:16;27:16,12,192
4,23,close_base,16,1,2;6;27,2:16;6:16;27:0,9,144
4,27,open_base,16,1,2;6;23,2:16;6:16;23:16,12,192
4,27,close_base,0,0,2;6;23,2:16;6:16;23:16,9,144
