estimand,participant,date_stratum,oracle_minus_observable_H_P_eq,oracle_minus_observable_H_W_eq,oracle_minus_observable_H_HYB,oracle_minus_observable_H_HYB_W,oracle_minus_observable_H_MATCH_LARGE,oracle_minus_observable_H_HYB_LARGE
policy,1,multi-date,-0.003574691586932424,0.0014706558976866901,0.027694855420220137,0.022105701456699288,-0.038219050910392946,0.009713232530003266
policy,2,multi-date,0.0015101231094846977,0.006972852653357824,0.005261812945004916,0.0033057697451771804,-0.04746748104237173,-0.025807805499134667
policy,5,same-day,-0.10390754642860953,-0.039800145439281426,-0.054588856183338696,-0.05785154958717108,-0.2695364882501143,-0.17518697133848093
policy,6,same-day,0.02009460763941079,0.052973778963111874,0.026138367736463754,0.016610692409268747,-0.10117936808688122,-0.061827088417342566
policy,8,multi-date,-0.03583061190573797,0.005933890271443101,-0.017791908737067326,-0.02744209207220586,-0.14425185706974944,-0.10996552311334531
policy,9,multi-date,0.0,0.0,0.0,0.0,0.0,0.0
policy,10,same-day,0.0,0.0,0.0,0.0,0.0,0.0
policy,11,multi-date,0.0,0.0,0.0,0.0,0.0,0.0
policy,13,multi-date,-0.04623036675026773,0.004398286774426177,-0.021786075226135626,-0.030809995647817313,-0.1286426755090641,-0.07178295886212394
policy,14,multi-date,0.009754645771444848,0.013466215649662012,0.020689079262314645,0.019806860197302226,-0.056012366892714355,-0.029682017395528167
policy,16,same-day,-0.012554554129839881,0.009994023734822572,-0.006218942325182043,-0.009402951921327285,-0.06954784408073471,-0.04639879762758541
policy,18,multi-date,-0.021594378071435612,0.014794716654025437,-0.004886127016899375,-0.011935123718748431,-0.09384911263129934,-0.05745990633575924
policy,20,multi-date,0.0087731698658821,0.015133891033775354,0.0045692800830183546,0.001533434124794137,-0.046279326863022135,-0.031605221222362305
policy,21,multi-date,-0.01904425164891579,-0.018553710924878956,-0.007032949369857634,-0.01971286797833706,-0.13230991893807464,-0.10091018779906324
policy,22,multi-date,0.006213938470343083,0.0033775073805559323,0.003636455192849169,-0.004089104640687508,-0.06962821208514083,-0.050698950349465
policy,23,same-day,-0.021076262224370867,-0.010137359288449173,-0.012805598403444515,-0.02424141943825871,-0.10453842578955677,-0.06445484943960918
policy,26,multi-date,-0.014399167576901458,0.0060698397892214075,-0.008258458317299596,-0.013369654914385427,-0.10645838491238815,-0.07868269723319846
policy,27,multi-date,-0.04140458532142243,-0.017866092495958663,-0.02525108508877196,-0.030367670440014156,-0.10151545415378943,-0.06175354603177813
policy,29,same-day,-0.0009412826009554441,0.00030145634367600765,-0.001116074643631153,-0.006822949809770329,-0.05641951308974973,-0.042202335666987036
policy,30,multi-date,-0.01439516940096345,-0.005286599191189005,-0.011525430198707887,-0.012674891844307354,-0.05134592452748342,-0.03457612973745257
evaluable,1,multi-date,-0.003574691586932424,0.0014706558976866901,0.027694855420220137,0.022105701456699288,-0.038219050910392946,0.009713232530003266
evaluable,2,multi-date,0.0015101231094846977,0.006972852653357824,0.005261812945004916,0.0033057697451771804,-0.04746748104237173,-0.025807805499134667
evaluable,5,same-day,-0.10390754642860953,-0.039800145439281426,-0.054588856183338696,-0.05785154958717108,-0.2695364882501143,-0.17518697133848093
evaluable,6,same-day,0.02009460763941079,0.052973778963111874,0.026138367736463754,0.016610692409268747,-0.10117936808688122,-0.061827088417342566
evaluable,8,multi-date,-0.03583061190573797,0.005933890271443101,-0.017791908737067326,-0.02744209207220586,-0.14425185706974944,-0.10996552311334531
evaluable,13,multi-date,-0.04623036675026773,0.004398286774426177,-0.021786075226135626,-0.030809995647817313,-0.1286426755090641,-0.07178295886212394
evaluable,14,multi-date,0.015607433234311758,0.021545945039459218,0.03310252681970343,0.03169097631568356,-0.08961978702834301,-0.04749122783284507
evaluable,16,same-day,-0.012554554129839881,0.009994023734822572,-0.006218942325182043,-0.009402951921327285,-0.06954784408073471,-0.04639879762758541
evaluable,18,multi-date,-0.021594378071435612,0.014794716654025437,-0.004886127016899375,-0.011935123718748431,-0.09384911263129934,-0.05745990633575924
evaluable,20,multi-date,0.01052780383905853,0.018160669240530433,0.0054831360996220255,0.001840120949752961,-0.05553519223562656,-0.037926265466834766
evaluable,21,multi-date,-0.01904425164891579,-0.018553710924878956,-0.007032949369857634,-0.01971286797833706,-0.13230991893807464,-0.10091018779906324
evaluable,22,multi-date,0.006213938470343083,0.0033775073805559323,0.003636455192849169,-0.004089104640687508,-0.06962821208514083,-0.050698950349465
evaluable,23,same-day,-0.021076262224370867,-0.010137359288449173,-0.012805598403444515,-0.02424141943825871,-0.10453842578955677,-0.06445484943960918
evaluable,26,multi-date,-0.014399167576901458,0.0060698397892214075,-0.008258458317299596,-0.013369654914385427,-0.10645838491238815,-0.07868269723319846
evaluable,27,multi-date,-0.07452825357856036,-0.03215896649272561,-0.04545195315978953,-0.05466180679202549,-0.182727817476821,-0.11115638285720061
evaluable,29,same-day,-0.0018825652019108883,0.0006029126873520153,-0.002232149287262306,-0.013645899619540658,-0.11283902617949948,-0.08440467133397407
evaluable,30,multi-date,-0.02015323716134882,-0.007401238867664604,-0.01613560227819105,-0.01774484858203029,-0.07188429433847679,-0.048406581632433596
