selector,estimand,participant,evaluable,families,H_P_eq,H_W_eq,H_HYB,H_HYB_W,H_MATCH_LARGE,H_HYB_LARGE,date_stratum
observable,policy,1,1,5,-0.08303797135430432,-0.08213072032713867,-0.045784881717774055,-0.03947004893739847,-0.11243254489261197,-0.06932677001216317,multi-date
observable,policy,2,1,5,-0.03242560727096978,-0.033048255719765905,-0.01946028982991608,-0.014999304767380095,-0.05600820099737378,-0.03514426434977609,multi-date
observable,policy,5,1,5,0.20706581429334275,0.20964344391065087,0.11922951352544056,0.13522387512153483,0.2294328881749348,0.14717422773702274,same-day
observable,policy,6,1,5,0.03510247630829879,0.028562503428633985,0.025237658356453217,0.041581021118137794,-0.008670147956250825,0.002548309126435484,same-day
observable,policy,8,1,5,0.06253143600813448,0.06315584804416502,0.02630376028959371,0.04376291361613161,0.024995454246520825,0.019073071779448402,multi-date
observable,policy,9,1,5,0.0,0.0,0.0,0.0,0.0,0.0,multi-date
observable,policy,10,1,5,0.0,0.0,0.0,0.0,0.0,0.0,same-day
observable,policy,11,1,5,0.0,0.0,0.0,0.0,0.0,0.0,multi-date
observable,policy,13,1,5,0.11440692642291213,0.1117149126296489,0.05975183370968399,0.08093805101494152,0.07153596431188128,0.0347362968580989,multi-date
observable,policy,14,1,5,-0.021033222360700765,-0.021689769375887194,-0.006107211647229635,-0.004207388376595999,-0.05515956554962516,-0.029731377058568337,multi-date
observable,policy,16,1,5,0.024004031270535915,0.022595983532624302,0.015186567867080242,0.02355719031950859,0.007368551111033819,0.009026643086912802,same-day
observable,policy,18,1,5,0.04999615725823052,0.04601718359035229,0.02242921864547087,0.035976183111159146,0.031705203184700756,0.01840307947532304,multi-date
observable,policy,20,1,5,0.018966353046562964,0.019728502419216636,0.006948924154165167,0.013389948039061452,-0.003186156429610576,-0.005072702046994505,multi-date
observable,policy,21,1,5,0.006191590468567391,0.006943443248136838,0.005716485386746323,0.017578311886132382,-0.03778066683106214,-0.015036639324644833,multi-date
observable,policy,22,1,5,0.01415626660614773,0.014295308417311983,0.006380222147319535,0.013338159417623022,-0.0478138495224774,-0.035080935207305146,multi-date
