selector,estimand,participant,family,evaluable,H_P_eq,H_W_eq,H_HYB,H_HYB_W,H_MATCH_LARGE,H_HYB_LARGE
observable,policy,1,head_motion,1,-0.04966132210067833,-0.05220535292892632,-0.033888783005403114,-0.02702241641435622,-0.10065642672032746,-0.07448406859397784
observable,policy,1,chewing,1,-0.07897008820237868,-0.0771455580924296,-0.04052112783447483,-0.03480388918451733,-0.09824509114396682,-0.05670109491031061
observable,policy,1,tongue,1,-0.09865633079075203,-0.09547904387364763,-0.05709499297643973,-0.04979288132283869,-0.13116345121575576,-0.08098117848744026
observable,policy,1,swallowing,1,-0.09571909808868577,-0.09551127010854248,-0.050788972365611716,-0.04531130275084786,-0.11192242094653557,-0.06385444643849406
observable,policy,1,facial_emg,1,-0.09218301758902687,-0.0903123766321473,-0.046630532406940865,-0.04041975501443225,-0.12017533443647417,-0.07061306163059315
observable,policy,2,head_motion,1,-0.04642590133898753,-0.045001720791072834,-0.023230533676757373,-0.021908526615391687,-0.05391556538954937,-0.026474350631026256
observable,policy,2,chewing,1,-0.040069713682687545,-0.0405456590319334,-0.016573037801225834,-0.01317670535726141,-0.04889702387910776,-0.02125518079548912
observable,policy,2,tongue,1,-0.035455578089222714,-0.036239995482881385,-0.026404953311644455,-0.023417793041765885,-0.06861888755428149,-0.048197987074452095
observable,policy,2,swallowing,1,-0.02421145923236084,-0.02537883310915893,-0.014708133200018573,-0.008810903030406582,-0.05791345985818462,-0.04066640718440476
observable,policy,2,facial_emg,1,-0.015965384011590276,-0.01807507018378299,-0.016384791159934155,-0.0076825957920749165,-0.050696068305745606,-0.039127396063508194
observable,policy,5,head_motion,1,0.14694504454039664,0.1530138791864665,0.08513089913594352,0.09610887160402015,0.12637991640255866,0.07625754085532543
observable,policy,5,chewing,1,0.1386241731463536,0.13894580229015202,0.06971257494296552,0.08547221933339633,0.16560784738752304,0.10695172838271749
observable,policy,5,tongue,1,0.280271030172202,0.2765737748090404,0.15390042323026215,0.1848254947247134,0.2630324751652405,0.159106794706981
