selector,estimand,effect,n,mean,median,positive,one_sided_exact_sign_flip,bootstrap_low,bootstrap_high
observable,policy,H_P_eq,20,0.02889721237902615,0.020923327059332364,13,0.0151214599609375,0.005536317854945228,0.056405262206574276
observable,policy,H_W_eq,20,0.02846970417254071,0.018970878373577967,13,0.01624298095703125,0.005194446779534441,0.05614984482309312
observable,policy,H_HYB,20,0.016489151028170317,0.008771568847198643,13,0.01364898681640625,0.0033996372572310295,0.032136079497807314
observable,policy,H_HYB_W,20,0.025143784150387836,0.018548539448254367,14,0.0017242431640625,0.010308484549547019,0.04248977705019326
observable,policy,H_MATCH_LARGE,20,0.002207513535322469,0.0,8,0.45215606689453125,-0.023866587860842423,0.034445139098113205
observable,policy,H_HYB_LARGE,20,0.0017402667835224191,0.0,9,0.44226837158203125,-0.014620655994713039,0.02212727739850416
observable,evaluable,H_P_eq,17,0.0370448149922283,0.024004031270535915,13,0.0144500732421875,0.0075655577836835925,0.0688948320101998
observable,evaluable,H_W_eq,17,0.03670007029806053,0.02367420290305996,13,0.01495361328125,0.007266873952455788,0.06873804596745085
observable,evaluable,H_HYB,17,0.021532586602222032,0.015186567867080242,13,0.0128326416015625,0.004860130010075023,0.039728935892267975
observable,evaluable,H_HYB_W,17,0.03276536530438739,0.02355719031950859,14,0.0014801025390625,0.014337343106603256,0.05262434832329707
observable,evaluable,H_MATCH_LARGE,17,8.995094489354678e-05,-0.003823387715532691,8,0.49837493896484375,-0.0343520187964879,0.04022432126179817
observable,evaluable,H_HYB_LARGE,17,0.00018906928694512436,0.002031433374303957,9,0.49454498291015625,-0.02150069098297603,0.025532088194560317
oracle,policy,H_P_eq,20,0.014466893239536793,0.014932037078675133,12,0.05654144287109375,-0.0021181875003331773,0.03131101584284994
oracle,policy,H_W_eq,20,0.030631864562841067,0.02843655069230379,12,0.00820159912109375,0.008601247879137495,0.05480746998290434
oracle,policy,H_HYB,20,0.012325568284647077,0.009492151441033452,13,0.0045013427734375,0.004215522733941065,0.021702431629572725
oracle,policy,H_HYB_W,20,0.015875893446398393,0.014538810281018447,13,0.00157928466796875,0.006568404276854833,0.026722963816808824
oracle,policy,H_MATCH_LARGE,20,-0.07865255670630389,-0.08438651858523791,0,1.0,-0.09864868328168744,-0.058376146647686256
oracle,policy,H_HYB_LARGE,20,-0.04992382089343823,-0.054802799481547815,0,1.0,-0.06306751723424431,-0.037005783306104933
oracle,evaluable,H_P_eq,17,0.01817293381739169,0.02670082410239651,12,0.0496826171875,-0.002404259979428612,0.03754844125226365
oracle,evaluable,H_W_eq,17,0.038949697243530715,0.04183487214359039,12,0.00634002685546875,0.011942369116177397,0.0663994962093997
oracle,evaluable,H_HYB,17,0.01589308859689237,0.013821845084620227,13,0.003631591796875,0.006010111092315723,0.026269710743890326
oracle,evaluable,H_HYB_W,17,0.02045042094933131,0.017908058596626704,13,0.00133514404296875,0.009311093645711768,0.03225124289603008
oracle,evaluable,H_MATCH_LARGE,17,-0.10686504532360852,-0.10060401920497877,0,1.0,-0.12814573952135855,-0.0864758302596792
oracle,evaluable,H_HYB_LARGE,17,-0.06821373263119564,-0.06095206984891076,0,1.0,-0.08359689166882311,-0.05476699736924756
