package,seed,participant,method,eog_attenuation,preservation,mi_band_distortion,covariance,mi_kappa,erd_preservation
POP8-D120,20260808,1,DET-MATCH,0.056502580465521444,0.7798987478017807,0.040943745724440025,0.12114186191571269,0.45416666666666666,0.9665217120894886
POP8-D120,20260808,1,DIFF-MATCH8,0.055069521671309,0.7543604522943497,0.04785465107802883,0.11890453015842117,0.4416666666666667,0.9642712623243311
POP8-D120,20260808,1,DIFF-POP8,0.007360233450880424,0.6827039569616318,0.06322076576627167,0.12683973895916878,0.5208333333333333,0.9657266124165504
POP8-D120,20260808,1,DIFF-WRONG8-2,-0.04218827396349735,0.6258379966020584,0.07066011561490898,0.1287701246246366,0.49583333333333335,0.9710089674726909
POP8-D120,20260808,1,DIFF-WRONG8-3,-0.002361417132122512,0.6755180060863495,0.06360295759414686,0.12072388561997732,0.5,0.9691401892790782
POP8-D120,20260808,1,DIFF-WRONG8-4,0.013538874860908573,0.703375831246376,0.05913649109784225,0.12816589559790018,0.45833333333333337,0.9648822329624867
POP8-D120,20260808,1,DIFF-WRONG8-5,-0.0041604385349172796,0.6620448976755142,0.0645178270445923,0.12660985632298993,0.4625,0.9712861677047052
POP8-D120,20260808,1,DIFF-WRONG8-6,0.011788485464706316,0.667641282081604,0.06553877607707347,0.1319411829880149,0.37083333333333335,0.9630134787090578
POP8-D120,20260808,1,DIFF-WRONG8-7,0.03896837474544386,0.7356836348772049,0.05036980639836054,0.12175329138511198,0.43333333333333335,0.9642163409507686
POP8-D120,20260808,1,DIFF-WRONG8-8,0.01587821294051031,0.6931289434432983,0.061142489743287745,0.12511377568838264,0.5166666666666666,0.9641903402369911
POP8-D120,20260808,1,DIFF-WRONG8-9,0.035711743667948256,0.7453957498073578,0.05131232215371597,0.11955706407185071,0.4083333333333334,0.965861486469339
POP8-D120,20260808,1,LINEAR-MATCH,0.04596032358890456,0.8468292355537415,0.03840827851396599,0.06988599463058257,0.4666666666666667,0.9693335561651378
POP8-D120,20260808,1,RAW,0.0,1.0,0.0,0.0,0.5541666666666667,1.0
POP8-D120,20260808,2,DET-MATCH,0.11166270973235325,0.7725884318351746,0.0863665150236144,0.11952666926059789,0.1444444444444444,0.9360192226208683
