package,method,participants,seeds,rrmse,correlation,delta_snr,paired_spectral_utility
POP8-D120,DET-MATCH,9,3,0.1676646368816877,0.9846516377407636,9.149068106443455,0.12087401422934654
POP8-D120,DIFF-MATCH8,9,3,0.14976429862853807,0.9872980814107226,10.116432654551971,0.13614008446725515
POP8-D120,DIFF-POP8,9,3,0.1524183838031231,0.9867595424963639,9.971547857309,0.13840111087148005
POP8-D120,DIFF-WRONG8-1,8,3,0.17565242594314945,0.9811998622203989,9.102498014767965,0.12701075736226308
POP8-D120,DIFF-WRONG8-2,8,3,0.18612596900134848,0.979060786957762,8.566414852073228,0.13085916130871011
POP8-D120,DIFF-WRONG8-3,8,3,0.1764608371085015,0.9825196153384478,8.885352062142413,0.1325448407535104
POP8-D120,DIFF-WRONG8-4,8,3,0.16190918718559155,0.9850411379469561,9.69055227611376,0.14195125236891318
POP8-D120,DIFF-WRONG8-5,8,3,0.16265522289103357,0.9852425093998931,8.979471776796425,0.13329921484641408
POP8-D120,DIFF-WRONG8-6,8,3,0.17918761484864829,0.9819145164528977,8.668002629625624,0.13167500863040704
POP8-D120,DIFF-WRONG8-7,8,3,0.16613307055355847,0.9841598821842027,9.315603681232618,0.12666446224286937
POP8-D120,DIFF-WRONG8-8,8,3,0.1557429129446762,0.9867801108276145,9.276852808136871,0.12858929296118626
POP8-D120,DIFF-WRONG8-9,8,3,0.15939626561990683,0.9857945784673762,9.620608585468236,0.12959320794629015
POP8-D120,LINEAR-MATCH,9,3,0.1993067366285966,0.9719381059785076,9.441350336258228,0.12504907045513391
POP8-D120,RAW,9,3,0.4946512087033345,0.895075805647086,0.0,0.0
POP8-D30,DET-MATCH,9,3,0.1780169125741873,0.9827261656102717,8.62374933407857,0.10951375985183777
POP8-D30,DIFF-MATCH8,9,3,0.15817455785014692,0.985987593801079,9.59958387643863,0.12758312469873673
POP8-D30,DIFF-POP8,9,3,0.15908169278349632,0.9857348519734281,9.537909281559479,0.13166985101997852
POP8-D30,DIFF-WRONG8-1,8,3,0.1812821827414963,0.9797799399747689,8.83329819308387,0.12311684862814015
POP8-D30,DIFF-WRONG8-2,8,3,0.19105302553245987,0.9792806892388051,8.112762988477513,0.1185213059078956
POP8-D30,DIFF-WRONG8-3,8,3,0.18903253497420877,0.9802331824455628,8.250535076942997,0.12412384109220644
POP8-D30,DIFF-WRONG8-4,8,3,0.17667083906522696,0.9824151638983405,8.886556131252345,0.1331844257487767
POP8-D30,DIFF-WRONG8-5,8,3,0.16804993768101154,0.9847049797459512,8.603114369986713,0.12470561519697093
POP8-D30,DIFF-WRONG8-6,8,3,0.24542063280292178,0.9659222269147678,6.096442235093834,0.10872141142254291
POP8-D30,DIFF-WRONG8-7,8,3,0.1831289768434953,0.9809875645154921,8.406467838563781,0.11832663632821346
POP8-D30,DIFF-WRONG8-8,8,3,0.17208775186884231,0.9835787966695626,8.476016789242841,0.1206835908950239
POP8-D30,DIFF-WRONG8-9,8,3,0.16958354175954626,0.98377817619326,9.107095234635947,0.12273456383010616
POP8-D30,LINEAR-MATCH,9,3,0.2093825235676307,0.9708280302172084,8.593604349173033,0.11786247754039672
POP8-D30,RAW,9,3,0.4946512087033345,0.895075805647086,0.0,0.0
POP8-D60,DET-MATCH,9,3,0.1683220478395621,0.9852612142026416,8.915486401472336,0.115461416160449
POP8-D60,DIFF-MATCH8,9,3,0.1480291400773403,0.9884503241791782,9.945950746536255,0.13319472557841203
POP8-D60,DIFF-POP8,9,3,0.15026074848495996,0.9879189192752083,9.838826965063046,0.13557464443147182
POP8-D60,DIFF-WRONG8-1,8,3,0.1709210036529435,0.9826671620074625,9.136430568165249,0.12691151107557946
POP8-D60,DIFF-WRONG8-2,8,3,0.17309406345737152,0.9832578645473693,8.834874547046164,0.12836689350829608
POP8-D60,DIFF-WRONG8-3,8,3,0.17908288732818936,0.9830373394831668,8.517208520916926,0.1273222364809202
POP8-D60,DIFF-WRONG8-4,8,3,0.16141360728205115,0.9860424484334752,9.447644931682643,0.13929570212528325
POP8-D60,DIFF-WRONG8-5,8,3,0.16750567827535712,0.9853892201027991,8.50407720648724,0.12277330161220786
POP8-D60,DIFF-WRONG8-6,8,3,0.22742249222769254,0.97101444181304,6.677690011867578,0.1127050261998522
POP8-D60,DIFF-WRONG8-7,8,3,0.1706440921710885,0.9839469875519886,8.887896285540815,0.12306523096302281
POP8-D60,DIFF-WRONG8-8,8,3,0.16134949503601462,0.9859721564781571,8.909132691397183,0.12717625347600467
POP8-D60,DIFF-WRONG8-9,8,3,0.16267189556273862,0.9857176708482128,9.290329898613086,0.12490852117754411
POP8-D60,LINEAR-MATCH,9,3,0.18792325186614806,0.9752810711289889,9.432235309710869,0.12715196523528832
POP8-D60,RAW,9,3,0.4946512087033345,0.895075805647086,0.0,0.0
