dataset,estimand,mean_utility,median_utility,positive_count,route,scientific_ranking_valid,units
klados,MATCH_minus_NO_SUPPORT,-0.4908319799325245,-0.5000617989254594,0,inference_only_normalization_OOD_hybrid,False,16
klados,MATCH_minus_POP_EXEMPLAR,0.045052612540530765,0.039557818727263216,10,inference_only_normalization_OOD_hybrid,False,16
klados,MATCH_minus_STRONG_POP,-0.4183473583112135,-0.4365005402931235,0,inference_only_normalization_OOD_hybrid,False,16
klados,MATCH_minus_mean_WRONG,-0.12370967205612339,-0.13595454314383792,3,inference_only_normalization_OOD_hybrid,False,16
sgeyesub,MATCH_minus_NO_SUPPORT,-0.06598238079171799,-0.05900080989629197,14,inference_only_normalization_OOD_hybrid,False,58
sgeyesub,MATCH_minus_POP_EXEMPLAR,-0.01639739336118962,-0.01754295223772956,27,inference_only_normalization_OOD_hybrid,False,58
sgeyesub,MATCH_minus_STRONG_POP,-0.12457556643070096,-0.11022329425757518,3,inference_only_normalization_OOD_hybrid,False,58
sgeyesub,MATCH_minus_mean_WRONG,-0.018625434333297396,-0.02166625910344447,21,inference_only_normalization_OOD_hybrid,False,58
klados,MATCH_minus_NO_SUPPORT,0.006956302395191896,0.0021669863166409453,9,support_fitted_output_space_residual_adapter,True,16
klados,MATCH_minus_POP_EXEMPLAR,0.002209161734957988,0.00021585880719265926,8,support_fitted_output_space_residual_adapter,True,16
klados,MATCH_minus_STRONG_POP,0.07944092401650296,0.04097582718237246,14,support_fitted_output_space_residual_adapter,True,16
klados,MATCH_minus_mean_WRONG,0.0007988611737189052,-0.0014430370361125933,6,support_fitted_output_space_residual_adapter,True,16
sgeyesub,MATCH_minus_NO_SUPPORT,-0.00034175964147181953,0.0,16,support_fitted_output_space_residual_adapter,True,58
sgeyesub,MATCH_minus_POP_EXEMPLAR,-0.00010710404952455602,0.0,21,support_fitted_output_space_residual_adapter,True,58
sgeyesub,MATCH_minus_STRONG_POP,-0.05893493128290875,-0.06035767492561542,8,support_fitted_output_space_residual_adapter,True,58
sgeyesub,MATCH_minus_mean_WRONG,-0.0007743326375933018,-0.0014337356306818039,20,support_fitted_output_space_residual_adapter,True,58
klados,MATCH_minus_NO_SUPPORT,0.00927675926085934,0.001856588564783379,9,support_moment_summary_FiLM,True,16
klados,MATCH_minus_POP_EXEMPLAR,0.11407395061615119,0.1297086317579123,15,support_moment_summary_FiLM,True,16
klados,MATCH_minus_STRONG_POP,0.08170115639964426,0.04634863787445323,13,support_moment_summary_FiLM,True,16
klados,MATCH_minus_mean_WRONG,0.038816671379032316,0.03668662585163979,14,support_moment_summary_FiLM,True,16
sgeyesub,MATCH_minus_NO_SUPPORT,1.541038264409284e-05,0.00036619681232247236,30,support_moment_summary_FiLM,True,58
sgeyesub,MATCH_minus_POP_EXEMPLAR,-0.0013312849974275703,0.00031709021919326674,30,support_moment_summary_FiLM,True,58
sgeyesub,MATCH_minus_STRONG_POP,-0.05858197159655871,-0.05748701241282972,10,support_moment_summary_FiLM,True,58
sgeyesub,MATCH_minus_mean_WRONG,-0.00013853795462869087,0.0009189841617533584,32,support_moment_summary_FiLM,True,58
