dataset,estimand,metric,route_corrected,route_original,scientific_ranking_valid,unit_id,utility
klados,MATCH_minus_POP_EXEMPLAR,clean_waveform_RRMSE,support_moment_summary_FiLM,P_A_RAW_SUPPORT_TOKENS,True,sim37,0.14523488547109503
klados,MATCH_minus_NO_SUPPORT,clean_waveform_RRMSE,support_moment_summary_FiLM,P_A_RAW_SUPPORT_TOKENS,True,sim37,-0.002793352273856964
klados,MATCH_minus_STRONG_POP,clean_waveform_RRMSE,support_moment_summary_FiLM,P_A_RAW_SUPPORT_TOKENS,True,sim37,0.052234128404955726
klados,MATCH_minus_mean_WRONG,clean_waveform_RRMSE,support_moment_summary_FiLM,P_A_RAW_SUPPORT_TOKENS,True,sim37,0.024948028295502023
klados,MATCH_minus_POP_EXEMPLAR,clean_waveform_RRMSE,support_moment_summary_FiLM,P_A_RAW_SUPPORT_TOKENS,True,sim38,0.14526024072648147
klados,MATCH_minus_NO_SUPPORT,clean_waveform_RRMSE,support_moment_summary_FiLM,P_A_RAW_SUPPORT_TOKENS,True,sim38,0.022408435821100914
klados,MATCH_minus_STRONG_POP,clean_waveform_RRMSE,support_moment_summary_FiLM,P_A_RAW_SUPPORT_TOKENS,True,sim38,0.038932872913494176
klados,MATCH_minus_mean_WRONG,clean_waveform_RRMSE,support_moment_summary_FiLM,P_A_RAW_SUPPORT_TOKENS,True,sim38,0.05775730787548872
klados,MATCH_minus_POP_EXEMPLAR,clean_waveform_RRMSE,support_moment_summary_FiLM,P_A_RAW_SUPPORT_TOKENS,True,sim39,0.13337013242469864
klados,MATCH_minus_NO_SUPPORT,clean_waveform_RRMSE,support_moment_summary_FiLM,P_A_RAW_SUPPORT_TOKENS,True,sim39,0.0015565642309958716
klados,MATCH_minus_STRONG_POP,clean_waveform_RRMSE,support_moment_summary_FiLM,P_A_RAW_SUPPORT_TOKENS,True,sim39,0.011944482146225066
klados,MATCH_minus_mean_WRONG,clean_waveform_RRMSE,support_moment_summary_FiLM,P_A_RAW_SUPPORT_TOKENS,True,sim39,0.04640816480595117
klados,MATCH_minus_POP_EXEMPLAR,clean_waveform_RRMSE,support_moment_summary_FiLM,P_A_RAW_SUPPORT_TOKENS,True,sim40,0.0841030097942522
klados,MATCH_minus_NO_SUPPORT,clean_waveform_RRMSE,support_moment_summary_FiLM,P_A_RAW_SUPPORT_TOKENS,True,sim40,-0.028042924949005066
klados,MATCH_minus_STRONG_POP,clean_waveform_RRMSE,support_moment_summary_FiLM,P_A_RAW_SUPPORT_TOKENS,True,sim40,0.055210704537983685
klados,MATCH_minus_mean_WRONG,clean_waveform_RRMSE,support_moment_summary_FiLM,P_A_RAW_SUPPORT_TOKENS,True,sim40,0.0042533824176727575
klados,MATCH_minus_POP_EXEMPLAR,clean_waveform_RRMSE,support_moment_summary_FiLM,P_A_RAW_SUPPORT_TOKENS,True,sim41,0.035590233901797774
