fold,late_steps,w_max,outer_training_artifact_rrmse,validation_rows,heldout_outcomes_opened
2,0,0.0,0.1710469261186223,32,0
2,1,0.05,0.16829098367537446,32,0
2,1,0.1,0.16829098367537446,32,0
2,1,0.25,0.16829098367537446,32,0
2,3,0.05,0.1575871814813902,32,0
2,3,0.1,0.14760804274570008,32,0
2,3,0.25,0.13652564430901015,32,0
2,5,0.05,0.1528983112834154,32,0
2,5,0.1,0.13966594046148867,32,0
2,5,0.25,0.12215612773596396,32,0
