kind,restoration_validation_mse,step,training_loss
diffusion,0.37865067832171917,500,0.06549467146396637
diffusion,0.2966931864619255,1000,0.04476529732346535
diffusion,0.24750678911805152,1500,0.040779463946819305
diffusion,0.21079757940024138,2000,0.034272074699401855
diffusion,0.1901262691244483,2500,0.03913458064198494
diffusion,0.17806562408804893,3000,0.035946425050497055
diffusion,0.1744495365768671,3500,0.04111510515213013
diffusion,0.1726372255012393,4000,0.04454793781042099
diffusion,0.16945675956085324,4500,0.041308071464300156
diffusion,0.17114420281723142,5000,0.03532419726252556
diffusion,0.16688746167346835,5500,0.03984428942203522
diffusion,0.1702754138968885,6000,0.02924218960106373
diffusion,0.17163849510252477,6500,0.04152143746614456
diffusion,0.17097937194630503,7000,0.05140586569905281
diffusion,0.172558509465307,7500,0.030250633135437965
diffusion,0.17009135046973825,8000,0.0269728135317564
diffusion,0.17174550630152224,8500,0.029425255954265594
diffusion,0.1738211159594357,9000,0.02521338127553463
diffusion,0.17299324106425046,9500,0.040150098502635956
