gamma,method,motion_coherence_reduction,nonartifact_observation_preservation,protocol,record_rows,reference_free_covariance_distortion,reference_free_psd_distortion
0.25,DET-MATCH,0.003215263171468751,0.947645352719257,S0_STATIC_XSESSION,59,0.06173543196981171,0.07433903830469255
0.5,DET-MATCH,0.006949325518335326,0.8952907051267576,S0_STATIC_XSESSION,59,0.1170523243301681,0.14131114274950035
0.75,DET-MATCH,0.01144255486206483,0.8429360558452496,S0_STATIC_XSESSION,59,0.1661558019682781,0.20118122790561263
1.0,DET-MATCH,0.016926495137356095,0.7905814126449622,S0_STATIC_XSESSION,59,0.20929935183778464,0.2542699776645118
1.25,DET-MATCH,0.022903740532317404,0.7382267834776539,S0_STATIC_XSESSION,59,0.24680089275076328,0.30097135041161616
0.25,DET-NULL,0.0034660628475880217,0.9414171943898803,S0_STATIC_XSESSION,59,0.06938206957095329,0.08447116718753793
0.5,DET-NULL,0.007144514597573523,0.8828343872722807,S0_STATIC_XSESSION,59,0.13088239249262879,0.15988104634965628
0.75,DET-NULL,0.011386757085131387,0.824251588197204,S0_STATIC_XSESSION,59,0.18474115506574224,0.22657429215387773
1.0,DET-NULL,0.016815945190393318,0.7656687763124957,S0_STATIC_XSESSION,59,0.2312498053728397,0.2849109320175218
1.25,DET-NULL,0.023425351070650552,0.7070859766139065,S0_STATIC_XSESSION,59,0.27077062173873206,0.33527654575941673
0.25,DET-SHUFFLED,0.0033534035654896395,0.9477717608027949,S0_STATIC_XSESSION,59,0.060042138662689065,0.07241862389787843
0.5,DET-SHUFFLED,0.007191858712141797,0.8955435219252388,S0_STATIC_XSESSION,59,0.11390599079963082,0.1378476796237657
0.75,DET-SHUFFLED,0.011744854877055701,0.8433152914315588,S0_STATIC_XSESSION,59,0.16178587871650313,0.19652744070074316
1.0,DET-SHUFFLED,0.017231514109140735,0.7910870423351052,S0_STATIC_XSESSION,59,0.20391928254944713,0.24874383651540946
1.25,DET-SHUFFLED,0.02299586557230707,0.7388587988502646,S0_STATIC_XSESSION,59,0.24060358678312127,0.29484369674444955
0.25,DET-WRONG-1,0.0040577565146199725,0.9414015398439715,S0_STATIC_XSESSION,59,0.06806410023352706,0.08263664147264119
0.5,DET-WRONG-1,0.008626787939061553,0.882803079940505,S0_STATIC_XSESSION,59,0.12806410930102272,0.15569308465267767
0.75,DET-WRONG-1,0.013661522449830831,0.8242046259880319,S0_STATIC_XSESSION,59,0.18057198698433877,0.21975209808640056
1.0,DET-WRONG-1,0.01915800123144004,0.7656061588707617,S0_STATIC_XSESSION,59,0.22635734781491648,0.27559171747258404
1.25,DET-WRONG-1,0.024890601982252073,0.7070077142315143,S0_STATIC_XSESSION,59,0.26634376489629064,0.32417991823690423
0.25,DET-WRONG-2,0.0030481126790834687,0.9464264657166865,S0_STATIC_XSESSION,59,0.06270995213792964,0.0773012759321827
0.5,DET-WRONG-2,0.006417871563363884,0.8928529321989518,S0_STATIC_XSESSION,59,0.11849380252967694,0.14658348826628367
0.75,DET-WRONG-2,0.0102825669287625,0.83927939581227,S0_STATIC_XSESSION,59,0.16755065904081662,0.20804000338460554
1.0,DET-WRONG-2,0.014952458535968247,0.7857058639085647,S0_STATIC_XSESSION,59,0.21013215053469952,0.2619130888843309
1.25,DET-WRONG-2,0.020260081863251782,0.7321323132047713,S0_STATIC_XSESSION,59,0.24656393601041812,0.30851078069753063
0.25,DET-WRONG-3,0.003241865911473662,0.9468316944647517,S0_STATIC_XSESSION,59,0.06012280050082018,0.07271635488575419
0.5,DET-WRONG-3,0.006847917938889083,0.8936633894346275,S0_STATIC_XSESSION,59,0.11390969246873814,0.13820904333902112
0.75,DET-WRONG-3,0.010963438299752899,0.8404950829522716,S0_STATIC_XSESSION,59,0.16161373570236107,0.19680768236817825
1.0,DET-WRONG-3,0.01574895884525978,0.7873267771013207,S0_STATIC_XSESSION,59,0.20354155224469878,0.24887175703326525
1.25,DET-WRONG-3,0.020684623617236896,0.7341584836338031,S0_STATIC_XSESSION,59,0.2400720818690071,0.2948037787908846
0.25,DIFF-MATCH,0.001724811081411475,0.9431603569537401,S0_STATIC_XSESSION,59,0.053580394875653393,0.06267419562406712
0.5,DIFF-MATCH,0.004581332301436845,0.8863207129130172,S0_STATIC_XSESSION,59,0.10256815423176806,0.12084515242821585
0.75,DIFF-MATCH,0.008610941217107287,0.8294810704192368,S0_STATIC_XSESSION,59,0.14751208090826398,0.17505849204894344
1.0,DIFF-MATCH,0.013808221824593464,0.7726414270888445,S0_STATIC_XSESSION,59,0.1890224637626299,0.22589478524938478
1.25,DIFF-MATCH,0.020116335633447616,0.7158017791176247,S0_STATIC_XSESSION,59,0.22774953940095044,0.2739401122207864
0.25,DIFF-NULL,0.0020672379345712017,0.9364549553937326,S0_STATIC_XSESSION,59,0.0654354771714539,0.07642244640737772
0.5,DIFF-NULL,0.0056072988752591405,0.8729099104401924,S0_STATIC_XSESSION,59,0.12431546391692459,0.14621587141843165
0.75,DIFF-NULL,0.01070612151238878,0.8093648845866576,S0_STATIC_XSESSION,59,0.17729375288544802,0.21001140148205272
1.0,DIFF-NULL,0.017385133621046097,0.745819821890633,S0_STATIC_XSESSION,59,0.22511588657945258,0.2685003006294117
1.25,DIFF-NULL,0.02558053382751295,0.6822747656349408,S0_STATIC_XSESSION,59,0.26860192062708715,0.3224096267278922
0.25,DIFF-POP,0.0020672379345712017,0.9364549553937326,S0_STATIC_XSESSION,59,0.0654354771714539,0.07642244640737772
