fold,lambda_label,lambda_value,state_bytes_float32,top1_accuracy,top3_accuracy,same_different_auroc,within_distance,between_distance,participants
0,0.05,0.05,9752,0.4666666666666667,0.8,0.8473015873015873,0.5325137124349608,0.9259205289405973,15
0,0.10,0.1,9752,0.4666666666666667,0.8,0.8638095238095239,1.0373972699796776,1.8321155037871486,15
0,0.15,0.15,9752,0.4,0.8,0.8752380952380953,1.5167296875249514,2.725708539711343,15
0,0.20,0.2,9752,0.4,0.8,0.8768253968253968,1.9795265868682734,3.6066774875916403,15
1,0.05,0.05,9752,0.4,0.7333333333333333,0.8726984126984126,0.5723719722166927,1.0019445825067128,15
1,0.10,0.1,9752,0.4,0.8666666666666667,0.8796825396825397,1.1384111349214368,2.0116447688573196,15
1,0.15,0.15,9752,0.4666666666666667,0.8666666666666667,0.8755555555555555,1.7287918493246754,2.9821961445936913,15
1,0.20,0.2,9752,0.4666666666666667,0.8,0.8653968253968254,2.3306039372370937,3.9537533446904267,15
2,0.05,0.05,9752,0.4,0.4666666666666667,0.7476190476190476,0.8370243194533528,1.2357581072583417,15
2,0.10,0.1,9752,0.5333333333333333,0.7333333333333333,0.8831746031746031,1.165538655815596,2.081507484562996,15
2,0.15,0.15,9752,0.4666666666666667,0.7333333333333333,0.8387301587301588,1.7750597343908359,2.9832375040330406,15
2,0.20,0.2,9752,0.4,0.6666666666666666,0.8555555555555556,2.2468328843333847,3.8242840369010658,15
3,0.05,0.05,9752,0.4666666666666667,0.6666666666666666,0.848888888888889,0.5182459930391433,0.8898930734823799,15
3,0.10,0.1,9752,0.4666666666666667,0.6666666666666666,0.8492063492063493,1.0363577629526044,1.7800048169915303,15
3,0.15,0.15,9752,0.4,0.6666666666666666,0.8485714285714286,1.5549660952808015,2.670171953195798,15
3,0.20,0.2,9752,0.4,0.6666666666666666,0.8473015873015873,2.072571093039256,3.558452131976196,15
4,0.05,0.05,9752,0.4,0.7333333333333333,0.8596825396825397,0.5013548835594697,0.8998005995359349,15
4,0.10,0.1,9752,0.4,0.7333333333333333,0.8596825396825397,1.0021596021904529,1.7996308888116017,15
4,0.15,0.15,9752,0.4,0.7333333333333333,0.8590476190476192,1.5039191689291824,2.7001905668696846,15
4,0.20,0.2,9752,0.4,0.8,0.8571428571428572,2.004841107847585,3.5992476572058227,15
