participant,day,class,H_P,H_W
1,2,0,0.08565251421928403,0.10129007476568223
1,2,1,0.09682975447177884,0.12685039433836937
1,3,0,-0.1399900662899017,-0.020783108890056568
1,3,1,-0.13481290985126884,-0.0009031172005497634
2,2,0,-0.11478016438583531,0.005502243712544441
2,2,1,-0.11851856543662702,0.005072358440845593
2,3,0,-0.03826906489876083,0.044150637933668045
2,3,1,-0.036498573105385956,0.05114308709793904
3,2,0,0.0019814107418060444,0.07451760050654413
3,2,1,0.0036626927852630555,0.07654057967662813
3,3,0,-0.09376573511894706,-0.09198719643531954
3,3,1,-0.08010651283793982,-0.09647311485475965
4,2,0,-0.18985139265352366,-0.0912482952585026
4,2,1,-0.17923758452137312,-0.08115093798066182
4,3,0,-0.13166619886954625,-0.04487093832964697
4,3,1,-0.14158567578293554,-0.04525153345839918
5,2,0,-0.02209569966793059,0.0687274024486542
5,2,1,-0.021993720531463645,0.07002437576651574
5,3,0,0.06647920887520975,0.11092489114467137
5,3,1,0.06540889299434163,0.0929858841973803
6,2,0,0.0915314874301354,0.1885611198842525
6,2,1,0.09416602351095367,0.17081979477535128
6,3,0,0.07756513630350433,0.0997777375082175
6,3,1,0.07295692233329125,0.09611886980685788
7,2,0,0.029957377910614015,0.1033907133042812
7,2,1,0.02033222436904909,0.11651842591166497
7,3,0,0.04267063289880753,0.12794532254338262
7,3,1,0.033075515180826166,0.13778318533052997
8,2,0,-0.07350780989261385,-0.009153970283396684
8,2,1,-0.06767405892940277,0.007982607534591213
8,3,0,-0.08767368886205884,-0.0013658931520249995
8,3,1,-0.07901377555998887,0.02543858401477339
9,2,0,-0.04734311163425444,-0.022562867581844316
9,2,1,-0.04658939003944398,0.0012230785191059024
9,3,0,-0.07167728811502454,-0.015188222914934112
9,3,1,-0.06537222570180894,0.007504424333572346
10,2,0,0.049250550726626784,0.1286281751825455
10,2,1,0.047482164489462034,0.131888418977565
10,3,0,0.08928345608711238,0.10267165130376814
10,3,1,0.07574461841583253,0.10127649560570713
11,2,0,0.027148717033619808,0.19846105733696298
11,2,1,0.041130387915505315,0.22016984426312974
11,3,0,0.07701140487194061,0.24822039067745205
11,3,1,0.08139016366004947,0.2648535209298134
12,2,0,0.04764795766936405,0.1152641110618909
12,2,1,0.029559199188066553,0.08881287377165711
12,3,0,0.09486681247244078,0.1472448979105268
12,3,1,0.06754507708052795,0.1096544836337368
13,2,0,0.24940400693151688,0.31968812770313687
13,2,1,0.25555225817524657,0.3231128139763463
13,3,0,0.20986707079410555,0.2772264713048935
13,3,1,0.203975589632988,0.2745735803842545
14,2,0,-0.040501283605893466,0.04769099562739332
14,2,1,-0.017892911839992465,0.06671901063082061
14,3,0,-0.06597420256965014,0.08514270438831684
14,3,1,-0.0623139707155006,0.09295920882114146
15,2,0,-0.013792759560524148,0.06845069251796032
15,2,1,-0.023195090144872643,0.06308161513879895
15,3,0,-0.25856516896150056,-0.13693139717364922
15,3,1,-0.25534751868766287,-0.10697022757452461
16,2,0,-0.0021880708932876746,-0.007706725299358319
16,2,1,0.0072096172571181946,-0.003624449282884612
16,3,0,0.034285676479339576,0.0369379697144032
16,3,1,0.04002075028419494,0.04303223335742952
17,2,0,0.04504309260845183,0.04753861173987388
17,2,1,0.03878730630874636,0.03976665821671486
17,3,0,-0.033447068929672266,0.007936929600934128
17,3,1,-0.03545550179481507,0.0020040282905102067
18,2,0,-0.0020664279460907097,0.01396984219551085
18,2,1,0.009759768366813647,0.02536507630348204
18,3,0,-0.021581320762634283,0.0053309541642666105
18,3,1,-0.025163895130157467,-0.0012292686998844004
19,2,0,-0.08513773413414653,-0.08817015762658831
19,2,1,-0.07833025368551416,-0.07783668454115585
19,3,0,-0.06590054351456313,-0.07933796562102377
19,3,1,-0.03688704941007823,-0.04927984837028716
20,2,0,0.03389977741241457,0.07711133185029033
20,2,1,0.00012164580821987237,0.018418243765830965
20,3,0,0.02307396483421322,0.05923564426600934
20,3,1,0.00955954325199133,0.03942896927893167
21,2,0,-0.0658400398492813,0.04545831727981571
21,2,1,-0.05632509029641446,0.046964557256017406
21,3,0,-0.04274254726326985,0.05166818810545881
21,3,1,-0.03292760455862007,0.04938116628438871
22,2,0,0.0008028267621993824,0.12814114394783974
22,2,1,0.012772421121597332,0.125001488506794
22,3,0,-0.08160145926475526,-0.006302635312080395
22,3,1,-0.08428485012054446,-0.013966784238815255
23,2,0,-0.1194436259891676,-0.06701426661532857
23,2,1,-0.11250413556893664,-0.05829627290368085
23,3,0,-0.07052493453025817,-0.04596741628646852
23,3,1,-0.07672286447213623,-0.05000319036902214
24,2,0,-0.02450480542399667,0.09601185081357307
24,2,1,-0.026644805230592407,0.08126686901638384
24,3,0,-0.004395528808236127,0.10728645641356704
24,3,1,-0.004141002200370614,0.09581671561612637
25,2,0,-0.04942545413970949,-0.005156407952308606
25,2,1,-0.04430702950092073,-0.005128514196010325
25,3,0,-0.05141226597454236,-0.0017922604213590043
25,3,1,-0.03983449414372449,0.012607440538704374
