participant,family,H_P,H_W
1,head_motion,-0.0053167183514760685,0.08255813870807086
1,chewing,-0.023141331739571613,0.05427172350868281
1,tongue,-0.03160924166136858,0.04092919451545696
1,swallowing,-0.025220675349843763,0.04506763918819476
1,facial_emg,-0.030112917210374568,0.03524110784640119
2,head_motion,-0.04832977114042655,0.04635351081180916
2,chewing,-0.07236650406705633,0.0328073027288491
2,tongue,-0.08554276922133447,0.0111972091650622
2,swallowing,-0.08814128238927621,0.027229703024065077
2,facial_emg,-0.09070263296516784,0.014747683251460864
3,head_motion,-0.04036163857431274,0.005161958269986333
3,chewing,-0.04499568646117583,-0.014469234520309626
3,tongue,-0.03527183743585646,-0.00809702475161131
3,swallowing,-0.047152670605667385,-0.01166647112873287
3,facial_emg,-0.0425033474602598,-0.017681891752966195
4,head_motion,-0.1602469307102034,-0.06220683913757935
4,chewing,-0.1260317973360853,-0.041478391331750936
4,tongue,-0.17839505615801954,-0.07572150604056507
4,swallowing,-0.1713459552948615,-0.07807424466324284
4,facial_emg,-0.1669063252850535,-0.07067115011087502
5,head_motion,-0.001728661422730593,0.1430928281710847
5,chewing,0.018665684589514786,0.07128821637429761
5,tongue,0.038546652009815746,0.0876398494405454
5,swallowing,0.025498812177134927,0.05646492041812859
5,facial_emg,0.02876586473396156,0.06984237754247072
6,head_motion,0.16399761944801888,0.2514024295953553
6,chewing,0.0684173513325049,0.11665886541672862
6,tongue,0.07590598118429157,0.12051919093931335
6,swallowing,0.0646712617639072,0.10229934516464514
6,facial_emg,0.04728224824363325,0.10321707135230654
7,head_motion,-0.011069352645426966,0.1391814626396323
7,chewing,0.041992129838714976,0.1148081312018136
7,tongue,0.038954204351951655,0.1292567971146976
7,swallowing,0.047800773152460674,0.11486214543071882
7,facial_emg,0.039866933251420655,0.10893852247546115
8,head_motion,-0.09394137766608535,0.04570362721602869
8,chewing,-0.07141533191777186,0.004264783718423731
8,tongue,-0.09893460928330541,-0.02626445601349417
8,swallowing,-0.05834271760123816,0.0042793588667175975
8,facial_emg,-0.062202630086679644,0.0006433463547527996
9,head_motion,-0.20208289086818695,-0.08633160578086976
9,chewing,-0.03461318716406822,-0.0017086761072277745
9,tongue,-0.03603606298565867,0.01668184040114279
9,swallowing,-0.004879831373691523,0.018918176591396385
9,facial_emg,-0.011115546971559503,0.01616078034043314
10,head_motion,-0.03483994136465354,0.05723888946578226
10,chewing,0.07826629642476426,0.11928161602863607
10,tongue,0.06131690273259546,0.12286067173677556
10,swallowing,0.1048686406079759,0.13675441798377544
10,facial_emg,0.11758908874811008,0.14444533112201285
11,head_motion,0.03152427658371104,0.2289486753796977
11,chewing,0.07253273926084008,0.2227846537479738
11,tongue,0.04538052102673351,0.255533789737053
11,swallowing,0.06660231586621734,0.23375622377019217
11,facial_emg,0.06731098911389202,0.22360767387428115
12,head_motion,0.07737477758372657,0.1821953061356022
12,chewing,0.06118582795102953,0.112871819308353
12,tongue,0.036986085618808895,0.09776197233798617
12,swallowing,0.07100175893921995,0.1001140630776686
12,facial_emg,0.05297535792021421,0.08327729711265458
13,head_motion,0.13682533003271574,0.2857819943942653
13,chewing,0.2291919823403126,0.2824402354811392
13,tongue,0.25475197309640796,0.31320253716507196
13,swallowing,0.2700994146907546,0.31316474756044327
13,facial_emg,0.2576299567571303,0.29866172710986916
14,head_motion,-0.07359446097124867,0.09758044109071493
14,chewing,-0.014429753841132403,0.08329373822395394
14,tongue,-0.07978415088264143,0.06384624055787158
14,swallowing,-0.03665266073936255,0.05682314580543524
14,facial_emg,-0.028891934479410797,0.0640963336566146
15,head_motion,-0.2546042334622812,-0.12601206025415415
15,chewing,-0.12209305884669347,-0.02687092589574916
15,tongue,-0.11252756901240454,0.003743290313239639
15,swallowing,-0.10251487042422111,0.008387625840710788
15,facial_emg,-0.09688593994759984,0.00029042363168468865
16,head_motion,0.022546085268259047,0.06882187407463788
16,chewing,0.012826405018568021,0.01714146491140134
16,tongue,0.013031790256500225,0.013382199518382543
16,swallowing,0.02343379795551298,-0.005317969992756827
16,facial_emg,0.02732188791036602,-0.008228782899677711
17,head_motion,-0.0030979897206028506,0.041767519153654536
17,chewing,0.027585584633052357,0.037938914190356915
17,tongue,-0.014074785870810347,0.01397632928875589
17,swallowing,-0.006593038315574368,0.014418480672563072
17,facial_emg,0.01484001451482378,0.013456541504710928
18,head_motion,0.004557826071977633,0.042010174281895185
18,chewing,0.005772400498390229,0.008759354948997572
18,tongue,-0.023060590922832525,0.0048021337389945185
18,swallowing,-0.02150131344795228,-0.0005822166055441114
18,facial_emg,-0.014583166539669068,-0.0006936914101242919
19,head_motion,-0.14303122217876,-0.13937464544326653
19,chewing,-0.057431769979324254,-0.06371195347318004
19,tongue,-0.04837556756227587,-0.06092320187669187
19,swallowing,-0.04524675209697801,-0.059176733317874014
19,facial_emg,-0.038734164113039454,-0.04509428608780641
20,head_motion,0.0055318312346935294,0.04000928603112697
20,chewing,0.019946786463260646,0.0642069409787655
20,tongue,0.023430791348218932,0.07667169008404015
20,swallowing,0.03391067102551462,0.04997214753180751
20,facial_emg,0.0004985840618610127,0.011882671825587748
21,head_motion,-0.08187627753754187,0.014474037783818033
21,chewing,-0.0593734547596948,0.030232362628295956
21,tongue,-0.044552885338864645,0.06549312632871326
21,swallowing,-0.03428242954968827,0.06247210218604621
21,facial_emg,-0.027209055273692523,0.06916865723022733
22,head_motion,-0.045305313616991,0.05416924964636566
22,chewing,-0.007737027108669303,0.08806086324155332
22,tongue,-0.06462444841861725,0.029177408777177366
22,swallowing,-0.036198235154151964,0.06229777980595824
22,facial_emg,-0.03652380257844923,0.057386214658617984
23,head_motion,-0.20214110812364564,-0.18782159611451366
23,chewing,-0.08120242360955074,-0.0445292913173434
23,tongue,-0.08620813978253625,-0.031682971506601265
23,swallowing,-0.0643989319510756,-0.01418091001059596
23,facial_emg,-0.04004384723381507,0.0016133362309291854
24,head_motion,-0.032794006149028276,0.0997032336491308
24,chewing,-0.022073296247989233,0.08798848612866031
24,tongue,-0.02050092204510079,0.08578578267875309
24,swallowing,-0.007861156799637004,0.09446288023510446
24,facial_emg,0.008621704162760535,0.10753698213291424
25,head_motion,-0.012116362105682454,0.07077369426771221
25,chewing,-0.019949822813143808,0.021832027645423302
25,tongue,-0.08819301346027267,-0.05265390484708965
25,swallowing,-0.06993539455013734,-0.03284899749486214
25,facial_emg,-0.04102946176938507,-0.006439997109900675
