participant,fold,H_P,H_W,match_rrmse,pop_rrmse,mean_wrong_rrmse,mi_accuracy_match,mi_accuracy_pop,mi_accuracy_margin
1,0,-0.023080176862526947,0.05161356075336132,0.7979531082742068,0.7748729314116799,0.8495666690275682,0.5276262626262627,0.5377272727272727,-0.010101010101010055
2,0,-0.07701659195665211,0.02646708179624946,0.8976668220206921,0.82065023006404,0.9241339038169416,0.6878947368421053,0.7139473684210527,-0.026052631578947327
3,0,-0.04205703610745437,-0.009350532776726594,0.9156233389254298,0.8735663028179754,0.9062728061487032,0.551304347826087,0.5354347826086957,0.015869565217391246
4,0,-0.1605852129568447,-0.06563042625680271,0.9583044323794694,0.7977192194226247,0.8926740061226667,0.5331369661266568,0.5276424606321514,0.005494505494505475
5,0,0.021949670417539036,0.0856656383893053,0.9421960387429797,0.9641457091605188,1.027861677132285,0.5503225806451613,0.5553225806451614,-0.0050000000000001155
6,1,0.08405489239447106,0.13881938049366993,0.786713807542518,0.870768699936989,0.9255331880361879,0.6135498320268757,0.5977043673012318,0.015845464725643965
7,1,0.03150893758982387,0.12140941177246456,0.7556716429156564,0.7871805805054802,0.8770810546881209,0.5989583333333333,0.5885416666666667,0.010416666666666519
8,1,-0.0769673333110159,0.005725332028485797,0.9156061873452241,0.8386388540342082,0.9213315193737099,0.5610207984699975,0.5663399474061679,-0.005319148936170359
9,1,-0.057745503872633,-0.007255896911025128,0.8107868270576001,0.7530413231849671,0.803530930146575,0.485,0.49,-0.0050000000000000044
10,1,0.06544019742975837,0.11611618526739642,0.720904392982417,0.7863445904121754,0.8370205782498135,0.49468085106382975,0.48404255319148937,0.010638297872340385
11,2,0.05667016837027872,0.23292620330183955,0.7449955562605204,0.8016657246307991,0.9779217595623599,0.4584042553191489,0.4637234042553191,-0.005319148936170193
12,2,0.05990476160259972,0.11524409159445292,0.8258800170333259,0.8857847786359256,0.9411241086277788,0.509459612552396,0.48334655035685964,0.026113062195536385
13,2,0.22969973138346422,0.2986502483421577,0.711619495784885,0.9413192271683493,1.0102697441270427,0.7378723404255318,0.7488297872340426,-0.01095744680851074
14,2,-0.04667059218275915,0.0731279798669181,0.8441121250363212,0.797441532853562,0.9172401049032393,0.519279176201373,0.5194508009153318,-0.00017162471395881784
15,2,-0.1377251343386403,-0.028092329272853767,0.9954120550639768,0.8576869207253365,0.967319725791123,0.49504643962848294,0.5015479876160991,-0.006501547987616152
16,3,0.019831993281841154,0.01715975712239748,0.7408866330385209,0.760718626320362,0.7580463901609183,0.5449999999999999,0.54,0.004999999999999893
17,3,0.0037319570481777475,0.02431155696200804,0.9351849423746268,0.9389168994228045,0.9594964993366348,0.48469387755102045,0.48469387755102045,0.0
18,3,-0.009762968868017197,0.010859150990844002,0.8215128988325595,0.8117499299645423,0.8323720498234035,0.515,0.515,0.0
19,3,-0.06656389518607542,-0.0736561640397636,0.9216412364661066,0.8550773412800312,0.847985072426343,0.5344904815229563,0.5238521836506159,0.010638297872340385
20,3,0.016663732826709854,0.0485485472902657,0.7339241286963223,0.7505878615230321,0.782472675986588,0.5,0.5,0.0
21,4,-0.04945882049189665,0.048368057231420014,0.8280934645234448,0.7786346440315481,0.8764615217548648,0.6366894753991528,0.6256109481915934,0.011078527207559419
22,4,-0.03807776537537588,0.058218303225934354,0.8760220947563649,0.8379443293809891,0.9342403979822993,0.51,0.5,0.010000000000000009
23,4,-0.09479889014012455,-0.05532028654362531,0.9962306232752312,0.9014317331351066,0.9409103367316058,0.4652912099720611,0.45997206103589083,0.005319148936170248
24,4,-0.014921535415798881,0.09509547296491283,0.7704306146866795,0.7555090792708806,0.8655260876515923,0.5153540993241258,0.5213781957096679,-0.0060240963855421326
25,4,-0.046244810939724434,0.000132564492256515,0.9938141642200546,0.9475693532803302,0.9939467287123112,0.547641073080481,0.5477567067530065,-0.00011563367252542811
