digest,fold,participant,query_start,session,support_owner,support_start_max,support_start_min,task,window_samples,windows,wrong_owner
07c7cd0e0d8c97afe0ed84c42b272f4c1eb1454b27d11af4b6cabe6f0748903d,0,sub-02,30000,ses-02,sub-02,11762,2499,ERP,200,16,sub-12
b03dc91744f77caba81a86ce3b0648a0d04aa2de82fc14bf66c34400214eff85,0,sub-03,30000,ses-02,sub-03,11229,118,SSVEP,200,16,sub-23
c51732b564572b9a0f6fa486f98fee81fd87cc90d3ef5a309d2f5b6210a62cba,0,sub-03,30000,ses-04,sub-03,11715,474,ERP,200,16,sub-24
1233227b3c01290badd06021209a4ff6b7246aa78159c6c6ee07d3c7304d1068,0,sub-05,30000,ses-03,sub-05,11305,1986,ERP,200,16,sub-23
36ce4d96255c966cf93345823c46ac6a595dc07d9433963e045f1ece3fa2775a,0,sub-05,30000,ses-03,sub-05,11171,949,SSVEP,200,16,sub-23
83d168ecb077a5bbdde3ab62308609985cc8f7f6011b4cf00ec3f99c443226ff,0,sub-05,30000,ses-02,sub-05,11549,44,SSVEP,200,16,sub-03
bf4e864ef04fb51e3b518dbab170505dca97cf14defc914ed8e28fb0d002f30e,0,sub-05,30000,ses-04,sub-05,11628,618,SSVEP,200,16,sub-17
ed4be4616afe2a7e21e225bf7c6c9e148f9a09168a8ae0958c18a43b92b10ee4,0,sub-05,30000,ses-04,sub-05,10602,169,ERP,200,16,sub-12
5852b1d6da9888cfb28ed11a46ef11817be47e3f9249dc693d7f7e3d94c4193c,0,sub-03,30000,ses-04,sub-03,11711,15,ERP,200,16,sub-17
54a28c4aa12abcf2af35cde9a92d7a099e12edd05a4ab4e31922d5f84c8466cd,0,sub-05,30000,ses-02,sub-05,11491,151,ERP,200,16,sub-03
0c592dba15775ac1ee4ed150b52510d4723bfa11bd8c68bef12e6c13ac320e40,0,sub-05,30000,ses-04,sub-05,10936,55,ERP,200,16,sub-17
437c9fe19f2ab2f594195d848482b38de9d446824fcfc67289e748a791dc625d,0,sub-03,30000,ses-02,sub-03,9539,1734,ERP,200,16,sub-02
1530d475f8bbd7c4f7b57596c627c37c52a85d5fba42744b8f256cae52e921c6,0,sub-03,30000,ses-02,sub-03,11590,717,ERP,200,16,sub-24
ba6d266bbcf09b7612bfda3e27c0934f22908cff194e9a013cd70d3a33630f85,0,sub-03,30000,ses-03,sub-03,11736,317,SSVEP,200,16,sub-02
439774679ea840f2fb06ce759c41f62ae9a507c2548d2df0213867c0e8d6cf8e,0,sub-02,30000,ses-03,sub-02,11092,134,ERP,200,16,sub-18
25f88a4f128f72684a7432e6e86c28e5251486e5a581e3e52e9b25698879858e,0,sub-05,30000,ses-04,sub-05,11547,48,SSVEP,200,16,sub-03
f6c09e134ef7a9d378c8ecaaae3f401ce756ae9cbd6ca1db004f8852b8e4ddea,0,sub-03,30000,ses-03,sub-03,11588,2016,ERP,200,16,sub-11
cf2c5e3c92b4d815c97204abf42f149c1c7ac9a0955c2acc03cdfb94d04c8f1f,0,sub-03,30000,ses-03,sub-03,11179,1593,SSVEP,200,16,sub-19
838a6d4bb11780e6fece0989c4cc4f5bde163ff655b696b66fa101a6cbb0b1d3,0,sub-03,30000,ses-04,sub-03,11262,2793,SSVEP,200,16,sub-02
