device,fold,latency_ms_per_window,model,parameters,seed,training_seconds,updates
NVIDIA A100-PCIE-40GB,0,,setcalib_det,1136355,20260825,20.601937294006348,5000
NVIDIA A100-PCIE-40GB,0,,setcalib_det,1136355,20260826,440.1769332885742,5750
NVIDIA A100-PCIE-40GB,0,,setcalib_det,1136355,20260827,399.3391532897949,5250
NVIDIA A100-SXM4-40GB,1,,setcalib_det,1136355,20260825,467.43117666244507,7250
NVIDIA A100-SXM4-40GB,1,,setcalib_det,1136355,20260826,578.0430552959442,9500
NVIDIA A100-SXM4-40GB,1,,setcalib_det,1136355,20260827,727.0320498943329,12250
NVIDIA A100-PCIE-40GB,2,,setcalib_det,1136355,20260825,217.19108319282532,14500
NVIDIA A100-PCIE-40GB,2,,setcalib_det,1136355,20260826,467.7423243522644,6250
NVIDIA A100-PCIE-40GB,2,,setcalib_det,1136355,20260827,903.1614909172058,11750
NVIDIA A100-PCIE-40GB,3,,setcalib_det,1136355,20260825,1067.814616203308,14000
NVIDIA A100-SXM4-40GB,3,,setcalib_det,1136355,20260826,814.6871457099915,12750
NVIDIA A100-SXM4-40GB,3,,setcalib_det,1136355,20260827,289.5376000404358,4500
NVIDIA A100-SXM4-40GB,4,,setcalib_det,1136355,20260825,242.40959811210632,4250
NVIDIA A100-PCIE-40GB,4,,setcalib_det,1136355,20260826,300.151376247406,4000
NVIDIA A100-SXM4-40GB,4,,setcalib_det,1136355,20260827,664.7146291732788,10500
NVIDIA A100-PCIE-40GB,0,,setcalib_diff,300040,20260825,507.98462891578674,13000
NVIDIA A100-SXM4-40GB,0,,setcalib_diff,300040,20260826,197.0816776752472,6000
NVIDIA A100-SXM4-40GB,0,,setcalib_diff,300040,20260827,193.54791712760925,6000
NVIDIA A100-SXM4-40GB,1,,setcalib_diff,300040,20260825,240.00992345809937,8000
NVIDIA A100-PCIE-40GB,1,,setcalib_diff,300040,20260826,238.85309314727783,6000
NVIDIA A100-PCIE-40GB,1,,setcalib_diff,300040,20260827,354.2994544506073,9000
NVIDIA A100-PCIE-40GB,2,,setcalib_diff,300040,20260825,336.5195291042328,8500
NVIDIA A100-SXM4-40GB,2,,setcalib_diff,300040,20260826,487.4682779312134,15250
NVIDIA A100-SXM4-40GB,2,,setcalib_diff,300040,20260827,131.97308778762817,4000
NVIDIA A100-SXM4-40GB,3,,setcalib_diff,300040,20260825,217.336523771286,6750
NVIDIA A100-PCIE-40GB,3,,setcalib_diff,300040,20260826,355.3909752368927,9000
NVIDIA A100-SXM4-40GB,3,,setcalib_diff,300040,20260827,215.3514232635498,6500
NVIDIA A100-PCIE-40GB,4,,setcalib_diff,300040,20260825,349.63327169418335,8750
NVIDIA A100-PCIE-40GB,4,,setcalib_diff,300040,20260826,460.38465189933777,11750
NVIDIA A100-PCIE-40GB,4,,setcalib_diff,300040,20260827,436.0666489601135,11000
GPU,4,12.28435585896174,joint_evaluation_bundle,,20260827,2.3585963249206543,
GPU,0,9.528324007987976,joint_evaluation_bundle,,20260825,1.8294382095336914,
GPU,0,9.42908227443695,joint_evaluation_bundle,,20260826,1.8103837966918945,
GPU,0,9.458015362421671,joint_evaluation_bundle,,20260827,1.815938949584961,
GPU,1,11.894642064968744,joint_evaluation_bundle,,20260825,2.283771276473999,
GPU,1,12.322824448347092,joint_evaluation_bundle,,20260826,2.3659822940826416,
GPU,1,12.168577561775843,joint_evaluation_bundle,,20260827,2.336366891860962,
GPU,2,12.356426566839218,joint_evaluation_bundle,,20260825,2.37243390083313,
GPU,2,12.282061080137888,joint_evaluation_bundle,,20260826,2.3581557273864746,
GPU,2,9.23901672164599,joint_evaluation_bundle,,20260827,1.7738912105560303,
GPU,3,9.156999488671621,joint_evaluation_bundle,,20260825,1.7581439018249512,
GPU,3,9.417415906985601,joint_evaluation_bundle,,20260826,1.8081438541412354,
GPU,3,11.760457108418146,joint_evaluation_bundle,,20260827,2.258007764816284,
GPU,4,12.166799356540045,joint_evaluation_bundle,,20260825,2.3360254764556885,
GPU,4,12.40654413898786,joint_evaluation_bundle,,20260826,2.382056474685669,
