contrast,effect,metric,panel,participant,positive
DET_MATCH_POP,0.0005559459891779639,rrmse_temporal,paired,sub-02,1
DET_MATCH_POP,-0.0014473678113903765,rrmse_temporal,paired,sub-03,0
DET_MATCH_POP,0.0029593362264629386,rrmse_temporal,paired,sub-05,1
DET_MATCH_POP,0.007360292924338652,rrmse_temporal,paired,sub-06,1
DET_MATCH_POP,0.011653717676868902,rrmse_temporal,paired,sub-07,1
DET_MATCH_POP,0.0033864587306062788,rrmse_temporal,paired,sub-09,1
DET_MATCH_POP,0.028770773921114157,rrmse_temporal,paired,sub-11,1
DET_MATCH_POP,0.03343964378260317,rrmse_temporal,paired,sub-12,1
DET_MATCH_POP,0.011524884088128962,rrmse_temporal,paired,sub-14,1
DET_MATCH_POP,0.027919929437760227,rrmse_temporal,paired,sub-15,1
DET_MATCH_POP,0.001909571269785526,rrmse_temporal,paired,sub-17,1
DET_MATCH_POP,-0.004960926036399416,rrmse_temporal,paired,sub-18,0
DET_MATCH_POP,-0.007212766976234408,rrmse_temporal,paired,sub-19,0
DET_MATCH_POP,-0.005145210210282913,rrmse_temporal,paired,sub-21,0
DET_MATCH_POP,-0.003497294878182622,rrmse_temporal,paired,sub-23,0
DET_MATCH_WRONG,-0.0004888602857326951,rrmse_temporal,paired,sub-02,0
DET_MATCH_WRONG,0.0011122599325812943,rrmse_temporal,paired,sub-03,1
DET_MATCH_WRONG,0.005836865389229451,rrmse_temporal,paired,sub-05,1
DET_MATCH_WRONG,0.007787282569471532,rrmse_temporal,paired,sub-06,1
DET_MATCH_WRONG,0.007147395995339922,rrmse_temporal,paired,sub-07,1
DET_MATCH_WRONG,0.027113118815084825,rrmse_temporal,paired,sub-09,1
DET_MATCH_WRONG,0.04959889025881126,rrmse_temporal,paired,sub-11,1
DET_MATCH_WRONG,0.012053476874419378,rrmse_temporal,paired,sub-12,1
DET_MATCH_WRONG,0.005446952280294126,rrmse_temporal,paired,sub-14,1
DET_MATCH_WRONG,0.04701963268315135,rrmse_temporal,paired,sub-15,1
DET_MATCH_WRONG,0.05935590504557253,rrmse_temporal,paired,sub-17,1
DET_MATCH_WRONG,0.017989512986356537,rrmse_temporal,paired,sub-18,1
DET_MATCH_WRONG,0.004661646686454746,rrmse_temporal,paired,sub-19,1
DET_MATCH_WRONG,0.0008134199894572758,rrmse_temporal,paired,sub-21,1
DET_MATCH_WRONG,0.005514114734133435,rrmse_temporal,paired,sub-23,1
DIFF_MATCH_POP,-0.060191884000114104,rrmse_temporal,paired,sub-02,0
DIFF_MATCH_POP,-0.04078050686607454,rrmse_temporal,paired,sub-03,0
DIFF_MATCH_POP,-0.045047443736295545,rrmse_temporal,paired,sub-05,0
DIFF_MATCH_POP,-0.04467652992602311,rrmse_temporal,paired,sub-06,0
DIFF_MATCH_POP,-0.05305697647470636,rrmse_temporal,paired,sub-07,0
DIFF_MATCH_POP,-0.03455417682858952,rrmse_temporal,paired,sub-09,0
DIFF_MATCH_POP,-0.031127218191679074,rrmse_temporal,paired,sub-11,0
DIFF_MATCH_POP,-0.020759554577377104,rrmse_temporal,paired,sub-12,0
DIFF_MATCH_POP,-0.046743573968351826,rrmse_temporal,paired,sub-14,0
DIFF_MATCH_POP,-0.012673224122552895,rrmse_temporal,paired,sub-15,0
DIFF_MATCH_POP,-0.037387004792779344,rrmse_temporal,paired,sub-17,0
DIFF_MATCH_POP,-0.0713490014503661,rrmse_temporal,paired,sub-18,0
DIFF_MATCH_POP,-0.09445262726822357,rrmse_temporal,paired,sub-19,0
DIFF_MATCH_POP,-0.08434239011748057,rrmse_temporal,paired,sub-21,0
DIFF_MATCH_POP,-0.07114733540631757,rrmse_temporal,paired,sub-23,0
DIFF_MATCH_WRONG,-0.01614068499874577,rrmse_temporal,paired,sub-02,0
DIFF_MATCH_WRONG,0.009665798118109248,rrmse_temporal,paired,sub-03,1
DIFF_MATCH_WRONG,0.026025945978778386,rrmse_temporal,paired,sub-05,1
DIFF_MATCH_WRONG,0.03130552401591846,rrmse_temporal,paired,sub-06,1
DIFF_MATCH_WRONG,0.038966126202307994,rrmse_temporal,paired,sub-07,1
