participant,rrmse_temporal,support_seconds
sub-02,1.7590721716092879,10
sub-03,0.42003918160675185,10
sub-05,0.3241111582065833,10
sub-06,0.348441745613871,10
sub-07,0.2995301243221468,10
sub-09,4.4630175002276635,10
sub-11,0.7049655218718245,10
sub-12,0.37653410834449846,10
sub-14,0.39856443873917063,10
sub-15,0.6903400369609396,10
sub-17,0.43248500926516104,10
sub-18,0.44738923188870644,10
sub-19,0.8753560322608488,10
sub-21,0.41786033934913575,10
sub-23,0.25160749033903296,10
sub-02,1.7570774341703101,30
sub-03,0.41954392781204514,30
sub-05,0.3238440337888104,30
sub-06,0.3481352323856713,30
sub-07,0.29539595565596677,30
sub-09,4.444863302692728,30
sub-11,0.7045364472439841,30
sub-12,0.37129375482785754,30
sub-14,0.3952188273891807,30
sub-15,0.685225350021695,30
sub-17,0.42116076043163686,30
sub-18,0.4406977031140192,30
sub-19,0.8750697924212242,30
sub-21,0.4178342251200229,30
sub-23,0.249151227671815,30
sub-02,1.7559546570604045,60
sub-03,0.4194881856985538,60
sub-05,0.32389837642140845,60
sub-06,0.34775580599353734,60
sub-07,0.2950029448079674,60
sub-09,4.433428340293684,60
sub-11,0.7055695237482296,60
sub-12,0.37129022756723307,60
sub-14,0.39462422977926004,60
sub-15,0.6836659042526865,60
sub-17,0.4220271253497484,60
sub-18,0.4398635461705156,60
sub-19,0.875616904522758,60
sub-21,0.41834319548681376,60
sub-23,0.24882549235759222,60
sub-02,1.7551344698044642,120
sub-03,0.41939612424535916,120
sub-05,0.32369314289671625,120
sub-06,0.34762339907782996,120
sub-07,0.29487137323873036,120
sub-09,4.415484001816705,120
sub-11,0.7051566758768304,120
sub-12,0.37201255189040594,120
sub-14,0.39334739273827934,120
sub-15,0.6831663418768181,120
sub-17,0.4233957111413024,120
sub-18,0.4389255988402384,120
sub-19,0.8756336383715583,120
sub-21,0.4187653998099268,120
sub-23,0.2489252077901493,120
