contrast,effect,participant,seed,severity
DIFF_DET,-0.037238517228294854,sub-02,20260825,mild
DIFF_DET,-0.13119335595651394,sub-02,20260826,mild
DIFF_DET,-0.06294985309891077,sub-02,20260827,mild
DIFF_DET,-0.03430245303421875,sub-03,20260825,mild
DIFF_DET,-0.043780192732810974,sub-03,20260826,mild
DIFF_DET,-0.038161262431565424,sub-03,20260827,mild
DIFF_DET,-0.05542141301945469,sub-05,20260825,mild
DIFF_DET,-0.053871278377140286,sub-05,20260826,mild
DIFF_DET,-0.03678887676108966,sub-05,20260827,mild
DIFF_DET,-0.06588179122089693,sub-06,20260825,mild
DIFF_DET,-0.05586667154501712,sub-06,20260826,mild
DIFF_DET,-0.07887932994506425,sub-06,20260827,mild
DIFF_DET,-0.06624663447857732,sub-07,20260825,mild
DIFF_DET,-0.10301099971614103,sub-07,20260826,mild
DIFF_DET,-0.11444166559903396,sub-07,20260827,mild
DIFF_DET,0.0025683607161044453,sub-09,20260825,mild
DIFF_DET,-0.011556933478762632,sub-09,20260826,mild
DIFF_DET,-0.08038055598735827,sub-09,20260827,mild
DIFF_DET,-0.09522462015350658,sub-11,20260825,mild
DIFF_DET,-0.062460967056129246,sub-11,20260826,mild
DIFF_DET,-0.041649575002099315,sub-11,20260827,mild
DIFF_DET,-0.08495307663598889,sub-12,20260825,mild
DIFF_DET,-0.07066456484608352,sub-12,20260826,mild
DIFF_DET,-0.038738279975950696,sub-12,20260827,mild
DIFF_DET,-0.11338232995735276,sub-14,20260825,mild
DIFF_DET,-0.0538198110824894,sub-14,20260826,mild
DIFF_DET,-0.040573013750346054,sub-14,20260827,mild
DIFF_DET,-0.07685833599418401,sub-15,20260825,mild
DIFF_DET,-0.06407411093823612,sub-15,20260826,mild
DIFF_DET,-0.020078266311126525,sub-15,20260827,mild
DIFF_DET,-0.05128245025306288,sub-17,20260825,mild
DIFF_DET,-0.10009399663518981,sub-17,20260826,mild
DIFF_DET,-0.0151976735331118,sub-17,20260827,mild
DIFF_DET,-0.0762025443346877,sub-18,20260825,mild
DIFF_DET,-0.15115737696178255,sub-18,20260826,mild
DIFF_DET,-0.03481482351198789,sub-18,20260827,mild
DIFF_DET,-0.1087804010344876,sub-19,20260825,mild
DIFF_DET,-0.14893414236997304,sub-19,20260826,mild
DIFF_DET,-0.12397725330665704,sub-19,20260827,mild
DIFF_DET,-0.05190063224962127,sub-21,20260825,mild
DIFF_DET,-0.014537881361320615,sub-21,20260826,mild
DIFF_DET,-0.134066514360408,sub-21,20260827,mild
DIFF_DET,-0.056829528554397435,sub-23,20260825,mild
DIFF_DET,-0.05478442498398098,sub-23,20260826,mild
DIFF_DET,-0.10447376030842187,sub-23,20260827,mild
DIFF_DET,-0.03149607059146686,sub-02,20260825,medium
DIFF_DET,-0.07248677173629403,sub-02,20260826,medium
DIFF_DET,-0.03328080502493924,sub-02,20260827,medium
DIFF_DET,-0.055075253226927356,sub-03,20260825,medium
DIFF_DET,-0.03204527971419424,sub-03,20260826,medium
DIFF_DET,-0.01750375903569734,sub-03,20260827,medium
DIFF_DET,-0.03695532360247206,sub-05,20260825,medium
DIFF_DET,-0.01867553126066923,sub-05,20260826,medium
DIFF_DET,-0.08789161592721934,sub-05,20260827,medium
DIFF_DET,-0.029732148007800163,sub-06,20260825,medium
DIFF_DET,-0.047292614181060344,sub-06,20260826,medium
DIFF_DET,-0.05964054393751378,sub-06,20260827,medium
DIFF_DET,-0.07669105419987127,sub-07,20260825,medium
DIFF_DET,-0.05712771132433164,sub-07,20260826,medium
DIFF_DET,-0.055916661655323385,sub-07,20260827,medium
DIFF_DET,-0.021768367438412817,sub-09,20260825,medium
DIFF_DET,-0.012419311329722404,sub-09,20260826,medium
DIFF_DET,-0.0684197934563544,sub-09,20260827,medium
DIFF_DET,-0.09903641274342168,sub-11,20260825,medium
DIFF_DET,-0.04453773067935424,sub-11,20260826,medium
