fold,match_basis_query_operator_distance,match_basis_support_operator_distance,operator_aux_query_error,participant,seed,session,task,wrong_basis_query_operator_distance
0,3.104116201400757,3.089181900024414,1.034414529800415,sub-02,20260825,ses-02,SSVEP,3.0432944297790527
0,3.0936849117279053,3.121093511581421,0.9915071725845337,sub-02,20260825,ses-04,SSVEP,3.17126727104187
0,3.102590799331665,3.0773839950561523,0.7992092967033386,sub-05,20260825,ses-04,SSVEP,3.0010664463043213
0,3.1333823204040527,3.1345291137695312,0.999645471572876,sub-02,20260825,ses-03,SSVEP,3.087296485900879
0,3.0622496604919434,3.080570697784424,0.5935984253883362,sub-05,20260825,ses-03,ERP,3.0243616104125977
0,3.0543017387390137,2.9883742332458496,0.9682662487030029,sub-03,20260825,ses-03,SSVEP,3.0625100135803223
0,3.073546886444092,3.081465721130371,1.237188696861267,sub-03,20260825,ses-02,SSVEP,3.089695930480957
0,3.0310723781585693,2.96519136428833,0.94677734375,sub-03,20260825,ses-03,SSVEP,3.0640995502471924
0,3.185537099838257,3.165584087371826,1.0002079010009766,sub-02,20260825,ses-03,SSVEP,3.0886600017547607
0,3.117854595184326,3.112328052520752,1.0014628171920776,sub-02,20260825,ses-03,SSVEP,3.0794901847839355
0,3.1580023765563965,3.1521077156066895,1.0017138719558716,sub-02,20260825,ses-03,SSVEP,3.126333236694336
0,3.043708086013794,3.035226583480835,0.7986397743225098,sub-02,20260825,ses-03,ERP,3.0918784141540527
0,3.061201810836792,3.0595059394836426,0.8863815665245056,sub-03,20260825,ses-02,ERP,3.1410937309265137
0,3.0753591060638428,3.081937313079834,1.1407008171081543,sub-03,20260825,ses-02,SSVEP,3.1081480979919434
0,3.0874502658843994,3.0968399047851562,0.7814014554023743,sub-05,20260825,ses-04,ERP,3.073198080062866
0,3.0746490955352783,3.0754079818725586,0.8589857220649719,sub-03,20260825,ses-02,ERP,3.049471139907837
0,3.0957601070404053,3.0859129428863525,1.0346709489822388,sub-02,20260825,ses-02,SSVEP,3.0945212841033936
0,3.167086124420166,3.1577539443969727,1.0011321306228638,sub-02,20260825,ses-03,SSVEP,3.1081759929656982
0,3.1075239181518555,3.136014699935913,0.9120253920555115,sub-02,20260825,ses-04,ERP,3.1271626949310303
0,3.089674234390259,3.071415662765503,1.0196068286895752,sub-02,20260825,ses-02,SSVEP,3.097639799118042
0,3.1635377407073975,3.158493995666504,1.0016895532608032,sub-02,20260825,ses-03,SSVEP,3.028413772583008
0,3.0716075897216797,3.114187479019165,1.284071445465088,sub-05,20260825,ses-02,ERP,3.066920757293701
0,3.039151668548584,3.0381417274475098,0.8201296925544739,sub-02,20260825,ses-03,ERP,3.030446767807007
0,3.073240280151367,3.0878000259399414,0.7805747985839844,sub-05,20260825,ses-04,ERP,3.0885682106018066
0,3.08376407623291,3.1018471717834473,0.6568225622177124,sub-02,20260825,ses-02,ERP,3.0922842025756836
0,3.0709569454193115,3.0670275688171387,1.1780908107757568,sub-03,20260825,ses-02,SSVEP,3.0642940998077393
0,3.081794261932373,3.025669813156128,0.6249722838401794,sub-05,20260825,ses-03,SSVEP,3.074500799179077
0,3.1283011436462402,3.0884416103363037,0.9367736577987671,sub-02,20260825,ses-04,SSVEP,3.174412488937378
0,3.065943956375122,3.085853099822998,0.5927674770355225,sub-05,20260825,ses-03,ERP,3.0556933879852295
0,3.060279607772827,3.067230701446533,1.17075514793396,sub-03,20260825,ses-02,SSVEP,3.132903575897217
0,3.09826397895813,3.0834882259368896,1.032203197479248,sub-02,20260825,ses-02,SSVEP,3.083848237991333
0,3.126415729522705,3.1338050365448,0.919501006603241,sub-02,20260825,ses-04,ERP,3.127547025680542
0,3.0844788551330566,3.0285825729370117,0.6244071125984192,sub-05,20260825,ses-03,SSVEP,3.0780889987945557
0,3.09843111038208,3.1078615188598633,0.8051571846008301,sub-05,20260825,ses-04,ERP,3.0993030071258545
0,3.0355212688446045,3.0477070808410645,1.1768494844436646,sub-03,20260825,ses-02,SSVEP,3.068164110183716
0,3.0313968658447266,3.052323579788208,1.1598738431930542,sub-03,20260825,ses-02,SSVEP,3.0433690547943115
0,3.066300868988037,3.052884340286255,0.7608465552330017,sub-02,20260825,ses-03,ERP,3.035569667816162
0,3.100644111633301,3.0632107257843018,0.8125316500663757,sub-05,20260825,ses-04,SSVEP,3.090449571609497
0,3.0328972339630127,3.0360376834869385,0.9723440408706665,sub-03,20260825,ses-02,ERP,3.067140817642212
0,3.06024432182312,3.0815024375915527,0.5971387624740601,sub-05,20260825,ses-03,ERP,3.0538461208343506
0,3.135451555252075,3.149660587310791,0.9053534865379333,sub-02,20260825,ses-04,ERP,3.1143407821655273
0,3.0813817977905273,3.0717051029205322,1.0458049774169922,sub-02,20260825,ses-02,SSVEP,3.093618631362915
0,3.0773768424987793,3.08125638961792,1.1813467741012573,sub-03,20260825,ses-02,SSVEP,3.1317102909088135
0,3.0891003608703613,3.0774953365325928,1.0288318395614624,sub-02,20260825,ses-02,SSVEP,3.0739145278930664
0,2.9821736812591553,3.044701337814331,0.677522599697113,sub-03,20260825,ses-03,ERP,2.98850417137146
0,3.073621988296509,3.0068435668945312,0.9865906238555908,sub-03,20260825,ses-04,ERP,3.1156551837921143
0,3.0872867107391357,3.117748498916626,1.2720940113067627,sub-05,20260825,ses-02,ERP,3.0647571086883545
0,3.0860555171966553,3.096618890762329,0.7935507297515869,sub-05,20260825,ses-04,ERP,3.0955870151519775
0,3.123792886734009,3.1255645751953125,0.9292975068092346,sub-02,20260825,ses-04,ERP,3.1340513229370117
0,3.0849013328552246,3.0673375129699707,0.776185929775238,sub-02,20260825,ses-03,ERP,3.0319666862487793
0,3.063507318496704,3.009868621826172,0.9383956789970398,sub-03,20260825,ses-04,ERP,3.105194091796875
0,3.0929861068725586,3.0801727771759033,1.0271294116973877,sub-02,20260825,ses-02,SSVEP,3.1172947883605957
0,3.0602779388427734,3.074618339538574,1.274482011795044,sub-03,20260825,ses-02,SSVEP,3.013420820236206
0,3.102158308029175,3.091559410095215,1.041534423828125,sub-02,20260825,ses-02,SSVEP,3.1136481761932373
