absolute_path,mtime_ns,role,sha256,size_bytes
/home/infres/yinwang/denoiseNet_setcalibdiff_v25/configs/setcalibdiff_v25/data.yaml,1786496889858816354,V25_config_or_governance,7c1b447f6ceefec63c52bac8f47993a6809bd1311c4c878781831c56f442b388,1162
/home/infres/yinwang/denoiseNet_setcalibdiff_v25/configs/setcalibdiff_v25/evaluation.yaml,1786496440520039489,V25_config_or_governance,b7b644adcb4f6d4586540bad7858ad31d0aee2f6b238f87f1cac134a51f74489,424
/home/infres/yinwang/denoiseNet_setcalibdiff_v25/configs/setcalibdiff_v25/folds.yaml,1786496440513039430,V25_config_or_governance,d3b74fd36d0cfd224744e0d0ce888a18cd1cf3e0e7ceef22d8f3b16ae735b2ed,832
/home/infres/yinwang/denoiseNet_setcalibdiff_v25/configs/setcalibdiff_v25/round_a.yaml,1786496440519039481,V25_config_or_governance,edf22d5508da66f1079e3a15cc4ecd1b7f4c1c4ba3c58059f854cef888b74589,161
/home/infres/yinwang/denoiseNet_setcalibdiff_v25/configs/setcalibdiff_v25/round_b.yaml,1786496440519039481,V25_config_or_governance,47457f9d897c8821f7873999a8eb87a55ce99c7fa37b7b4c03916abc606f812a,115
/home/infres/yinwang/denoiseNet_setcalibdiff_v25/configs/setcalibdiff_v25/setcalib_det.yaml,1786496440518039472,V25_config_or_governance,4dcbf1caa852e8da66c673cecd95713c479b26ec371616068a5b1ea421ce8c9c,280
/home/infres/yinwang/denoiseNet_setcalibdiff_v25/configs/setcalibdiff_v25/setcalib_diff.yaml,1786496440518039472,V25_config_or_governance,ee0643472654c167805001671bcd6f7f921813c6710d10240de4d292e0538eb1,270
/home/infres/yinwang/denoiseNet_setcalibdiff_v25/configs/setcalibdiff_v25/support_encoder_deepsets.yaml,1786496440517039464,V25_config_or_governance,e39b8ffd3dd75029fe3d896585b7726190e022f5c93d0d61d76b770dbbbc8dbf,138
/home/infres/yinwang/denoiseNet_setcalibdiff_v25/configs/setcalibdiff_v25/support_encoder_set_transformer.yaml,1786496440517039464,V25_config_or_governance,d4f850edf6fa9c60e2d3864c5b55d6b8b670d03264b474e58a42acb0085432a1,164
/home/infres/yinwang/denoiseNet_setcalibdiff_v25/docs/TAAS_SUBJECT_AWARE_DIFFUSION_PROJECT_LEDGER.md,1786501775978129195,V25_config_or_governance,1d5da7410291705ce12d3cd820b26ee97c44b00480b56aa297e6a4aadb108d1c,37579
/home/infres/yinwang/denoiseNet_setcalibdiff_v25/results/pa_el_scad_v24/method_summary.csv,1786496374959490579,V25_config_or_governance,7ba1e5929ededb89073a23f79e4df70aafca0e10e632f03ee7754667990a6ad3,19874
/home/infres/yinwang/denoiseNet_setcalibdiff_v25/results/pa_el_scad_v24/role_manifest.csv,1786496374966490638,V25_config_or_governance,6227dc750b6d0122901235c120469d17f267196b5bbd0339048ccdf7ee4508eb,639511
/home/infres/yinwang/denoiseNet_setcalibdiff_v25/results/setcalibdiff_v25/support_banks/fold_0_manifest.csv,1786500792478807522,support_only_manifest,47cf7f86ee20ed88e00771e129e0f08ba8ad4b16d95e54107e99e0de5379fe3e,88081
/home/infres/yinwang/denoiseNet_setcalibdiff_v25/results/setcalibdiff_v25/support_banks/fold_1_manifest.csv,1786500812215974846,support_only_manifest,1131110cec553980c2e492464b6533cf881b20ca97968b11885a9dc69d4dcd4e,88065
/home/infres/yinwang/denoiseNet_setcalibdiff_v25/results/setcalibdiff_v25/support_banks/fold_2_manifest.csv,1786500831070134680,support_only_manifest,25ca5dd6bb640bc2641a6c42923c7792be796e5b31a42b0a2525af02f385ffd6,88108
/home/infres/yinwang/denoiseNet_setcalibdiff_v25/results/setcalibdiff_v25/support_banks/fold_3_manifest.csv,1786500849532291185,support_only_manifest,7fe00dadf3b953c7b30bdf47d82ebd302ac8b2e7b9be5b9b10e8f36791b3fa18,87954
/home/infres/yinwang/denoiseNet_setcalibdiff_v25/results/setcalibdiff_v25/support_banks/fold_4_manifest.csv,1786500868552452415,support_only_manifest,4b7c85186299fb992f19dbb7d4d00011737c516ab6174a05e7115e2a1b572392,88112
/home/infres/yinwang/denoiseNet_setcalibdiff_v25/results/setcalibdiff_v25/support_banks/manifest.csv,1786500869243458272,support_only_manifest,3d11589370221204f6baba516adf0e7c482a408026f106d3e5a73ee0c253a14f,1454
