attention_entropy,attention_max,context_distance,fold,match_basis_query_operator_distance,match_basis_support_operator_distance,operator_aux_query_error,participant,seed,session,task,wrong_basis_query_operator_distance
2.7492904663085938,0.10067591816186905,2.1725854873657227,0,3.104116201400757,3.089181900024414,1.034414529800415,sub-02,20260825,ses-02,SSVEP,3.0432944297790527
2.7708425521850586,0.07185163348913193,1.4121142625808716,0,3.0936849117279053,3.121093511581421,0.9915071725845337,sub-02,20260825,ses-04,SSVEP,3.17126727104187
2.7697110176086426,0.0715271607041359,8.954432487487793,0,3.102590799331665,3.0773839950561523,0.7992092967033386,sub-05,20260825,ses-04,SSVEP,3.0010664463043213
2.6426827907562256,0.1574656218290329,9.561100006103516,0,3.1333823204040527,3.1345291137695312,0.999645471572876,sub-02,20260825,ses-03,SSVEP,3.087296485900879
2.7695276737213135,0.07094506174325943,0.8517041802406311,0,3.0622496604919434,3.080570697784424,0.5935984253883362,sub-05,20260825,ses-03,ERP,3.0243616104125977
2.7704038619995117,0.07135755568742752,1.2120834589004517,0,3.0543017387390137,2.9883742332458496,0.9682662487030029,sub-03,20260825,ses-03,SSVEP,3.0625100135803223
2.768681764602661,0.0741136372089386,1.1555336713790894,0,3.073546886444092,3.081465721130371,1.237188696861267,sub-03,20260825,ses-02,SSVEP,3.089695930480957
2.77070951461792,0.06884076446294785,1.4115465879440308,0,3.0310723781585693,2.96519136428833,0.94677734375,sub-03,20260825,ses-03,SSVEP,3.0640995502471924
2.6782615184783936,0.1119513064622879,9.352850914001465,0,3.185537099838257,3.165584087371826,1.0002079010009766,sub-02,20260825,ses-03,SSVEP,3.0886600017547607
2.705125331878662,0.13414810597896576,9.586694717407227,0,3.117854595184326,3.112328052520752,1.0014628171920776,sub-02,20260825,ses-03,SSVEP,3.0794901847839355
2.697134017944336,0.10854865610599518,11.340214729309082,0,3.1580023765563965,3.1521077156066895,1.0017138719558716,sub-02,20260825,ses-03,SSVEP,3.126333236694336
2.769357919692993,0.07857869565486908,1.8179644346237183,0,3.043708086013794,3.035226583480835,0.7986397743225098,sub-02,20260825,ses-03,ERP,3.0918784141540527
2.771223783493042,0.06770463287830353,1.800279140472412,0,3.061201810836792,3.0595059394836426,0.8863815665245056,sub-03,20260825,ses-02,ERP,3.1410937309265137
2.7692832946777344,0.07300624251365662,4.73063850402832,0,3.0753591060638428,3.081937313079834,1.1407008171081543,sub-03,20260825,ses-02,SSVEP,3.1081480979919434
2.7705116271972656,0.07225876301527023,1.0239022970199585,0,3.0874502658843994,3.0968399047851562,0.7814014554023743,sub-05,20260825,ses-04,ERP,3.073198080062866
2.7708120346069336,0.06804278492927551,1.3370471000671387,0,3.0746490955352783,3.0754079818725586,0.8589857220649719,sub-03,20260825,ses-02,ERP,3.049471139907837
2.759645462036133,0.07654408365488052,1.9592618942260742,0,3.0957601070404053,3.0859129428863525,1.0346709489822388,sub-02,20260825,ses-02,SSVEP,3.0945212841033936
2.6881473064422607,0.11904118955135345,11.566056251525879,0,3.167086124420166,3.1577539443969727,1.0011321306228638,sub-02,20260825,ses-03,SSVEP,3.1081759929656982
2.7685635089874268,0.07896541804075241,1.174996256828308,0,3.1075239181518555,3.136014699935913,0.9120253920555115,sub-02,20260825,ses-04,ERP,3.1271626949310303
2.759229898452759,0.07217427343130112,1.144640326499939,0,3.089674234390259,3.071415662765503,1.0196068286895752,sub-02,20260825,ses-02,SSVEP,3.097639799118042
2.6853837966918945,0.10422699898481369,7.202301502227783,0,3.1635377407073975,3.158493995666504,1.0016895532608032,sub-02,20260825,ses-03,SSVEP,3.028413772583008
2.7697486877441406,0.07173461467027664,1.14944326877594,0,3.0716075897216797,3.114187479019165,1.284071445465088,sub-05,20260825,ses-02,ERP,3.066920757293701
2.770108699798584,0.07139471918344498,0.6515108346939087,0,3.039151668548584,3.0381417274475098,0.8201296925544739,sub-02,20260825,ses-03,ERP,3.030446767807007
2.771522045135498,0.06901803612709045,0.8318004608154297,0,3.073240280151367,3.0878000259399414,0.7805747985839844,sub-05,20260825,ses-04,ERP,3.0885682106018066
2.7650718688964844,0.07600374519824982,0.6823205351829529,0,3.08376407623291,3.1018471717834473,0.6568225622177124,sub-02,20260825,ses-02,ERP,3.0922842025756836
2.769686460494995,0.0700460821390152,1.6229629516601562,0,3.0709569454193115,3.0670275688171387,1.1780908107757568,sub-03,20260825,ses-02,SSVEP,3.0642940998077393
2.7713325023651123,0.06604000926017761,1.06033456325531,0,3.081794261932373,3.025669813156128,0.6249722838401794,sub-05,20260825,ses-03,SSVEP,3.074500799179077
2.747178077697754,0.11605577170848846,1.9609291553497314,0,3.1283011436462402,3.0884416103363037,0.9367736577987671,sub-02,20260825,ses-04,SSVEP,3.174412488937378
2.769531726837158,0.06993203610181808,0.698166012763977,0,3.065943956375122,3.085853099822998,0.5927674770355225,sub-05,20260825,ses-03,ERP,3.0556933879852295
2.76901912689209,0.07469738274812698,3.9247331619262695,0,3.060279607772827,3.067230701446533,1.17075514793396,sub-03,20260825,ses-02,SSVEP,3.132903575897217
2.762021064758301,0.07306496798992157,0.7728697061538696,0,3.09826397895813,3.0834882259368896,1.032203197479248,sub-02,20260825,ses-02,SSVEP,3.083848237991333
2.7706198692321777,0.07554503530263901,1.1066056489944458,0,3.126415729522705,3.1338050365448,0.919501006603241,sub-02,20260825,ses-04,ERP,3.127547025680542
2.7706542015075684,0.06747227907180786,0.6854304671287537,0,3.0844788551330566,3.0285825729370117,0.6244071125984192,sub-05,20260825,ses-03,SSVEP,3.0780889987945557
2.771141529083252,0.07017375528812408,0.8775152564048767,0,3.09843111038208,3.1078615188598633,0.8051571846008301,sub-05,20260825,ses-04,ERP,3.0993030071258545
2.76658296585083,0.07298707962036133,1.7733043432235718,0,3.0355212688446045,3.0477070808410645,1.1768494844436646,sub-03,20260825,ses-02,SSVEP,3.068164110183716
2.7712175846099854,0.06881967931985855,3.184075355529785,0,3.0313968658447266,3.052323579788208,1.1598738431930542,sub-03,20260825,ses-02,SSVEP,3.0433690547943115
2.7686610221862793,0.07045267522335052,1.0267730951309204,0,3.066300868988037,3.052884340286255,0.7608465552330017,sub-02,20260825,ses-03,ERP,3.035569667816162
2.7688355445861816,0.07015436142683029,0.8993871212005615,0,3.100644111633301,3.0632107257843018,0.8125316500663757,sub-05,20260825,ses-04,SSVEP,3.090449571609497
2.7707784175872803,0.06841916590929031,1.5073952674865723,0,3.0328972339630127,3.0360376834869385,0.9723440408706665,sub-03,20260825,ses-02,ERP,3.067140817642212
2.7706375122070312,0.06904684007167816,0.8067080974578857,0,3.06024432182312,3.0815024375915527,0.5971387624740601,sub-05,20260825,ses-03,ERP,3.0538461208343506
2.7685093879699707,0.08082783967256546,1.3811454772949219,0,3.135451555252075,3.149660587310791,0.9053534865379333,sub-02,20260825,ses-04,ERP,3.1143407821655273
2.7383790016174316,0.08036593347787857,1.8874844312667847,0,3.0813817977905273,3.0717051029205322,1.0458049774169922,sub-02,20260825,ses-02,SSVEP,3.093618631362915
2.767940044403076,0.07434748858213425,4.3756279945373535,0,3.0773768424987793,3.08125638961792,1.1813467741012573,sub-03,20260825,ses-02,SSVEP,3.1317102909088135
2.769240379333496,0.07050897181034088,1.577436089515686,0,3.0891003608703613,3.0774953365325928,1.0288318395614624,sub-02,20260825,ses-02,SSVEP,3.0739145278930664
2.770698070526123,0.06801915913820267,2.3765652179718018,0,2.9821736812591553,3.044701337814331,0.677522599697113,sub-03,20260825,ses-03,ERP,2.98850417137146
2.7707724571228027,0.06880846619606018,1.9849590063095093,0,3.073621988296509,3.0068435668945312,0.9865906238555908,sub-03,20260825,ses-04,ERP,3.1156551837921143
2.770195245742798,0.07222558557987213,1.2540003061294556,0,3.0872867107391357,3.117748498916626,1.2720940113067627,sub-05,20260825,ses-02,ERP,3.0647571086883545
2.7710366249084473,0.07103808969259262,0.8772906064987183,0,3.0860555171966553,3.096618890762329,0.7935507297515869,sub-05,20260825,ses-04,ERP,3.0955870151519775
2.769679069519043,0.07109906524419785,1.9692214727401733,0,3.123792886734009,3.1255645751953125,0.9292975068092346,sub-02,20260825,ses-04,ERP,3.1340513229370117
2.769683361053467,0.0718742311000824,3.0581562519073486,0,3.0849013328552246,3.0673375129699707,0.776185929775238,sub-02,20260825,ses-03,ERP,3.0319666862487793
2.7692904472351074,0.070339135825634,1.3983066082000732,0,3.063507318496704,3.009868621826172,0.9383956789970398,sub-03,20260825,ses-04,ERP,3.105194091796875
2.7579593658447266,0.07375412434339523,1.302278995513916,0,3.0929861068725586,3.0801727771759033,1.0271294116973877,sub-02,20260825,ses-02,SSVEP,3.1172947883605957
2.7698421478271484,0.06866118311882019,2.5848944187164307,0,3.0602779388427734,3.074618339538574,1.274482011795044,sub-03,20260825,ses-02,SSVEP,3.013420820236206
2.7590322494506836,0.0749417170882225,1.1033564805984497,0,3.102158308029175,3.091559410095215,1.041534423828125,sub-02,20260825,ses-02,SSVEP,3.1136481761932373
