epoch,step,train_loss,validation_loss,best
49,250,0.021511943265795707,0.052394855000516945,False
99,500,0.007470836583524943,0.05114258234115208,False
149,750,0.003920222632586956,0.048674006234197056,False
199,1000,0.0034371907357126476,0.04509239934165688,False
249,1250,0.0021389092784374953,0.04649001644814715,False
299,1500,0.003077524807304144,0.04730670225313481,False
349,1750,0.001565231359563768,0.046545084401526875,False
399,2000,0.0015214002691209317,0.04410994754118078,False
449,2250,0.001207063370384276,0.04511108994483948,False
499,2500,0.0011604285798966884,0.04537705540218774,False
549,2750,0.0009461600217036903,0.043519754784510416,False
599,3000,0.0006864883354865015,0.0443434300558532,False
649,3250,0.000975191022735089,0.04406463502741912,False
699,3500,0.002387819858267903,0.04928494332467809,False
749,3750,0.0007343224715441465,0.04485866350724416,False
799,4000,0.001061006577219814,0.04597352324601482,False
849,4250,0.0005372027400881052,0.04327652493820471,False
899,4500,0.0008490554173476994,0.04441628627040807,False
949,4750,0.00043574912706390023,0.04353197877678801,False
999,5000,0.0008074688143096864,0.044185195994727755,False
1049,5250,0.00035821712226606904,0.04304841681219199,False
1099,5500,0.0006434117560274899,0.04340354539453983,False
1149,5750,0.0003730761469341815,0.043030867462649065,False
1199,6000,0.000401461694855243,0.042927150231073886,True
