contrast,metric,participant_mean_utility,participant_median_utility,positive_count,participants,bootstrap_low,bootstrap_high
MATCH-POP,rrmse_temporal,-2.6786357436018684e-05,0.0002232616679975763,8,15,-0.005374737970748052,0.005965225102251369
MATCH-POP,rrmse_spectral,-0.0005902999245639269,-0.00024681410286575556,7,15,-0.003952453434758354,0.0025148850380598245
MATCH-POP,correlation,-0.00013632274543245632,0.00010241568088531494,8,15,-0.0019626435451209545,0.0018321179629613954
MATCH-POP,snr_improvement,-0.019393601900319343,0.019861346642885636,8,15,-0.13328303917360845,0.10230016470451202
MATCH-POP,artifact_rrmse,0.008574857967695311,0.0030634254217147827,8,15,-0.007571463246271514,0.026959780418080878
MATCH-POP,artifact_correlation,-0.002563119542160123,-0.0018166382797062397,5,15,-0.011092861628210632,0.00560425107481734
MATCH-POP,observation_change_ratio,0.004558306051815938,0.0018860163836507127,9,15,-0.003687711034729849,0.012658594666627313
MATCH-WRONG,rrmse_temporal,0.051454310064703655,0.013151298207958462,11,15,0.005423512221923375,0.12697395730425942
MATCH-WRONG,rrmse_spectral,0.0126367939451787,0.004461953998543322,10,15,0.0006833080648842351,0.030032499184526364
MATCH-WRONG,correlation,0.00883392229055365,0.002363428007811308,10,15,0.0010157553230722746,0.019629013137115785
MATCH-WRONG,snr_improvement,0.685412118298932,0.25162918803592516,11,15,0.19327347153718033,1.3324216971950038
MATCH-WRONG,artifact_rrmse,0.826174005273643,0.04898212105035782,12,15,0.03776708272483394,2.079814415330958
MATCH-WRONG,artifact_correlation,0.014062930452327508,0.008515232457564359,10,15,-0.00443976666114524,0.035337994388003516
MATCH-WRONG,observation_change_ratio,0.039864062821531356,0.005672706403856864,9,15,-0.003352967012688168,0.10893312490475787
MATCH-SHUFFLED,rrmse_temporal,0.0028208493135025493,-0.0005419003427959979,7,15,-0.005461665853781596,0.014110593618264217
MATCH-SHUFFLED,rrmse_spectral,-0.0007374645404828092,-0.0007762139430269599,6,15,-0.005414931317403292,0.00393197929903787
MATCH-SHUFFLED,correlation,0.000617020484060049,-0.0013557709753513336,6,15,-0.0029098619342160723,0.006153058651058621
MATCH-SHUFFLED,snr_improvement,0.028564565613032392,0.006846035165446018,8,15,-0.12349127043032967,0.20433535481646575
MATCH-SHUFFLED,artifact_rrmse,0.003188658780321663,-0.0023091614246368852,7,15,-0.01867851672269024,0.029732680003109753
MATCH-SHUFFLED,artifact_correlation,-0.0002950283299087623,-0.0029826711863279454,7,15,-0.010725421348751983,0.01018685425897411
MATCH-SHUFFLED,observation_change_ratio,-0.0003272031701878101,0.0019518219341989607,8,15,-0.015360635204891272,0.018538218100099275
MATCH-NO_TRANSFER_BRANCH,rrmse_temporal,0.08911028550392075,0.07435077696572989,15,15,0.06189110491718566,0.12180827103058316
MATCH-NO_TRANSFER_BRANCH,rrmse_spectral,0.052431958161226554,0.051243341877125204,15,15,0.03688776225203886,0.07079481236935557
MATCH-NO_TRANSFER_BRANCH,correlation,0.022192237479612232,0.020659800618886948,14,15,0.013448973978714397,0.03134233321761712
MATCH-NO_TRANSFER_BRANCH,snr_improvement,1.5726958076573374,1.377885190110343,14,15,0.9382088878777216,2.1745555987058443
MATCH-NO_TRANSFER_BRANCH,artifact_rrmse,0.08680042656368242,0.11189109459519386,12,15,-0.04205284537747962,0.19035856692576192
MATCH-NO_TRANSFER_BRANCH,artifact_correlation,0.40773021091839384,0.40909020556136966,15,15,0.34230814870656107,0.47226880879201366
MATCH-NO_TRANSFER_BRANCH,observation_change_ratio,-0.14836259138819513,-0.12887719670834485,0,15,-0.18269203359954722,-0.1158779286712775
ORACLE-MATCH,rrmse_temporal,0.0062668795376036234,0.001426769551471807,8,15,-0.001607017677500456,0.019679725648942013
ORACLE-MATCH,rrmse_spectral,0.00041831368192409474,0.0004480451752897352,10,15,-0.000778402029100107,0.0017462081852621222
ORACLE-MATCH,correlation,0.0012322460145999987,0.0003242366947233677,10,15,-0.0007497867538283268,0.0041316666516164925
ORACLE-MATCH,snr_improvement,0.0315862237399424,0.015744959625105137,9,15,-0.03487892813540813,0.11139134748751105
ORACLE-MATCH,artifact_rrmse,0.0012175488605713491,-0.0010201747600848687,6,15,-0.010800169415035053,0.011647951186940508
ORACLE-MATCH,artifact_correlation,0.0015180244308146463,-0.0006147539243102074,6,15,-0.005603709703100916,0.012371116276250415
ORACLE-MATCH,observation_change_ratio,0.0023279276243556523,0.002654319900102564,9,15,-0.0003628431087508942,0.005193445988485715
