fold,seed,context_dropout_fraction,gradient_norm,step,train_smooth_l1,transfer_gradient_norm,validation_pop_rrmse
0,20261201,0.0,0.5267552137374878,2000,0.06848043948411942,0.36504849791526794,1.2607703407605488
0,20261201,0.375,0.4875630736351013,4000,0.022243063896894455,0.282990425825119,1.2456719030936558
0,20261201,0.0,0.32253193855285645,6000,0.07739723473787308,0.23162074387073517,1.24533407886823
0,20261201,0.0,0.314033180475235,8000,0.016525235027074814,0.5363038182258606,1.249179537097613
0,20261201,0.375,0.45736226439476013,10000,0.12941591441631317,0.2570808529853821,1.2370466788609822
0,20261201,0.0,2.6719863414764404,12000,0.2308749556541443,0.19679109752178192,1.2295823444922764
0,20261201,0.0,0.23982830345630646,14000,0.035320982336997986,0.3735053539276123,1.2106115023295085
0,20261201,0.25,0.4653053283691406,16000,0.0471668615937233,0.6090009212493896,1.1921385327974956
0,20261201,0.125,0.6114906072616577,18000,0.04777398332953453,0.27625781297683716,1.1982268343369167
0,20261201,0.375,0.42999267578125,20000,0.023878103122115135,0.30482977628707886,1.1920056641101837
0,20261201,0.125,2.3420822620391846,22000,0.051788993179798126,1.1707446575164795,1.1965729196866353
0,20261201,0.25,1.7359737157821655,24000,0.11491404473781586,1.8575409650802612,1.1748767793178558
0,20261201,0.25,0.9835853576660156,26000,0.050627149641513824,0.3991028964519501,1.1409775068362553
0,20261201,0.125,0.3158288598060608,28000,0.023217186331748962,0.4120144844055176,1.1721356461445491
0,20261201,0.25,0.40799278020858765,30000,0.04306269437074661,0.5359015464782715,1.1734482944011688
0,20261201,0.125,0.6348922252655029,32000,0.05898459255695343,0.8011047840118408,1.156863311926524
0,20261201,0.375,0.6976068615913391,34000,0.0793641060590744,0.44128450751304626,1.1720452904701233
0,20261201,0.5,0.3819139301776886,36000,0.017084680497646332,0.2664901912212372,1.1491305778423946
0,20261201,0.25,1.4071686267852783,38000,0.02994571067392826,0.22431990504264832,1.1550233239928882
0,20261201,0.625,0.2011956125497818,40000,0.006929069757461548,0.34836965799331665,1.1138609324892361
0,20261201,0.125,0.5375785827636719,42000,0.0813000500202179,0.4283749461174011,1.1106256395578384
0,20261201,0.25,0.434231698513031,44000,0.08632209897041321,0.7562986612319946,1.111630380153656
0,20261201,0.125,1.1691135168075562,46000,0.038458533585071564,0.5172960162162781,1.1153371582428615
0,20261201,0.375,0.5099214911460876,48000,0.015321340411901474,0.6055141687393188,1.1134485652049382
0,20261201,0.25,0.5803698301315308,50000,0.06057221069931984,0.6169490814208984,1.1152190814415615
0,20261201,0.25,0.18247929215431213,52000,0.018823273479938507,0.34903913736343384,1.1076576163371403
0,20261201,0.25,0.1873406022787094,54000,0.010191732086241245,0.3622291386127472,1.1141518155733745
0,20261201,0.125,4.239551067352295,56000,0.03307129070162773,0.1937541365623474,1.1166204462448757
0,20261201,0.25,0.4140532910823822,58000,0.06657349318265915,0.5068830251693726,1.1193054268757503
0,20261201,0.25,0.4008052349090576,60000,0.022777313366532326,0.2631121873855591,1.1081884081164997
0,20261201,0.125,0.3965330421924591,62000,0.024356041103601456,0.47708624601364136,1.111035242676735
0,20261201,0.5,1.0479423999786377,64000,0.04181325435638428,0.5119209289550781,1.152036890387535
0,20261201,0.125,0.08893131464719772,66000,0.004402248188853264,0.09743574261665344,1.1015704870224
0,20261201,0.75,0.25736963748931885,68000,0.02026398479938507,0.40843096375465393,1.0976089884837468
0,20261201,0.5,0.7043718099594116,70000,0.0720290020108223,0.7427839040756226,1.0957519138852756
