channel,participant_mean_utility,participant_median_utility,positive_count,participants
0,-0.016769364648886644,-0.00814137328416109,6,15
1,-0.018465797785514344,-0.00882896687835455,6,15
2,-0.0075435349688632415,0.0002659253077581525,8,15
3,-0.006853566962915162,-0.0038133474299684167,5,15
4,-0.013240754024567043,-0.001607666490599513,6,15
5,-0.0028324485070091517,-0.00016061391215771437,7,15
6,-0.004800496243600113,-0.0036901013227179646,5,15
7,-0.013622504569745312,-0.0038453139131888747,7,15
8,-0.0169748644111678,-0.008514820248819888,5,15
9,-0.0011716389425600938,-0.0012895226514046954,4,15
10,0.0076468076656359095,0.0009311640751548111,9,15
11,-4.7574152025238924e-05,-0.00021018402185291052,7,15
12,-0.003128701932291733,-0.004797114263055846,4,15
13,0.0056663150156964544,-0.001243758262717165,7,15
14,0.009390571941427577,-0.0007048084371490404,6,15
15,-0.0022175020843860694,-0.0069435084296856076,4,15
16,0.005504147028841544,-0.0008430734742432833,7,15
17,0.004291099207330262,-0.0004146138744545169,6,15
18,0.007692080786121854,-0.0004382079641800374,7,15
19,-0.0005756338151210609,-0.004772805259563029,4,15
20,0.0005383344614529051,-0.0006515619170386344,6,15
21,0.005973519387771376,-0.0005731710116378963,7,15
22,0.005471300565598843,-0.0022558781784027815,5,15
23,0.003960586417815648,-0.003614170796936378,5,15
24,-0.00032910185400396584,-0.005132121266797185,4,15
25,0.002223615329906655,-0.0006850666832178831,6,15
26,0.0029689004358563883,-0.000582222593948245,6,15
27,0.004363319531936819,-0.003921423340216279,5,15
28,0.0023386683931069757,-0.0034081414341926575,5,15
29,0.0017751055017773373,-0.004251129372278228,6,15
30,0.0010550538601819426,-0.005948637495748699,5,15
31,0.0007623947463192356,-0.002904882887378335,5,15
32,-0.0016106722428958164,0.0009441739784961101,8,15
33,-0.011974560247229723,0.0010634204372763634,8,15
34,-0.007872540645378952,0.0013187926961109042,9,15
35,-0.004862263416968441,0.0020841576624661684,9,15
36,-0.0024770041069132275,0.004257691340171732,9,15
37,-0.004394340165405689,-0.0009218619088642299,7,15
38,-0.002401412450611436,0.0018554192793089896,9,15
39,-0.008376532558274145,0.0027690548449754715,8,15
40,0.026177334361364046,0.0027180583201698028,10,15
41,-0.0036658272506125892,-0.002688917302293703,6,15
42,0.0005612417297622111,-0.001330364728346467,7,15
43,0.0020952038670657203,0.002784343814710155,9,15
44,0.005388319783863457,0.0010164573322981596,11,15
45,0.0029960354760987682,-0.0014981355052441359,5,15
