artifact_correlation,artifact_rmse,artifact_rrmse,channel,clean_output_rms_ratio,condition,correlation,fold,observation_change_ratio,participant,rrmse_spectral,rrmse_temporal,seed,snr_improvement,zero_artifact
,0.01215323805809021,,0,0.9978379011154175,POP,0.9999486804008484,0,0.010365678928792477,sub-02,0.023943398147821426,0.010365678928792477,20261201,,1
,0.011864984408020973,,1,0.9983458518981934,POP,0.9999502897262573,0,0.011167852208018303,sub-02,0.026844782754778862,0.011167852208018303,20261201,,1
,0.009661272168159485,,2,1.000504732131958,POP,0.9999592900276184,0,0.009358201175928116,sub-02,0.009029155597090721,0.009358201175928116,20261201,,1
,0.010683182626962662,,3,0.9994250535964966,POP,0.9998539686203003,0,0.018274104222655296,sub-02,0.013721666298806667,0.018274104222655296,20261201,,1
,0.0062783220782876015,,4,1.0010792016983032,POP,0.99997478723526,0,0.007382384967058897,sub-02,0.00521490816026926,0.007382384967058897,20261201,,1
,0.0073828864842653275,,5,1.000399112701416,POP,0.9999594688415527,0,0.00959721114486456,sub-02,0.0028994109015911818,0.00959721114486456,20261201,,1
,0.009112488478422165,,6,0.9999287128448486,POP,0.9999576807022095,0,0.011617791838943958,sub-02,0.0034581085201352835,0.011617791838943958,20261201,,1
,0.010854593478143215,,7,0.9981024861335754,POP,0.9999022483825684,0,0.020243193954229355,sub-02,0.0175820030272007,0.020243193954229355,20261201,,1
,0.01045225840061903,,8,0.9986728429794312,POP,0.9999321103096008,0,0.01605045609176159,sub-02,0.007938082329928875,0.01605045609176159,20261201,,1
,0.004482724238187075,,9,0.9999158978462219,POP,0.9999702572822571,0,0.008148894645273685,sub-02,0.0017851883312687278,0.008148894645273685,20261201,,1
,0.008585365489125252,,10,0.9996716976165771,POP,0.9999527335166931,0,0.013624521903693676,sub-02,0.004969418048858643,0.013624521903693676,20261201,,1
,0.008690992370247841,,11,0.9989467263221741,POP,0.9999188780784607,0,0.013680397532880306,sub-02,0.009186307899653912,0.013680397532880306,20261201,,1
,0.006884368136525154,,12,0.998540997505188,POP,0.999977707862854,0,0.009367666207253933,sub-02,0.0029681697487831116,0.009367666207253933,20261201,,1
,0.005448942072689533,,13,0.9983794689178467,POP,0.999964714050293,0,0.008773359470069408,sub-02,0.0034098320174962282,0.008773359470069408,20261201,,1
,0.005466562230139971,,14,0.9988952279090881,POP,0.9999684691429138,0,0.00802491046488285,sub-02,0.005815201438963413,0.00802491046488285,20261201,,1
,0.008749415166676044,,15,0.9968688488006592,POP,0.9999665021896362,0,0.01105540618300438,sub-02,0.003599677700549364,0.01105540618300438,20261201,,1
,0.006879948079586029,,16,0.997468888759613,POP,0.9999671578407288,0,0.008739586919546127,sub-02,0.003413549857214093,0.008739586919546127,20261201,,1
,0.0075055258348584175,,17,0.9975427985191345,POP,0.9999342560768127,0,0.011714172549545765,sub-02,0.0045240470208227634,0.011714172549545765,20261201,,1
,0.007629506289958954,,18,0.9979735016822815,POP,0.9999637603759766,0,0.008816552348434925,sub-02,0.00514807365834713,0.008816552348434925,20261201,,1
