row_type,contrast,metric,participant,utility,positive,participant_mean_utility,participant_median_utility,positive_count,participants,bootstrap_low,bootstrap_high
participant,MATCH-POP,rrmse_temporal,sub-02,0.0093065935507183,1,,,,,,
participant,MATCH-POP,rrmse_temporal,sub-03,-0.0110681702499277,0,,,,,,
participant,MATCH-POP,rrmse_temporal,sub-05,-0.001492537849117,0,,,,,,
participant,MATCH-POP,rrmse_temporal,sub-06,-0.0087760973547119,0,,,,,,
participant,MATCH-POP,rrmse_temporal,sub-07,-0.0100218952102295,0,,,,,,
participant,MATCH-POP,rrmse_temporal,sub-09,0.0307459920586552,1,,,,,,
participant,MATCH-POP,rrmse_temporal,sub-11,-0.0022017737101123,0,,,,,,
participant,MATCH-POP,rrmse_temporal,sub-12,-0.0106069774192292,0,,,,,,
participant,MATCH-POP,rrmse_temporal,sub-14,0.0002232616679975,1,,,,,,
participant,MATCH-POP,rrmse_temporal,sub-15,0.0051430256862659,1,,,,,,
participant,MATCH-POP,rrmse_temporal,sub-17,0.0084597212262451,1,,,,,,
participant,MATCH-POP,rrmse_temporal,sub-18,-0.0171340015367604,0,,,,,,
participant,MATCH-POP,rrmse_temporal,sub-19,0.0009296203643316,1,,,,,,
participant,MATCH-POP,rrmse_temporal,sub-21,0.0053196309600025,1,,,,,,
participant,MATCH-POP,rrmse_temporal,sub-23,0.0007718124543316,1,,,,,,
participant,MATCH-POP,rrmse_spectral,sub-02,0.0028486453520599,1,,,,,,
participant,MATCH-POP,rrmse_spectral,sub-03,-0.0046802802244201,0,,,,,,
participant,MATCH-POP,rrmse_spectral,sub-05,0.0059695103554986,1,,,,,,
participant,MATCH-POP,rrmse_spectral,sub-06,-0.0101589107071049,0,,,,,,
participant,MATCH-POP,rrmse_spectral,sub-07,-0.0025309903285233,0,,,,,,
participant,MATCH-POP,rrmse_spectral,sub-09,0.0100236035068519,1,,,,,,
participant,MATCH-POP,rrmse_spectral,sub-11,-0.0013332876260392,0,,,,,,
participant,MATCH-POP,rrmse_spectral,sub-12,-0.0031091085402294,0,,,,,,
participant,MATCH-POP,rrmse_spectral,sub-14,0.0002329159760847,1,,,,,,
participant,MATCH-POP,rrmse_spectral,sub-15,-0.0002468141028657,0,,,,,,
participant,MATCH-POP,rrmse_spectral,sub-17,0.0087334883864969,1,,,,,,
participant,MATCH-POP,rrmse_spectral,sub-18,-0.0151802754262462,0,,,,,,
participant,MATCH-POP,rrmse_spectral,sub-19,-0.0017493292689323,0,,,,,,
participant,MATCH-POP,rrmse_spectral,sub-21,0.001984242349863,1,,,,,,
participant,MATCH-POP,rrmse_spectral,sub-23,0.0003420914290472,1,,,,,,
participant,MATCH-POP,correlation,sub-02,0.0016511594876646,1,,,,,,
participant,MATCH-POP,correlation,sub-03,-0.0035171210765838,0,,,,,,
participant,MATCH-POP,correlation,sub-05,-0.000652689486742,0,,,,,,
participant,MATCH-POP,correlation,sub-06,-0.0037522539496421,0,,,,,,
participant,MATCH-POP,correlation,sub-07,-0.0029494799673557,0,,,,,,
participant,MATCH-POP,correlation,sub-09,0.0087012541480362,1,,,,,,
participant,MATCH-POP,correlation,sub-11,-0.00026261433959,0,,,,,,
participant,MATCH-POP,correlation,sub-12,-0.0053913481533527,0,,,,,,
participant,MATCH-POP,correlation,sub-14,0.0002579949796199,1,,,,,,
