artifact_correlation,artifact_rmse,artifact_rrmse,clean_output_rms_ratio,condition,context_owner,correlation,fold,gain,observation_change_ratio,oracle_non_deployable,output_input_rms,participant,query_eog_inference_reads,rrmse_spectral,rrmse_temporal,seed,snr_improvement,zero_artifact,severity
,0.0,,1.0,RAW,NONE,1.0000001192092896,0,1.002220492534498,0.0,0,1.0,sub-02,0,0.0,0.0,20261201,,1,severe
0.0,9.681537628173828,1.0,15.560378074645996,RAW,NONE,0.08670375496149063,0,1.170836736350646,0.0,0,1.0,sub-02,0,1.3871651887893677,15.50571346282959,20261201,0.0,0,severe
0.0,0.4482005536556244,1.0,1.1724478006362915,RAW,NONE,0.8738105297088623,0,0.8030879842546755,0.0,0,1.0,sub-02,0,0.1437583863735199,0.5706719160079956,20261201,0.0,0,medium
0.0,13.138750076293945,1.0,2.4851725101470947,RAW,NONE,0.40029311180114746,0,1.1531302675157025,0.0,0,1.0,sub-02,0,1.108855962753296,2.277381420135498,20261201,0.0,0,severe
0.0,0.2501855492591858,1.0,1.0058108568191528,RAW,NONE,0.9980960488319397,0,0.6763097057761809,0.0,0,1.0,sub-02,0,0.055921148508787155,0.06216299906373024,20261201,0.0,0,medium
0.0,0.22864635288715363,1.0,1.0139319896697998,RAW,NONE,0.9895212650299072,0,0.3951179762879412,0.0,0,1.0,sub-02,0,0.13221994042396545,0.14642998576164246,20261201,0.0,0,mild
0.0,0.0720626637339592,1.0,1.0044889450073242,RAW,NONE,0.9957553744316101,0,0.7267379707905055,0.0,0,1.0,sub-02,0,0.07293787598609924,0.09254442900419235,20261201,0.0,0,medium
0.0,0.6538363099098206,1.0,1.2135335206985474,RAW,NONE,0.825136661529541,0,0.6355661367548522,0.0,0,1.0,sub-02,0,0.5847616195678711,0.685563862323761,20261201,0.0,0,medium
0.0,0.21739792823791504,1.0,1.0467252731323242,RAW,NONE,0.9627391695976257,0,0.346324833225443,0.0,0,1.0,sub-03,0,0.06597252935171127,0.2831997871398926,20261201,0.0,0,mild
0.0,0.3957517743110657,1.0,1.0007541179656982,RAW,NONE,0.9970092177391052,0,0.7423388616988565,0.0,0,1.0,sub-03,0,0.19414469599723816,0.0773782804608345,20261201,0.0,0,medium
,0.0,,1.0,RAW,NONE,0.9999998807907104,0,0.6929315164451805,0.0,0,1.0,sub-03,0,0.0,0.0,20261201,,1,medium
0.0,0.3559473752975464,1.0,1.0009785890579224,RAW,NONE,0.9999369978904724,0,0.7835154320994817,0.0,0,1.0,sub-03,0,0.015943771228194237,0.011283032596111298,20261201,0.0,0,medium
