best_step,best_validation_pop_rrmse,path,sha256,fold,seed,training_run,training_code_commit,signature_path,signature_sha256,best_criterion
76000,1.0844173356890678,/projects/EEG-foundation-model/derived/denoiseNet/calib_saddpm_cond_v42r/job_941770/fold_0_seed_20261201/best.pt,ca3829f81096c7fe93ae8c52211fc62a02814e46bdd88967328549cef12f64d2,0,20261201,job_941770,b1c08bd261c409323cdd9657e23ed1df5a63f8e3,/projects/EEG-foundation-model/derived/denoiseNet/calib_saddpm_cond_v42r/job_941770/fold_0_seed_20261201/inference_signatures.npz,2fec577f8c99eeb83309ff082ad1845eafcc0abe0fa2ba227660b5b0af6d12bb,participant_aggregated_validation_POP_temporal_RRMSE
80000,0.4188783828479548,/projects/EEG-foundation-model/derived/denoiseNet/calib_saddpm_cond_v42r/job_941770/fold_0_seed_20261202/best.pt,14f28475d0913a2aa14cd52af3cf0770d1e93358368c478be0905c9309f7efff,0,20261202,job_941770,b1c08bd261c409323cdd9657e23ed1df5a63f8e3,/projects/EEG-foundation-model/derived/denoiseNet/calib_saddpm_cond_v42r/job_941770/fold_0_seed_20261202/inference_signatures.npz,2fec577f8c99eeb83309ff082ad1845eafcc0abe0fa2ba227660b5b0af6d12bb,participant_aggregated_validation_POP_temporal_RRMSE
62000,0.19756741262972355,/projects/EEG-foundation-model/derived/denoiseNet/calib_saddpm_cond_v42r/job_941770/fold_1_seed_20261201/best.pt,4aa2bb6a70ba6e82714f7dd1134ebf2c44d89374087ef947b773957f8a902c3c,1,20261201,job_941770,b1c08bd261c409323cdd9657e23ed1df5a63f8e3,/projects/EEG-foundation-model/derived/denoiseNet/calib_saddpm_cond_v42r/job_941770/fold_1_seed_20261201/inference_signatures.npz,9a64ec0f995989de3d5de82711d0520dfb2371ced6f13a0bb32e78d3b37b3db4,participant_aggregated_validation_POP_temporal_RRMSE
74000,0.24905137034753957,/projects/EEG-foundation-model/derived/denoiseNet/calib_saddpm_cond_v42r/job_941770/fold_1_seed_20261202/best.pt,3f576a8bdb8bce9f2daa735e8cae4734820ce11d53c0632eacf153f29ccf9036,1,20261202,job_941770,b1c08bd261c409323cdd9657e23ed1df5a63f8e3,/projects/EEG-foundation-model/derived/denoiseNet/calib_saddpm_cond_v42r/job_941770/fold_1_seed_20261202/inference_signatures.npz,9a64ec0f995989de3d5de82711d0520dfb2371ced6f13a0bb32e78d3b37b3db4,participant_aggregated_validation_POP_temporal_RRMSE
2000,0.22203172277659178,/projects/EEG-foundation-model/derived/denoiseNet/calib_saddpm_cond_v42r/job_941770/fold_2_seed_20261201/best.pt,aacd40590a58eb9ba6889c3092d5ea1540e8b7237a43147a15c79daac8027c5e,2,20261201,job_941770,b1c08bd261c409323cdd9657e23ed1df5a63f8e3,/projects/EEG-foundation-model/derived/denoiseNet/calib_saddpm_cond_v42r/job_941770/fold_2_seed_20261201/inference_signatures.npz,ba3365d13c08a41830c113e2cb3c9784ceae3934fdd526374964a45eed75b7e2,participant_aggregated_validation_POP_temporal_RRMSE
60000,0.26891113848735887,/projects/EEG-foundation-model/derived/denoiseNet/calib_saddpm_cond_v42r/job_941770/fold_2_seed_20261202/best.pt,a754a89815b7fcb702de2347416262d4466f24603bfbb17c80c7f7debbb02a9f,2,20261202,job_941770,b1c08bd261c409323cdd9657e23ed1df5a63f8e3,/projects/EEG-foundation-model/derived/denoiseNet/calib_saddpm_cond_v42r/job_941770/fold_2_seed_20261202/inference_signatures.npz,ba3365d13c08a41830c113e2cb3c9784ceae3934fdd526374964a45eed75b7e2,participant_aggregated_validation_POP_temporal_RRMSE
30000,0.2579941513637702,/projects/EEG-foundation-model/derived/denoiseNet/calib_saddpm_cond_v42r/job_941770/fold_3_seed_20261201/best.pt,d9d30da7ba624ce874cf0c0e49d41cb67c19f9cd29043dcd6f4467b806c4da5f,3,20261201,job_941770,b1c08bd261c409323cdd9657e23ed1df5a63f8e3,/projects/EEG-foundation-model/derived/denoiseNet/calib_saddpm_cond_v42r/job_941770/fold_3_seed_20261201/inference_signatures.npz,82dd50734d3bfde7d5e7866abe0dbc82364751818a76733b16929553e4091223,participant_aggregated_validation_POP_temporal_RRMSE
76000,0.2924231272190809,/projects/EEG-foundation-model/derived/denoiseNet/calib_saddpm_cond_v42r/job_941770/fold_3_seed_20261202/best.pt,5f87b6c3868248453a89d35e1b688b21242e5d342704de3eddd20075daf80d70,3,20261202,job_941770,b1c08bd261c409323cdd9657e23ed1df5a63f8e3,/projects/EEG-foundation-model/derived/denoiseNet/calib_saddpm_cond_v42r/job_941770/fold_3_seed_20261202/inference_signatures.npz,82dd50734d3bfde7d5e7866abe0dbc82364751818a76733b16929553e4091223,participant_aggregated_validation_POP_temporal_RRMSE
68000,0.1573684417332212,/projects/EEG-foundation-model/derived/denoiseNet/calib_saddpm_cond_v42r/job_941770/fold_4_seed_20261201/best.pt,d20808b539aad5aed0cd9127930671ed19f7543c6ffe57b509011db182422d49,4,20261201,job_941770,b1c08bd261c409323cdd9657e23ed1df5a63f8e3,/projects/EEG-foundation-model/derived/denoiseNet/calib_saddpm_cond_v42r/job_941770/fold_4_seed_20261201/inference_signatures.npz,3397b0f6c8a82e12b01c70c5aac6aa17bbd4a706f89a34a01426c2990c10d9a8,participant_aggregated_validation_POP_temporal_RRMSE
54000,0.5227722811202208,/projects/EEG-foundation-model/derived/denoiseNet/calib_saddpm_cond_v42r/job_941770/fold_4_seed_20261202/best.pt,66dddf57dc5f0d2556a689cca932785973cb3bd429ef09258cd2dd3350012af8,4,20261202,job_941770,b1c08bd261c409323cdd9657e23ed1df5a63f8e3,/projects/EEG-foundation-model/derived/denoiseNet/calib_saddpm_cond_v42r/job_941770/fold_4_seed_20261202/inference_signatures.npz,3397b0f6c8a82e12b01c70c5aac6aa17bbd4a706f89a34a01426c2990c10d9a8,participant_aggregated_validation_POP_temporal_RRMSE
