condition,fold,seed,rrmse_temporal,rrmse_spectral,correlation,snr_improvement,artifact_rmse,artifact_rrmse,artifact_correlation,clean_output_rms_ratio,observation_change_ratio,output_input_rms
MATCH,0,20261201,0.9846271273757642,0.25391224727112177,0.8789476786429683,1.8456180923170573,1.3047044680764277,0.8705879802053625,0.4270293870094148,1.6779537970821063,0.21635511870408664,0.925238644083341
MATCH,0,20261202,0.19229127551079728,0.18564810237148777,0.9584685961405436,-0.4839936482021585,0.31429243937600404,1.4880377620458602,0.45420418058056383,1.004782795906067,0.18816669612351689,0.9391372501850128
MATCH,1,20261201,1.589860323704973,0.3377563840379783,0.8535666490594546,1.9494757597844692,2.2410405388800427,0.8290591708251408,0.489848984316701,2.2888739506403604,0.20663741293537896,0.9605509986480077
MATCH,1,20261202,1.6651275502505694,0.33429193203725543,0.8452701469262441,0.08299633107344562,1.5145083670504391,1.0590751022100449,0.34935762903187423,2.3506464759508767,0.16669243882521792,0.9638924648364385
MATCH,2,20261201,0.2942377295427529,0.1438583091367036,0.9350833694140116,-0.13979528099298477,0.43966504333851236,1.0176015973091126,0.11818678369745612,1.0830882241328557,0.03306088342166428,0.9990758274992307
MATCH,2,20261202,0.22055448329774663,0.12286473591423903,0.9527425467967987,2.9742404237751745,0.3510645061420898,0.7376377599106895,0.6876235020657381,1.018493041396141,0.2470785477392686,0.9487327213088671
MATCH,3,20261201,0.6063764964152748,0.2493528399306039,0.9095268404732147,0.6105404961687911,0.5917400615289807,0.9632239426885333,0.4093376186986764,1.3789533053835232,0.1281870038753065,0.9900759930411974
MATCH,3,20261202,0.2997731944730428,0.15754059380075583,0.9383970151344935,2.0490502156231245,0.36170065329254913,0.8411120691082694,0.4914934708821503,1.0691965396205585,0.1827584941590127,0.9620804463823637
MATCH,4,20261201,0.17432148836087435,0.12373496316528569,0.9756148358186086,0.7905417223948807,0.34419752125783515,1.054030607144038,0.41388590691522475,1.0198520595828693,0.13608202959100404,0.98298512895902
MATCH,4,20261202,0.2961796321518098,0.14050323467624062,0.9266885158916315,2.5124062444083393,0.48178252938669175,0.8260065317153931,0.4461057940381579,1.074584648013115,0.22751952955150045,0.9097928814589977
