panel,stratum,condition,metric,participant_mean,participant_median,bootstrap_low,bootstrap_high,participants
paired,all,MATCH,rrmse_temporal,0.6323349301083605,0.2724449247361917,0.256558246204316,1.2354934780246245,15.0
paired,all,MATCH,rrmse_spectral,0.2049463342341672,0.1621262879343703,0.1418959112602897,0.2988419879967841,15.0
paired,all,MATCH,correlation,0.917430619429797,0.9352158047258854,0.8685921842589354,0.9506372065244552,15.0
paired,all,MATCH,snr_improvement,1.1792768350601863,1.259530784212984,0.6104759529679188,1.7093264194387534,15.0
paired,all,MATCH,artifact_rmse,0.7944696128329573,0.3833251581527293,0.3643031011213316,1.4726688093283642,15.0
paired,all,MATCH,artifact_rrmse,0.9737456079249492,0.9037364761034647,0.8805206362584901,1.0881462081197706,15.0
paired,all,MATCH,artifact_correlation,0.4229176492827531,0.4362564618388811,0.364644987049635,0.4805687188116538,15.0
paired,all,MATCH,clean_output_rms_ratio,1.396642483770847,1.0444961227476597,1.041471202516307,1.9513424322319524,15.0
paired,all,MATCH,observation_change_ratio,0.1732538154925957,0.1711004888638854,0.1399202999512787,0.2081931004767557,15.0
paired,all,MATCH,output_input_rms,0.9581562356402477,0.960887035354972,0.9435047357436268,0.9700207738112656,15.0
paired,all,NO_TRANSFER_BRANCH,rrmse_temporal,0.7214452156122813,0.3899586396291852,0.3530687878418727,1.319654471021731,15.0
paired,all,NO_TRANSFER_BRANCH,rrmse_spectral,0.2573782923953937,0.222662343760021,0.189899957134124,0.3514218544616354,15.0
paired,all,NO_TRANSFER_BRANCH,correlation,0.8952383819501847,0.911198602989316,0.8501517905721752,0.926485748612322,15.0
paired,all,NO_TRANSFER_BRANCH,snr_improvement,-0.3934189725971511,-0.2870094873554383,-0.6958033332691492,-0.1700517975488387,15.0
paired,all,NO_TRANSFER_BRANCH,artifact_rmse,0.8817971859554139,0.5424131241161376,0.460256876097992,1.5538922409772449,15.0
paired,all,NO_TRANSFER_BRANCH,artifact_rrmse,1.0605460344886315,1.035679578781128,1.0242749413779149,1.1127472328509096,15.0
paired,all,NO_TRANSFER_BRANCH,artifact_correlation,0.0151874383643593,-0.0001659859387603,-0.0122247451965081,0.0460374338115055,15.0
paired,all,NO_TRANSFER_BRANCH,clean_output_rms_ratio,1.469541204969088,1.1174764931201937,1.122022745596866,2.0262723308056585,15.0
paired,all,NO_TRANSFER_BRANCH,observation_change_ratio,0.0248912241044005,0.0193634102524811,0.0191251822903768,0.0311198952294277,15.0
paired,all,NO_TRANSFER_BRANCH,output_input_rms,1.0010992181797822,1.00031840801239,1.0002554441305498,1.0021007605517904,15.0
paired,all,ORACLE,rrmse_temporal,0.6260680505707569,0.2731831491546472,0.256420236761666,1.216644448522153,15.0
