recipient,date_stratum,fold,state,run,family,match_candidates,pop_bank_candidates,pop_bank_owners,support_patch_count,support_time_coverage_seconds,query_patch_count,query_time_coverage_seconds,annotation_groups,annotation_rows,mapped_channel_names,failed_channel_names,mean_mask_channels,mean_mask_time_fraction,empty_masks,wrong_donor,wrong_candidates
1,multi-date,3,open_base,2,head_motion,16,192,12,16,32.0,4,8.000000000000028,9,189,189,,21.0,0.5,0,2,16
1,multi-date,3,open_base,2,head_motion,16,192,12,16,32.0,4,8.000000000000028,9,189,189,,21.0,0.5,0,5,16
1,multi-date,3,open_base,2,head_motion,16,192,12,16,32.0,4,8.000000000000028,9,189,189,,21.0,0.5,0,6,16
1,multi-date,3,open_base,2,head_motion,16,192,12,16,32.0,4,8.000000000000028,9,189,189,,21.0,0.5,0,8,16
1,multi-date,3,open_base,2,head_motion,16,192,12,16,32.0,4,8.000000000000028,9,189,189,,21.0,0.5,0,13,16
1,multi-date,3,open_base,2,head_motion,16,192,12,16,32.0,4,8.000000000000028,9,189,189,,21.0,0.5,0,14,16
1,multi-date,3,open_base,2,head_motion,16,192,12,16,32.0,4,8.000000000000028,9,189,189,,21.0,0.5,0,16,16
1,multi-date,3,open_base,2,head_motion,16,192,12,16,32.0,4,8.000000000000028,9,189,189,,21.0,0.5,0,18,16
1,multi-date,3,open_base,2,head_motion,16,192,12,16,32.0,4,8.000000000000028,9,189,189,,21.0,0.5,0,23,16
1,multi-date,3,open_base,2,head_motion,16,192,12,16,32.0,4,8.000000000000028,9,189,189,,21.0,0.5,0,26,16
1,multi-date,3,open_base,2,head_motion,16,192,12,16,32.0,4,8.000000000000028,9,189,189,,21.0,0.5,0,27,16
1,multi-date,3,open_base,2,head_motion,16,192,12,16,32.0,4,8.000000000000028,9,189,189,,21.0,0.5,0,30,16
1,multi-date,3,open_base,2,chewing,16,192,12,16,32.0,4,8.000000000000028,2,2,2,,34.0,0.5,0,2,16
1,multi-date,3,open_base,2,chewing,16,192,12,16,32.0,4,8.000000000000028,2,2,2,,34.0,0.5,0,5,16
1,multi-date,3,open_base,2,chewing,16,192,12,16,32.0,4,8.000000000000028,2,2,2,,34.0,0.5,0,6,16
1,multi-date,3,open_base,2,chewing,16,192,12,16,32.0,4,8.000000000000028,2,2,2,,34.0,0.5,0,8,16
1,multi-date,3,open_base,2,chewing,16,192,12,16,32.0,4,8.000000000000028,2,2,2,,34.0,0.5,0,13,16
1,multi-date,3,open_base,2,chewing,16,192,12,16,32.0,4,8.000000000000028,2,2,2,,34.0,0.5,0,14,16
1,multi-date,3,open_base,2,chewing,16,192,12,16,32.0,4,8.000000000000028,2,2,2,,34.0,0.5,0,16,16
1,multi-date,3,open_base,2,chewing,16,192,12,16,32.0,4,8.000000000000028,2,2,2,,34.0,0.5,0,18,16
1,multi-date,3,open_base,2,chewing,16,192,12,16,32.0,4,8.000000000000028,2,2,2,,34.0,0.5,0,23,16
1,multi-date,3,open_base,2,chewing,16,192,12,16,32.0,4,8.000000000000028,2,2,2,,34.0,0.5,0,26,16
1,multi-date,3,open_base,2,chewing,16,192,12,16,32.0,4,8.000000000000028,2,2,2,,34.0,0.5,0,27,16
1,multi-date,3,open_base,2,chewing,16,192,12,16,32.0,4,8.000000000000028,2,2,2,,34.0,0.5,0,30,16
1,multi-date,3,open_base,2,tongue,16,192,12,16,32.0,4,8.000000000000028,1,11,11,,11.0,0.424,0,2,16
1,multi-date,3,open_base,2,tongue,16,192,12,16,32.0,4,8.000000000000028,1,11,11,,11.0,0.424,0,5,16
1,multi-date,3,open_base,2,tongue,16,192,12,16,32.0,4,8.000000000000028,1,11,11,,11.0,0.424,0,6,16
1,multi-date,3,open_base,2,tongue,16,192,12,16,32.0,4,8.000000000000028,1,11,11,,11.0,0.424,0,8,16
1,multi-date,3,open_base,2,tongue,16,192,12,16,32.0,4,8.000000000000028,1,11,11,,11.0,0.424,0,13,16
1,multi-date,3,open_base,2,tongue,16,192,12,16,32.0,4,8.000000000000028,1,11,11,,11.0,0.424,0,14,16
1,multi-date,3,open_base,2,tongue,16,192,12,16,32.0,4,8.000000000000028,1,11,11,,11.0,0.424,0,16,16
1,multi-date,3,open_base,2,tongue,16,192,12,16,32.0,4,8.000000000000028,1,11,11,,11.0,0.424,0,18,16
1,multi-date,3,open_base,2,tongue,16,192,12,16,32.0,4,8.000000000000028,1,11,11,,11.0,0.424,0,23,16
1,multi-date,3,open_base,2,tongue,16,192,12,16,32.0,4,8.000000000000028,1,11,11,,11.0,0.424,0,26,16
1,multi-date,3,open_base,2,tongue,16,192,12,16,32.0,4,8.000000000000028,1,11,11,,11.0,0.424,0,27,16
1,multi-date,3,open_base,2,tongue,16,192,12,16,32.0,4,8.000000000000028,1,11,11,,11.0,0.424,0,30,16
1,multi-date,3,open_base,2,swallowing,16,192,12,16,32.0,4,8.000000000000028,7,29,29,,27.714285714285715,0.5,0,2,16
1,multi-date,3,open_base,2,swallowing,16,192,12,16,32.0,4,8.000000000000028,7,29,29,,27.714285714285715,0.5,0,5,16
1,multi-date,3,open_base,2,swallowing,16,192,12,16,32.0,4,8.000000000000028,7,29,29,,27.714285714285715,0.5,0,6,16
1,multi-date,3,open_base,2,swallowing,16,192,12,16,32.0,4,8.000000000000028,7,29,29,,27.714285714285715,0.5,0,8,16
1,multi-date,3,open_base,2,swallowing,16,192,12,16,32.0,4,8.000000000000028,7,29,29,,27.714285714285715,0.5,0,13,16
1,multi-date,3,open_base,2,swallowing,16,192,12,16,32.0,4,8.000000000000028,7,29,29,,27.714285714285715,0.5,0,14,16
1,multi-date,3,open_base,2,swallowing,16,192,12,16,32.0,4,8.000000000000028,7,29,29,,27.714285714285715,0.5,0,16,16
1,multi-date,3,open_base,2,swallowing,16,192,12,16,32.0,4,8.000000000000028,7,29,29,,27.714285714285715,0.5,0,18,16
