participant,state,run,annotation_rows,all_nonoverlap_candidates,selected_patches,source_prepared_patch_count,unique_selected_starts,duplicate_selected_starts,actual_time_coverage_seconds,interval_span_seconds,first_start,last_stop,current_rowwise_cap_can_repeat,fair_sampling_rule
1,open_base,1,1,60,16,0,16,0,32.0,120.90157480000002,139.661925,259.661925,0,fixed-seed-uniform-over-complete-baseline
1,close_base,1,1,60,16,0,16,0,32.0,120.13163366900001,9.952966,117.952966,0,fixed-seed-uniform-over-complete-baseline
1,open_base,2,1,57,4,4,4,0,8.000000000000028,114.1516943,216.764041,256.764041,0,fixed-seed-uniform-over-complete-baseline
1,close_base,2,2,56,4,8,4,0,8.000000000000014,114.74820221799999,10.846627,124.555986,1,fixed-seed-uniform-over-complete-baseline
1,open_base,3,1,59,4,4,4,0,8.0,119.75759340000002,143.619017,239.619017,0,fixed-seed-uniform-over-complete-baseline
1,close_base,3,1,59,4,4,4,0,8.0,118.70452433300001,15.848506,103.848506,0,fixed-seed-uniform-over-complete-baseline
1,open_base,4,1,52,4,4,4,0,8.0,104.99268699999999,200.313277,242.313277,0,fixed-seed-uniform-over-complete-baseline
1,close_base,4,1,59,4,4,4,0,8.0,118.12679892700001,14.100703,80.100703,0,fixed-seed-uniform-over-complete-baseline
1,open_base,5,1,59,4,4,4,0,8.0,118.82153200000002,141.396825,239.396825,0,fixed-seed-uniform-over-complete-baseline
1,close_base,5,2,45,4,8,4,0,8.000000000000014,92.74616028,73.420475,123.420475,1,fixed-seed-uniform-over-complete-baseline
1,open_base,6,1,56,4,4,4,0,8.0,112.9669916,136.792286,202.792286,0,fixed-seed-uniform-over-complete-baseline
1,close_base,6,1,41,4,4,4,0,8.0,82.04609977999999,55.992018,117.992018,0,fixed-seed-uniform-over-complete-baseline
2,open_base,1,1,58,16,0,16,0,32.0,117.96591330000001,160.354229,276.354229,0,fixed-seed-uniform-over-complete-baseline
2,close_base,1,3,40,16,0,16,0,32.0,82.99022270999998,11.180404,127.155858,1,fixed-seed-uniform-over-complete-baseline
2,open_base,2,1,60,4,4,4,0,8.0,120.18174629999999,151.176918,243.176918,0,fixed-seed-uniform-over-complete-baseline
2,close_base,2,2,37,4,8,4,0,8.0,76.43105262,64.178208,129.259231,1,fixed-seed-uniform-over-complete-baseline
2,open_base,3,1,58,4,4,4,0,8.0,117.40281390000001,204.71001,252.71001,0,fixed-seed-uniform-over-complete-baseline
2,close_base,3,3,22,4,12,4,0,8.0,47.520856730000006,10.88226,41.134904,1,fixed-seed-uniform-over-complete-baseline
2,open_base,4,1,55,4,4,4,0,8.0,111.69868960000002,159.409034,241.409034,0,fixed-seed-uniform-over-complete-baseline
2,close_base,4,0,0,0,0,0,0,0.0,0.0,,,0,fixed-seed-uniform-over-complete-baseline
2,open_base,5,1,57,4,4,4,0,8.0,115.8744011,171.782873,201.782873,0,fixed-seed-uniform-over-complete-baseline
2,close_base,5,8,31,4,22,4,0,8.0,71.96503504999998,8.978261,111.051391,1,fixed-seed-uniform-over-complete-baseline
2,open_base,6,1,59,4,4,4,0,8.0,119.98013929999999,134.685972,188.685972,0,fixed-seed-uniform-over-complete-baseline
2,close_base,6,2,55,4,8,4,0,8.0,112.05494739999999,20.111773,122.910966,1,fixed-seed-uniform-over-complete-baseline
5,open_base,1,2,58,16,0,16,0,32.0,118.0411742,159.593453,266.387326,1,fixed-seed-uniform-over-complete-baseline
5,close_base,1,0,0,0,0,0,0,0.0,0.0,,,0,fixed-seed-uniform-over-complete-baseline
5,open_base,2,1,59,4,4,4,0,8.0,119.65426310000001,185.649777,231.649777,0,fixed-seed-uniform-over-complete-baseline
5,close_base,2,0,0,0,0,0,0,0.0,0.0,,,0,fixed-seed-uniform-over-complete-baseline
5,open_base,3,1,59,4,4,4,0,8.0,118.60506850192058,158.894392,242.894392,0,fixed-seed-uniform-over-complete-baseline
