fold,lambda_a,lambda_y,method,mode,natural_covariance_distortion,natural_preservation,natural_psd_distortion,natural_remaining_ratio,paired_clean_rrmse,spatial_only,stage
2,1,0,CALIB_ENERGY_DET_MATCH,final_only,0.20479246972348086,0.8271084484683039,0.4004466771924247,0.8171875383704901,0.7563972044323842,0,A
2,1,0,CALIB_ENERGY_SDEDIT_MATCH,final_only,0.20769475642279614,0.822458847425878,0.4076514552968244,0.8223118726164103,0.7606093911235803,0,A
2,1,0.5,CALIB_ENERGY_DET_MATCH,final_only,0.17071405036858267,0.8585858068157298,0.33825184133214253,0.8265677752594153,0.7507859888234331,0,A
2,1,0.5,CALIB_ENERGY_SDEDIT_MATCH,final_only,0.1727900669294071,0.8548666408169083,0.3440098559949547,0.8302424810826778,0.7541012534153803,0,A
2,1,2,CALIB_ENERGY_DET_MATCH,final_only,0.11697367937929848,0.906224228538728,0.2361336740820358,0.8541278410702944,0.7488494575954974,0,A
2,1,2,CALIB_ENERGY_SDEDIT_MATCH,final_only,0.11800590312298316,0.9039075552718714,0.24111474018233517,0.856041610861818,0.7508816079959312,0,A
2,1,8,CALIB_ENERGY_DET_MATCH,final_only,0.058436249964148736,0.9551418222642193,0.12405698253617932,0.9046424496918917,0.7577057843154762,0,A
2,1,8,CALIB_ENERGY_SDEDIT_MATCH,final_only,0.05865083401069295,0.9542340274395732,0.12647007991715023,0.9052398204803467,0.758549527573147,0,A
2,0,8,CALIB_ENERGY_DET_MATCH,final_only,0.03926167143732424,0.9703716992662521,0.08731787486855562,0.9280498785277208,0.7643774750783147,0,B
2,0,8,CALIB_ENERGY_SDEDIT_MATCH,final_only,0.040719750044846716,0.9682111182482913,0.09326925411975633,0.9290930926799774,0.7657286789350716,0,B
2,1,8,CALIB_ENERGY_DET_MATCH,final_only,0.058436249964148736,0.9551418222642193,0.12405698253617932,0.9046424496918917,0.7577057843154762,0,B
2,1,8,CALIB_ENERGY_SDEDIT_MATCH,final_only,0.05865083401069295,0.9542340274395732,0.12647007991715023,0.9052398204803467,0.758549527573147,0,B
2,4,8,CALIB_ENERGY_DET_MATCH,final_only,0.09520844087465474,0.9247937180916779,0.19450265409735343,0.8700500664611658,0.7506177778013807,0,B
2,4,8,CALIB_ENERGY_SDEDIT_MATCH,final_only,0.09500630855827559,0.9245329186766563,0.19532156809388349,0.8703952971845865,0.7511143758747494,0,B
2,1,8,CALIB_ENERGY_DET_MATCH,final_only,0.058436249964148736,0.9551418222642193,0.12405698253617932,0.9046424496918917,0.7577057843154762,0,C
2,1,8,CALIB_ENERGY_SDEDIT_MATCH,final_only,0.05865083401069295,0.9542340274395732,0.12647007991715023,0.9052398204803467,0.758549527573147,0,C
2,1,8,CALIB_ENERGY_DET_MATCH,stepwise,0.058436249964148736,0.9551418222642193,0.12405698253617932,0.9046424496918917,0.7577057843154762,0,C
2,1,8,CALIB_ENERGY_SDEDIT_MATCH,stepwise,0.05407473446750666,0.9574244648586804,0.1217292178965484,0.9156611878424883,0.7614526477312514,0,C
2,1,8,CALIB_ENERGY_DET_MATCH,final_only,0.16398320987682627,0.8634664523997344,0.29947553885479766,0.8129293366024891,0.7530976359630586,1,D
2,1,8,CALIB_ENERGY_SDEDIT_MATCH,final_only,0.1647327804823442,0.8599133526634736,0.30463304681082565,0.8151686396449804,0.7549898103922411,1,D
