dataset,denominator,matching_selected_safe_rate,mean_auprc,mean_auroc,mean_coverage,mean_label_prevalence,route,successful,wrong_support_selected_safe_rate
klados,16,0.6725198412698412,0.7753415532879819,0.7898313492063491,0.44185606060606064,0.4290088383838384,M0,16,0.6415922619047619
klados,16,0.6298115079365079,0.7727869897959183,0.7767361111111111,0.4543560606060606,0.4290088383838384,M1,16,0.6258184523809524
sgeyesub,59,0.0,nan,nan,0.0,0.0,M0,58,0.0
sgeyesub,59,0.0,nan,nan,0.0,0.0,M1,58,0.0
