bootstrap_replicates,ci95_lower,ci95_upper,contrast,mean_effect,metric,participant_stem_count
20000,0.022082943581491533,0.07565826793009638,matching_minus_population,0.05007266579805684,eog_remaining_utility,56
20000,0.06997895162999665,0.13273194035996314,matching_minus_wrong_shuffled_mean,0.09910432903555175,eog_remaining_utility,56
20000,-0.028955199803501468,0.012180066414227501,matching_minus_population,-0.008024707214292454,eog_coherence_utility,56
20000,0.016991246132555208,0.0498959436039648,matching_minus_wrong_shuffled_mean,0.03361761893383974,eog_coherence_utility,56
20000,-0.007587751851443882,0.0016855507247439672,matching_minus_population,-0.00241072653764134,nonartifact_preservation_utility,56
20000,-0.004358340003373999,0.004498439978174396,matching_minus_wrong_shuffled_mean,0.0003421826456681582,nonartifact_preservation_utility,56
20000,-0.025113833596573664,0.01266963198245958,matching_minus_population,-0.0063831686463802105,erp_utility,54
20000,-0.036381684626168594,-0.008973733430295748,matching_minus_wrong_shuffled_mean,-0.0229698998710464,erp_utility,54
20000,-0.02387532875982943,0.008176084159497832,matching_minus_population,-0.0049851242573784255,psd_utility,56
20000,-0.022353500935047284,0.00807896591137957,matching_minus_wrong_shuffled_mean,-0.004840060699174983,psd_utility,56
20000,-0.004245574375705955,0.001230556822548886,matching_minus_population,-0.0014131459730855913,covariance_utility,56
20000,0.0003254803596818444,0.00900683269348877,matching_minus_wrong_shuffled_mean,0.004804582175544736,covariance_utility,56
