successful_update,pair_indices,pair_keys
1,653;354;385;681;367;502;515;292,study05/study05_p50:target_t19_1536:source_t2_1536;study05/study05_p45:target_t32_512:source_t15_1536;study05/study05_p46:target_t21_1024:source_t0_512;study05/study05_p50:target_t29_512:source_t9_1536;study05/study05_p45:target_t35_1536:source_t2_512;study05/study05_p47:target_t29_512:source_t14_0;study05/study05_p47:target_t32_1024:source_t1_0;study05/study05_p44:target_t33_0:source_t0_1024
2,194;237;151;220;85;471;280;120,study05/study05_p24:target_t26_1024:source_t11_1536;study05/study05_p44:target_t19_512:source_t14_512;study05/study05_p10:target_t33_0:source_t0_1024;study05/study05_p44:target_t15_0:source_t8_0;study05/study05_p06:target_t38_1024:source_t5_0;study05/study05_p47:target_t21_1024:source_t5_0;study05/study05_p44:target_t30_0:source_t11_0;study05/study05_p10:target_t25_512:source_t9_0
3,250;285;664;0;448;429;622;617,study05/study05_p44:target_t22_1024:source_t2_1536;study05/study05_p44:target_t31_512:source_t12_1536;study05/study05_p50:target_t23_1536:source_t5_1024;study05/study05_p06:target_t17_0:source_t0_1024;study05/study05_p46:target_t37_1536:source_t16_1536;study05/study05_p46:target_t33_0:source_t11_512;study05/study05_p49:target_t18_512:source_t2_1024;study05/study05_p49:target_t15_1024:source_t1_512
4,177;10;243;564;153;324;297;226,study05/study05_p24:target_t20_0:source_t6_1536;study05/study05_p06:target_t19_1024:source_t3_0;study05/study05_p44:target_t20_1536:source_t1_0;study05/study05_p48:target_t25_512:source_t7_512;study05/study05_p10:target_t33_1024:source_t1_0;study05/study05_p45:target_t23_1024:source_t7_0;study05/study05_p44:target_t34_512:source_t1_1536;study05/study05_p44:target_t16_1024:source_t9_1024
5,25;596;229;97;152;148;421;585,study05/study05_p06:target_t23_512:source_t6_1536;study05/study05_p48:target_t35_0:source_t2_512;study05/study05_p44:target_t17_512:source_t11_0;study05/study05_p10:target_t19_1024:source_t3_0;study05/study05_p10:target_t33_512:source_t0_1536;study05/study05_p10:target_t32_512:source_t16_1536;study05/study05_p46:target_t31_0:source_t9_512;study05/study05_p48:target_t31_1536:source_t13_512
6,398;195;137;682;571;62;474;118,study05/study05_p46:target_t24_1536:source_t3_1024;study05/study05_p24:target_t26_1536:source_t12_512;study05/study05_p10:target_t29_1024:source_t13_1536;study05/study05_p50:target_t29_1024:source_t10_0;study05/study05_p48:target_t27_512:source_t9_0;study05/study05_p06:target_t32_1536:source_t16_512;study05/study05_p47:target_t22_512:source_t5_1536;study05/study05_p10:target_t24_1536:source_t8_512
7,551;674;503;24;603;288;264;505,study05/study05_p48:target_t21_1536:source_t4_0;study05/study05_p50:target_t27_1024:source_t8_0;study05/study05_p47:target_t29_1024:source_t14_512;study05/study05_p06:target_t23_0:source_t6_1024;study05/study05_p49:target_t11_1024:source_t8_1536;study05/study05_p44:target_t32_0:source_t14_512;study05/study05_p44:target_t26_0:source_t6_512;study05/study05_p47:target_t30_0:source_t15_512
8,158;694;591;545;406;189;510;487,study05/study05_p10:target_t34_1536:source_t2_512;study05/study05_p50:target_t34_0:source_t13_0;study05/study05_p48:target_t33_1536:source_t1_0;study05/study05_p48:target_t20_512:source_t2_1024;study05/study05_p46:target_t26_1536:source_t5_1024;study05/study05_p24:target_t25_512:source_t9_1536;study05/study05_p47:target_t31_512:source_t16_1536;study05/study05_p47:target_t25_1024:source_t9_1536
9,343;399;417;51;254;227;412;415,study05/study05_p45:target_t29_1024:source_t12_512;study05/study05_p46:target_t25_0:source_t3_1536;study05/study05_p46:target_t30_0:source_t8_512;study05/study05_p06:target_t30_0:source_t13_1024;study05/study05_p44:target_t23_1024:source_t3_1536;study05/study05_p44:target_t16_1536:source_t9_1536;study05/study05_p46:target_t28_1536:source_t7_0;study05/study05_p46:target_t29_1024:source_t7_1536
10,169;649;36;425;645;657;372;458,study05/study05_p10:target_t37_1024:source_t5_0;study05/study05_p50:target_t18_512:source_t1_1536;study05/study05_p06:target_t26_0:source_t9_1024;study05/study05_p46:target_t32_0:source_t10_512;study05/study05_p50:target_t16_1536:source_t0_1536;study05/study05_p50:target_t21_512:source_t3_1536;study05/study05_p46:target_t18_512:source_t15_0;study05/study05_p47:target_t18_512:source_t1_1536
