effect,estimand,exact_cell,unit_id
0.031952469120850424,subject_wrong,study03|layout_03|200,study03/study03_p21
0.05817828045383533,subject_wrong,study03|layout_03|200,study03/study03_p22
-0.032599492079163406,subject_wrong,study03|layout_03|200,study03/study03_p23
0.017381034378212118,subject_wrong,study03|layout_03|200,study03/study03_p24
0.016107418499895526,subject_wrong,study03|layout_03|200,study03/study03_p25
0.014583412630633341,subject_wrong,study03|layout_03|200,study03/study03_p26
0.006457984497473951,subject_wrong,study03|layout_03|200,study03/study03_p27
-0.011390724572284627,subject_wrong,study04|layout_04|100,study04/study04_p03
0.0011556060646998323,subject_wrong,study04|layout_04|100,study04/study04_p08
-0.026779747700066317,subject_wrong,study04|layout_04|100,study04/study04_p24
0.02038991222192979,subject_wrong,study04|layout_04|100,study04/study04_p28
0.011989099770490202,subject_wrong,study04|layout_04|100,study04/study04_p29
0.04470332430468471,subject_wrong,study04|layout_04|100,study04/study04_p30
-0.009814972341890188,subject_wrong,study04|layout_04|100,study04/study04_p31
-0.07609618874458082,subject_wrong,study04|layout_04|100,study04/study04_p32
-0.011629512351454763,subject_wrong,study04|layout_04|100,study04/study04_p33
-0.016738812859526275,subject_wrong,study04|layout_04|100,study04/study04_p34
-0.00409995457258322,subject_wrong,study04|layout_04|100,study04/study04_p35
-0.014356231368272826,subject_wrong,study04|layout_04|100,study04/study04_p36
0.02498288207796409,subject_wrong,study04|layout_04|100,study04/study04_p37
-0.010916920945958558,subject_wrong,study04|layout_04|100,study04/study04_p38
0.024708493574955526,subject_wrong,study04|layout_04|100,study04/study04_p39
0.00015717136788701014,subject_wrong,study05|layout_05|256,study05/study05_p06
5.132785859518485e-05,subject_wrong,study05|layout_05|256,study05/study05_p10
0.0013316973290364298,subject_wrong,study05|layout_05|256,study05/study05_p24
0.0024313651707962847,subject_wrong,study05|layout_05|256,study05/study05_p40
-0.011532829044763937,subject_wrong,study05|layout_05|256,study05/study05_p41
0.0011329668745317933,subject_wrong,study05|layout_05|256,study05/study05_p43
-0.010515567300737327,subject_wrong,study05|layout_05|256,study05/study05_p44
-0.02404671116218543,subject_wrong,study05|layout_05|256,study05/study05_p45
0.005458399444398243,subject_wrong,study05|layout_05|256,study05/study05_p46
0.002489541797940531,subject_wrong,study05|layout_05|256,study05/study05_p47
0.00902900518285743,subject_wrong,study05|layout_05|256,study05/study05_p48
0.027784102274625966,subject_wrong,study05|layout_05|256,study05/study05_p49
0.004205094600306769,subject_wrong,study05|layout_05|256,study05/study05_p50
0.04418775558565213,diffusion_value,19ch_native_linked_mastoid_256hz,sim37
0.04855628026310127,diffusion_value,19ch_native_linked_mastoid_256hz,sim38
0.13277856414068262,diffusion_value,19ch_native_linked_mastoid_256hz,sim39
-0.018044692284269637,diffusion_value,19ch_native_linked_mastoid_256hz,sim40
0.047805211159568706,diffusion_value,19ch_native_linked_mastoid_256hz,sim41
-0.012405932550363874,diffusion_value,19ch_native_linked_mastoid_256hz,sim42
0.005621989940883088,diffusion_value,19ch_native_linked_mastoid_256hz,sim43
0.07616712701280959,diffusion_value,19ch_native_linked_mastoid_256hz,sim46
0.20001288739647194,diffusion_value,19ch_native_linked_mastoid_256hz,sim47
0.04407149148635836,diffusion_value,19ch_native_linked_mastoid_256hz,sim48
0.08120363495663963,diffusion_value,19ch_native_linked_mastoid_256hz,sim49
0.08555878464180033,diffusion_value,19ch_native_linked_mastoid_256hz,sim50
0.09085901667801283,diffusion_value,19ch_native_linked_mastoid_256hz,sim51
0.10018089161442012,diffusion_value,19ch_native_linked_mastoid_256hz,sim52
0.03211715465030873,diffusion_value,19ch_native_linked_mastoid_256hz,sim53
-0.01108368029420137,diffusion_value,19ch_native_linked_mastoid_256hz,sim54
