artifact_reconstruction_relative_error,artifact_sample_fraction,clean_waveform_RRMSE,clean_waveform_correlation,coefficient_saturation_fraction,continuous_segment_welch_psd_distortion,dataset,delta_SNR_db,eog_coherence_output,eog_coherence_raw,eog_coherence_reduction,latency_seconds_per_window,matching_projector_attenuation_db,method,nonartifact_observation_preservation,observation_change_ratio,orthogonal_complement_relative_change,output_input_RMS_ratio,population_projector_attenuation_db,reference_free_covariance_distortion,reference_free_psd_distortion,rest_sample_fraction,seed_count
1.0000000002513123,,1.2948074647702104,0.6301623066247016,0.0,,klados,-2.1828712433107425e-09,,,,0.0,,RAW,,2.546877818898702e-08,,1.0000000001519855,,,,,3
0.31121949586484476,,0.39902236887445036,0.9204316570457256,0.0,,klados,10.402481453677911,,,,0.004303800021060965,,POP,,0.7459616619524084,,0.6501073860242668,,,,,3
0.3654178673418825,,0.47674322628790067,0.8931691271263513,0.0,,klados,8.92469203657867,,,,0.4191835353055611,,DIFF-POP,,0.5921053899134301,3.748822719662068e-08,0.6731801371239259,,,,,3
0.4173553307968123,,0.5324652178880139,0.8743779265530592,0.0,,klados,7.940193001514122,,,,0.4194522819175967,,DIFF-MATCH,,0.5810196634888345,,0.689016522926232,,,,,3
0.43212877624571455,,0.5542888546880977,0.8641432229790607,0.0,,klados,7.750965034760063,,,,0.0,,DIFF-WRONG-SAME-CELL,,0.574498278141872,,0.6993901725244207,,,,,3
0.46026911603716786,,0.5916893731628811,0.8496729568093134,0.0,,klados,7.017092669934368,,,,0.0,,DET-MATCH,,0.5865033123718666,,0.6941201699293957,,,,,3
0.4402118645562831,,0.5613304069421315,0.8643401625437291,0.0,,klados,7.46265358566251,,,,0.0,,DIFF-MATCH-K1,,0.6070760092751686,,0.6981051998086458,,,,,3
0.3830027443232997,,0.4876976095112055,0.8887494858702063,0.0,,klados,8.865816098354518,,,,0.0,,DIFF-MATCH-NO-IDENTITY,,0.625728595818466,,0.672846968294311,,,,,3
,0.3422574804697466,,,0.0,0.0,sgeyesub,,0.46441210343868417,0.46441210343868417,0.0,0.0,0.0,RAW,1.0,0.0,,1.0,0.0,0.0,0.0,0.355333078876917,3
,0.3422574804697466,,,0.0,0.38297788322612825,sgeyesub,,0.1413331659150527,0.46441210343868417,0.3230789375236315,0.0011208046252151095,5.632884250535642,POP,0.7762047250202756,0.6509245649566048,,0.7725100378934516,5.626200114759511,0.09381335085299305,0.48443185178336096,0.355333078876917,3
,0.3422574804697466,,,1.7024365040931722e-06,0.15093430194922533,sgeyesub,,0.2269443297328149,0.46441210343868417,0.23746777370586927,0.16131341318898942,5.043139624525121,DIFF-POP,0.8973144161330628,0.5060779556993089,,0.7807084883946175,5.1390253614919805,0.05639117663091517,0.23623332336122282,0.355333078876917,3
,0.3422574804697466,,,1.6837284106415985e-06,0.16018015590892448,sgeyesub,,0.23208983578061082,0.46441210343868417,0.23232226765807337,0.16146464370260954,5.134399666837223,DIFF-MATCH,0.8891248934812065,0.5028840252856368,,0.780031758518164,5.006253914872855,0.06620940420353168,0.2524324443644797,0.355333078876917,3
,0.3422574804697466,,,0.0,0.15432963449166937,sgeyesub,,0.23495162975157052,0.46441210343868417,0.22946047368711364,0.0,4.978581788745231,DIFF-WRONG-SAME-CELL,0.8937732057184288,0.5021133096525597,,0.7836524478043244,5.051733575724084,0.06100782850291667,0.2350533219315559,0.355333078876917,3
,0.3422574804697466,,,0.0,0.20386270472458834,sgeyesub,,0.23434319498387596,0.46441210343868417,0.2300689084548082,0.0,5.263999531162508,DET-MATCH,0.868338964118552,0.5029849209701167,,0.7717367640983412,5.138174315241182,0.10667079230088142,0.2448968886520009,0.355333078876917,3
,0.3422574804697466,,,0.0,0.17937736009301386,sgeyesub,,0.22942777410317433,0.46441210343868417,0.23498432933550983,0.0,5.037088621900593,DIFF-MATCH-K1,0.87244433221394,0.5088175527730643,,0.7838175542770491,4.917858196195487,0.06125401862298425,0.26840896968267824,0.355333078876917,3
,0.3422574804697466,,,0.0,0.3577648658864228,sgeyesub,,0.21754436127916707,0.46441210343868417,0.24686774215951707,0.0,5.708929024267584,DIFF-MATCH-NO-IDENTITY,0.7962614772719487,0.5191278113970228,,0.7560395622173401,5.550160264361352,0.15652917273839959,0.3927212624030314,0.355333078876917,3
