fold,participant,view,arm,donor,beta,distance,morphology_distance,topography_distance,dynamics_distance
4,5,primary,WRONG_DONOR,10,0.5,5.002458055814107,12.255964279174805,1.5775277614593506,1.1738821268081665
4,5,primary,WRONG_DONOR,15,0.5,8.68031358718872,23.615896224975586,1.1519739627838135,1.2730705738067627
4,5,primary,POP,,0.5,4.638677477836609,11.850541114807129,1.2423884868621826,0.8231028318405151
4,5,primary,MATCH,,0.5,4.528024872144063,12.01290225982666,0.8262707591056824,0.7449015974998474
4,5,primary,WRONG_MEAN,,0.5,6.841385821501413,17.935930252075195,1.364750862121582,1.2234763503074646
4,10,primary,WRONG_DONOR,5,0.5,4.8744434515635175,11.649051666259766,1.2917680740356445,1.6825106143951416
4,10,primary,WRONG_DONOR,15,0.5,8.289030273755392,21.686059951782227,1.2952817678451538,1.885749101638794
4,10,primary,POP,,0.5,5.677195469538371,14.036004066467285,1.3037656545639038,1.6918166875839233
4,10,primary,MATCH,,0.5,5.4674549500147505,14.284092903137207,0.986247181892395,1.1320247650146484
4,10,primary,WRONG_MEAN,,0.5,6.581736862659454,16.667555809020996,1.2935249209403992,1.7841298580169678
4,15,primary,WRONG_DONOR,5,0.5,9.605278293291727,25.66216468811035,1.524160385131836,1.6295098066329956
4,15,primary,WRONG_DONOR,10,0.5,9.685274481773376,26.1079158782959,1.3583638668060303,1.5895437002182007
4,15,primary,POP,,0.5,9.005200068155924,24.143938064575195,1.4258205890655518,1.4458415508270264
4,15,primary,MATCH,,0.5,7.906718214352925,21.538726806640625,1.059653639793396,1.1217741966247559
4,15,primary,WRONG_MEAN,,0.5,9.645276387532551,25.885040283203125,1.441262125968933,1.6095267534255981
4,5,prestim,WRONG_DONOR,10,0.25,1.1868565082550049,1.1577320098876953,1.1089879274368286,1.2938495874404907
4,5,prestim,WRONG_DONOR,15,0.25,1.2009692986806233,1.198364019393921,1.0771090984344482,1.327434778213501
4,5,prestim,POP,,0.25,1.17197851339976,1.1700395345687866,1.0489559173583984,1.2969400882720947
4,5,prestim,MATCH,,0.25,1.1857195297876995,1.195794701576233,1.064305067062378,1.2970588207244873
4,5,prestim,WRONG_MEAN,,0.25,1.193912903467814,1.178048014640808,1.0930485129356384,1.3106421828269958
4,10,prestim,WRONG_DONOR,5,0.25,0.9824983874956766,0.8963334560394287,1.1093872785568237,0.9417744278907776
4,10,prestim,WRONG_DONOR,15,0.25,1.0834081570307414,1.0133787393569946,1.2342647314071655,1.002581000328064
4,10,prestim,POP,,0.25,1.0132606824239094,0.9135687947273254,1.1501810550689697,0.9760321974754333
4,10,prestim,MATCH,,0.25,0.9870611627896627,0.8959789872169495,1.0999399423599243,0.9652645587921143
