# M12 EOG_both: subject ablation (full-gen) | noise=EOG snr=[-16.0,-6.0] topo=True pools=True
variant,RRMSE_temporal,RRMSE_spectral,CC
Corrupted(in),11.6640,1081.7770,0.3424
correct e(s),0.2041,0.2128,0.9720
wrong e(s'),1.3650,10.7738,0.6985
null e,0.8694,3.1612,0.7914
# delta CC correct-vs-wrong=+0.2735  correct-vs-null=+0.1805
