dataset,left,mean_utility_effect_positive_is_better,median_utility_effect_positive_is_better,positive_units,right,route,screening_only,statistical_units
klados,DIFF-MATCH,0.0040398633878825745,0.0005972692762920562,9,DET-MATCH,P1_FULL_C_RESIDUAL,True,16
klados,DIFF-MATCH,-0.10010056550719276,-0.045823707963773275,2,DIFF-POP,P1_FULL_C_RESIDUAL,True,16
klados,DIFF-MATCH,0.033331773894925476,0.06435718081575148,13,MEAN-OF-3-DIFF-WRONG,P1_FULL_C_RESIDUAL,True,16
sgeyesub,DIFF-MATCH,0.01443241805423588,0.009802387318864986,48,DET-MATCH,P1_FULL_C_RESIDUAL,True,58
sgeyesub,DIFF-MATCH,-0.0429193047116157,-0.024472639275524788,12,DIFF-POP,P1_FULL_C_RESIDUAL,True,58
sgeyesub,DIFF-MATCH,0.011964920686076169,0.02015828463773907,41,MEAN-OF-3-DIFF-WRONG,P1_FULL_C_RESIDUAL,True,58
klados,DIFF-MATCH,0.0018715694593907269,0.0014666262909616423,10,DET-MATCH,P2_FULL_C_FILM,True,16
klados,DIFF-MATCH,-0.10226885943568463,-0.055470123304804164,2,DIFF-POP,P2_FULL_C_FILM,True,16
klados,DIFF-MATCH,0.03294336088644331,0.05652914686427987,13,MEAN-OF-3-DIFF-WRONG,P2_FULL_C_FILM,True,16
sgeyesub,DIFF-MATCH,0.009586847783051118,0.004741495711661797,39,DET-MATCH,P2_FULL_C_FILM,True,58
sgeyesub,DIFF-MATCH,-0.04776354830911704,-0.03094523249223094,10,DIFF-POP,P2_FULL_C_FILM,True,58
sgeyesub,DIFF-MATCH,0.01237362979144384,0.020810592819908158,40,MEAN-OF-3-DIFF-WRONG,P2_FULL_C_FILM,True,58
klados,DIFF-MATCH,0.015624840668921981,0.0049782194792575285,14,DET-MATCH,P3_ACTIVITY_GATE,True,16
klados,DIFF-MATCH,-0.08850864420317966,-0.041424649936326136,2,DIFF-POP,P3_ACTIVITY_GATE,True,16
klados,DIFF-MATCH,0.046713162150129314,0.06070644689588575,13,MEAN-OF-3-DIFF-WRONG,P3_ACTIVITY_GATE,True,16
sgeyesub,DIFF-MATCH,0.01840392132428242,0.011907667233503894,44,DET-MATCH,P3_ACTIVITY_GATE,True,58
sgeyesub,DIFF-MATCH,-0.038946836475978255,-0.02064052330876942,14,DIFF-POP,P3_ACTIVITY_GATE,True,58
sgeyesub,DIFF-MATCH,0.02119070425232792,0.03182602975919485,42,MEAN-OF-3-DIFF-WRONG,P3_ACTIVITY_GATE,True,58
klados,DIFF-MATCH,0.007086149438865021,0.0020480177649501996,10,DET-MATCH,P4_SUPPORT_ADAPTER,True,16
klados,DIFF-MATCH,-0.09704733543323663,-0.04468865833439373,2,DIFF-POP,P4_SUPPORT_ADAPTER,True,16
klados,DIFF-MATCH,0.03562020298212999,0.06560885973170483,13,MEAN-OF-3-DIFF-WRONG,P4_SUPPORT_ADAPTER,True,16
sgeyesub,DIFF-MATCH,0.015169852631079409,0.009419111967141347,49,DET-MATCH,P4_SUPPORT_ADAPTER,True,58
sgeyesub,DIFF-MATCH,-0.0421821761697583,-0.02427805366599499,12,DIFF-POP,P4_SUPPORT_ADAPTER,True,58
sgeyesub,DIFF-MATCH,0.012291758616982996,0.018996917594704843,41,MEAN-OF-3-DIFF-WRONG,P4_SUPPORT_ADAPTER,True,58
klados,DIFF-MATCH,-0.06465784993638068,-0.016289806746045382,3,DET-MATCH,P5_POSTERIOR_GUIDANCE,True,16
klados,DIFF-MATCH,-0.16879827883145604,-0.03420237120929395,0,DIFF-POP,P5_POSTERIOR_GUIDANCE,True,16
klados,DIFF-MATCH,-0.0640111624453055,0.03671343163889948,11,MEAN-OF-3-DIFF-WRONG,P5_POSTERIOR_GUIDANCE,True,16
sgeyesub,DIFF-MATCH,-0.002108048806560417,-0.00280706981442444,26,DET-MATCH,P5_POSTERIOR_GUIDANCE,True,58
sgeyesub,DIFF-MATCH,-0.059459796293735906,-0.04765626481449492,6,DIFF-POP,P5_POSTERIOR_GUIDANCE,True,58
sgeyesub,DIFF-MATCH,0.005176963615846806,0.015842821082520345,37,MEAN-OF-3-DIFF-WRONG,P5_POSTERIOR_GUIDANCE,True,58
klados,DIFF-MATCH,-0.06996848220142919,-0.017321333058142346,3,DET-MATCH,P6_ANCHORED_SDEDIT,True,16
klados,DIFF-MATCH,-0.17410196707353087,-0.03463499119541538,0,DIFF-POP,P6_ANCHORED_SDEDIT,True,16
klados,DIFF-MATCH,-0.06648983243965557,0.03678407981807616,11,MEAN-OF-3-DIFF-WRONG,P6_ANCHORED_SDEDIT,True,16
sgeyesub,DIFF-MATCH,-0.004720714992804523,-0.005947685251744855,25,DET-MATCH,P6_ANCHORED_SDEDIT,True,58
sgeyesub,DIFF-MATCH,-0.062072519094125436,-0.04984241153944376,6,DIFF-POP,P6_ANCHORED_SDEDIT,True,58
sgeyesub,DIFF-MATCH,0.004599852538660862,0.016378889664267524,37,MEAN-OF-3-DIFF-WRONG,P6_ANCHORED_SDEDIT,True,58
