blocked_or_failed_units,coverage_units,dataset,mean_artifact_reconstruction_relative_error,mean_clean_waveform_RRMSE,mean_clean_waveform_correlation,mean_condition_erp_observation_relative_preservation,mean_delta_SNR_db,mean_eog_coherence_reduction,mean_nonartifact_observation_preservation,mean_observation_change_ratio,mean_output_input_RMS_ratio,mean_reference_free_covariance_distortion,mean_reference_free_psd_distortion,median_artifact_reconstruction_relative_error,median_clean_waveform_RRMSE,median_clean_waveform_correlation,median_condition_erp_observation_relative_preservation,median_delta_SNR_db,median_eog_coherence_reduction,median_nonartifact_observation_preservation,median_observation_change_ratio,median_output_input_RMS_ratio,median_reference_free_covariance_distortion,median_reference_free_psd_distortion,method,route,scientific_role,success_units
0,16,klados,0.4208071708587535,0.5446776666302772,0.8677866376173639,,8.069497047079212,,,0.7746285435879856,0.6903903793504866,,,0.32593537177740634,0.4192728119257175,0.9150278326631935,,9.73791419134071,,,0.7666556169434806,0.6638497677369288,,,DET-MATCH,P1_FULL_C_RESIDUAL,one_seed_full_real_route_screen,16
0,16,klados,0.4197429061190142,0.5406378032423946,0.8685389901846663,,8.092682858423842,,,0.7759916809251246,0.6886186094601655,,,0.319629466099666,0.4209520265208353,0.9145607844200263,,9.908301525804863,,,0.7648804015769981,0.6613550875744303,,,DIFF-MATCH,P1_FULL_C_RESIDUAL,one_seed_full_real_route_screen,16
0,16,klados,0.4165392535516327,0.5337295390117054,0.8703357830582719,,8.13351420985496,,,0.7763738769418451,0.6853994503317788,,,0.31955084393280064,0.4205222743939527,0.9147551639126497,,9.910642103545765,,,0.7648158795241649,0.6619254033148841,,,DIFF-MATCH-K1,P1_FULL_C_RESIDUAL,one_seed_full_real_route_screen,16
0,16,klados,0.3422248510994108,0.4405372377352018,0.9053012901864175,,9.591315183492364,,,0.7712404388492338,0.6577947152385997,,,0.3111929792732382,0.3923966899657622,0.927834579538154,,10.139481659354338,,,0.7665510980065908,0.6362104841544889,,,DIFF-POP,P1_FULL_C_RESIDUAL,one_seed_full_real_route_screen,16
0,16,klados,0.4779285941617435,0.6202943164885233,0.8399599222096497,,6.5329408262794555,,,0.8232682972561378,0.7072458899453107,,,0.4886386799445833,0.5251037980907892,0.8773919660778705,,6.22025615136506,,,0.8490273809781363,0.7006811924613916,,,DIFF-WRONG-0,P1_FULL_C_RESIDUAL,one_seed_full_real_route_screen,16
0,16,klados,0.4957858043280009,0.6382482396523621,0.833915909982209,,6.209874964995434,,,0.7704887963546737,0.7143342379618379,,,0.49212970818058344,0.5725341423462356,0.8601601425862212,,6.163506903807573,,,0.761476934824465,0.7108891011657257,,,DIFF-WRONG-1,P1_FULL_C_RESIDUAL,one_seed_full_real_route_screen,16
0,16,klados,0.35843019609900983,0.4633661752710747,0.8972081752010197,,9.13509909770116,,,0.7917885933902533,0.6627527302556363,,,0.32575977654280197,0.41700352753361725,0.9192100917806438,,9.7429667449073,,,0.8010212169745037,0.6429850977426613,,,DIFF-WRONG-2,P1_FULL_C_RESIDUAL,one_seed_full_real_route_screen,16
0,16,klados,0.3422248510994108,0.4405372377352018,0.9053012901864175,,9.591315183492364,,,0.7712404388492338,0.6577947152385997,,,0.3111929792732382,0.3923966899657622,0.927834579538154,,10.139481659354338,,,0.7665510980065908,0.6362104841544889,,,POP,P1_FULL_C_RESIDUAL,one_seed_full_real_route_screen,16
0,16,klados,1.0000000002513123,1.29480746477021,0.6301623066247017,,-2.1828712433107425e-09,,,2.5468778188987017e-08,1.0000000001519855,,,1.000000000138356,1.2727797761737953,0.602578498463876,,-1.2017458533389735e-09,,,2.5487843111126027e-08,1.0000000001248515,,,RAW,P1_FULL_C_RESIDUAL,one_seed_full_real_route_screen,16
0,58,sgeyesub,,,,0.1717209140459666,,0.2647309188718909,0.7659207693607658,0.6645753823924968,,0.10241225433038173,0.5710585802390078,,,,0.19274613145653502,,0.2770960157341532,0.814640566725092,0.6406181926366983,,0.08525322504341867,0.2832190454697755,DET-MATCH,P1_FULL_C_RESIDUAL,one_seed_full_real_route_screen,58
0,58,sgeyesub,,,,0.17245147073264347,,0.2791633369261267,0.7650329679139268,0.6639851883797272,,0.10052895352245775,0.568837811090878,,,,0.19787002569800538,,0.2833413566660927,0.8124529320724659,0.6364914766196896,,0.07868370499837737,0.2921044951295,DIFF-MATCH,P1_FULL_C_RESIDUAL,one_seed_full_real_route_screen,58
0,58,sgeyesub,,,,0.17174268070834045,,0.28001995946970176,0.7595480597098979,0.6650979044723753,,0.10029982704809098,0.5838306028909644,,,,0.19768428511337577,,0.2835612198000848,0.8066593854379639,0.6372204238251642,,0.07831093992711946,0.29954321660789096,DIFF-MATCH-K1,P1_FULL_C_RESIDUAL,one_seed_full_real_route_screen,58
0,58,sgeyesub,,,,0.19391650919096803,,0.3220826416377424,0.7727478218041166,0.6469603463209773,,0.09344477180803806,0.5752474108573983,,,,0.20742138083917333,,0.3234296638591788,0.8269445913975115,0.6379478643659591,,0.06570189612758082,0.2795943749257252,DIFF-POP,P1_FULL_C_RESIDUAL,one_seed_full_real_route_screen,58
0,58,sgeyesub,,,,0.16948292268335388,,0.26706392677987945,0.7680464483636152,0.6636433335299605,,0.10134203719932418,0.5988236405263208,,,,0.18709998936370242,,0.2769817617468517,0.8165642424873245,0.6455670117378747,,0.08304987649779444,0.3079698117085977,DIFF-WRONG-0,P1_FULL_C_RESIDUAL,one_seed_full_real_route_screen,58
0,58,sgeyesub,,,,0.17925122384951073,,0.26255966004299613,0.7666886132514823,0.6548277215439183,,0.0975606879362971,0.6026977640922774,,,,0.19071414331766107,,0.2607404336571315,0.822815985252268,0.6411065003360733,,0.0704379609632208,0.33145347322778734,DIFF-WRONG-1,P1_FULL_C_RESIDUAL,one_seed_full_real_route_screen,58
0,58,sgeyesub,,,,0.173982550551712,,0.2719716618972762,0.7667141306466619,0.6619160238327776,,0.10527223754950538,0.6043478714935827,,,,0.19358262407399335,,0.27746014654653206,0.8176230321239379,0.6412753731861132,,0.08571607653678162,0.31340040804558167,DIFF-WRONG-2,P1_FULL_C_RESIDUAL,one_seed_full_real_route_screen,58
0,58,sgeyesub,,,,0.19391650919096803,,0.3220826416377424,0.7727478218041166,0.6469603463209773,,0.09344477180803806,0.5752474108573983,,,,0.20742138083917333,,0.3234296638591788,0.8269445913975115,0.6379478643659591,,0.06570189612758082,0.2795943749257252,POP,P1_FULL_C_RESIDUAL,one_seed_full_real_route_screen,58
0,58,sgeyesub,,,,1.0,,0.0,1.0,0.0,,0.0,0.0,,,,1.0,,0.0,1.0,0.0,,0.0,0.0,RAW,P1_FULL_C_RESIDUAL,one_seed_full_real_route_screen,58
