dataset,left,metric,right,route,screening_only,unit_id,utility_effect_positive_is_better
klados,DIFF-MATCH,clean_waveform_RRMSE,DIFF-POP,P1_FULL_C_RESIDUAL,True,sim37,-0.08810657467815425
klados,DIFF-MATCH,clean_waveform_RRMSE,DET-MATCH,P1_FULL_C_RESIDUAL,True,sim37,0.006899596903020666
klados,DIFF-MATCH,clean_waveform_RRMSE,MEAN-OF-3-DIFF-WRONG,P1_FULL_C_RESIDUAL,True,sim37,0.023632475997598268
klados,DIFF-MATCH,clean_waveform_RRMSE,DIFF-POP,P1_FULL_C_RESIDUAL,True,sim38,-0.0015025082248336652
klados,DIFF-MATCH,clean_waveform_RRMSE,DET-MATCH,P1_FULL_C_RESIDUAL,True,sim38,0.0042426053877766545
klados,DIFF-MATCH,clean_waveform_RRMSE,MEAN-OF-3-DIFF-WRONG,P1_FULL_C_RESIDUAL,True,sim38,0.16004474355167625
klados,DIFF-MATCH,clean_waveform_RRMSE,DIFF-POP,P1_FULL_C_RESIDUAL,True,sim39,-0.10767530477370096
klados,DIFF-MATCH,clean_waveform_RRMSE,DET-MATCH,P1_FULL_C_RESIDUAL,True,sim39,0.017270747748320603
klados,DIFF-MATCH,clean_waveform_RRMSE,MEAN-OF-3-DIFF-WRONG,P1_FULL_C_RESIDUAL,True,sim39,0.06029432452148148
klados,DIFF-MATCH,clean_waveform_RRMSE,DIFF-POP,P1_FULL_C_RESIDUAL,True,sim40,0.009300572814119945
klados,DIFF-MATCH,clean_waveform_RRMSE,DET-MATCH,P1_FULL_C_RESIDUAL,True,sim40,0.0007697004340794233
klados,DIFF-MATCH,clean_waveform_RRMSE,MEAN-OF-3-DIFF-WRONG,P1_FULL_C_RESIDUAL,True,sim40,0.18407753733788845
klados,DIFF-MATCH,clean_waveform_RRMSE,DIFF-POP,P1_FULL_C_RESIDUAL,True,sim41,-0.2795901472426397
klados,DIFF-MATCH,clean_waveform_RRMSE,DET-MATCH,P1_FULL_C_RESIDUAL,True,sim41,-0.04682591379084833
klados,DIFF-MATCH,clean_waveform_RRMSE,MEAN-OF-3-DIFF-WRONG,P1_FULL_C_RESIDUAL,True,sim41,-0.1604730321166089
klados,DIFF-MATCH,clean_waveform_RRMSE,DIFF-POP,P1_FULL_C_RESIDUAL,True,sim42,-0.051129779043864676
klados,DIFF-MATCH,clean_waveform_RRMSE,DET-MATCH,P1_FULL_C_RESIDUAL,True,sim42,-0.006154461476130413
klados,DIFF-MATCH,clean_waveform_RRMSE,MEAN-OF-3-DIFF-WRONG,P1_FULL_C_RESIDUAL,True,sim42,-0.0339190336006035
klados,DIFF-MATCH,clean_waveform_RRMSE,DIFF-POP,P1_FULL_C_RESIDUAL,True,sim43,-0.011839250450965788
klados,DIFF-MATCH,clean_waveform_RRMSE,DET-MATCH,P1_FULL_C_RESIDUAL,True,sim43,0.004311332669882262
klados,DIFF-MATCH,clean_waveform_RRMSE,MEAN-OF-3-DIFF-WRONG,P1_FULL_C_RESIDUAL,True,sim43,0.06842003711002148
klados,DIFF-MATCH,clean_waveform_RRMSE,DIFF-POP,P1_FULL_C_RESIDUAL,True,sim46,-0.0007495027018419309
klados,DIFF-MATCH,clean_waveform_RRMSE,DET-MATCH,P1_FULL_C_RESIDUAL,True,sim46,-0.0004537389779927792
klados,DIFF-MATCH,clean_waveform_RRMSE,MEAN-OF-3-DIFF-WRONG,P1_FULL_C_RESIDUAL,True,sim46,0.01765159211289563
klados,DIFF-MATCH,clean_waveform_RRMSE,DIFF-POP,P1_FULL_C_RESIDUAL,True,sim47,-0.14498941646194208
klados,DIFF-MATCH,clean_waveform_RRMSE,DET-MATCH,P1_FULL_C_RESIDUAL,True,sim47,-6.19612395329483e-05
klados,DIFF-MATCH,clean_waveform_RRMSE,MEAN-OF-3-DIFF-WRONG,P1_FULL_C_RESIDUAL,True,sim47,0.043313499042333614
klados,DIFF-MATCH,clean_waveform_RRMSE,DIFF-POP,P1_FULL_C_RESIDUAL,True,sim48,-0.1383359239581503
klados,DIFF-MATCH,clean_waveform_RRMSE,DET-MATCH,P1_FULL_C_RESIDUAL,True,sim48,-0.01454694431910053
klados,DIFF-MATCH,clean_waveform_RRMSE,MEAN-OF-3-DIFF-WRONG,P1_FULL_C_RESIDUAL,True,sim48,0.09342095808304085
klados,DIFF-MATCH,clean_waveform_RRMSE,DIFF-POP,P1_FULL_C_RESIDUAL,True,sim49,-0.07433932821028588
klados,DIFF-MATCH,clean_waveform_RRMSE,DET-MATCH,P1_FULL_C_RESIDUAL,True,sim49,0.010161171871373664
klados,DIFF-MATCH,clean_waveform_RRMSE,MEAN-OF-3-DIFF-WRONG,P1_FULL_C_RESIDUAL,True,sim49,0.07332329123920256
klados,DIFF-MATCH,clean_waveform_RRMSE,DIFF-POP,P1_FULL_C_RESIDUAL,True,sim50,-0.008549193174586023
klados,DIFF-MATCH,clean_waveform_RRMSE,DET-MATCH,P1_FULL_C_RESIDUAL,True,sim50,-0.001970745232530935
klados,DIFF-MATCH,clean_waveform_RRMSE,MEAN-OF-3-DIFF-WRONG,P1_FULL_C_RESIDUAL,True,sim50,0.0761264845408458
klados,DIFF-MATCH,clean_waveform_RRMSE,DIFF-POP,P1_FULL_C_RESIDUAL,True,sim51,0.000251909515108506
klados,DIFF-MATCH,clean_waveform_RRMSE,DET-MATCH,P1_FULL_C_RESIDUAL,True,sim51,0.000424838118504689
klados,DIFF-MATCH,clean_waveform_RRMSE,MEAN-OF-3-DIFF-WRONG,P1_FULL_C_RESIDUAL,True,sim51,0.1812978327672385
klados,DIFF-MATCH,clean_waveform_RRMSE,DIFF-POP,P1_FULL_C_RESIDUAL,True,sim52,-0.005895501877870357
klados,DIFF-MATCH,clean_waveform_RRMSE,DET-MATCH,P1_FULL_C_RESIDUAL,True,sim52,-0.002904690212242822
klados,DIFF-MATCH,clean_waveform_RRMSE,MEAN-OF-3-DIFF-WRONG,P1_FULL_C_RESIDUAL,True,sim52,0.029657994518803965
klados,DIFF-MATCH,clean_waveform_RRMSE,DIFF-POP,P1_FULL_C_RESIDUAL,True,sim53,-0.6579414627617953
klados,DIFF-MATCH,clean_waveform_RRMSE,DET-MATCH,P1_FULL_C_RESIDUAL,True,sim53,0.09007221157956691
klados,DIFF-MATCH,clean_waveform_RRMSE,MEAN-OF-3-DIFF-WRONG,P1_FULL_C_RESIDUAL,True,sim53,-0.5105469023618238
klados,DIFF-MATCH,clean_waveform_RRMSE,DIFF-POP,P1_FULL_C_RESIDUAL,True,sim54,-0.04051763688368187
klados,DIFF-MATCH,clean_waveform_RRMSE,DET-MATCH,P1_FULL_C_RESIDUAL,True,sim54,0.003404064741975077
klados,DIFF-MATCH,clean_waveform_RRMSE,MEAN-OF-3-DIFF-WRONG,P1_FULL_C_RESIDUAL,True,sim54,0.22698657957481688
sgeyesub,DIFF-MATCH,eog_coherence_reduction,DIFF-POP,P1_FULL_C_RESIDUAL,True,study01/study01_p01,-0.16725051852717623
sgeyesub,DIFF-MATCH,eog_coherence_reduction,DET-MATCH,P1_FULL_C_RESIDUAL,True,study01/study01_p01,0.02063838670205126
sgeyesub,DIFF-MATCH,eog_coherence_reduction,MEAN-OF-3-DIFF-WRONG,P1_FULL_C_RESIDUAL,True,study01/study01_p01,-0.03654435544273778
sgeyesub,DIFF-MATCH,eog_coherence_reduction,DIFF-POP,P1_FULL_C_RESIDUAL,True,study01/study01_p02,0.008728019091707784
sgeyesub,DIFF-MATCH,eog_coherence_reduction,DET-MATCH,P1_FULL_C_RESIDUAL,True,study01/study01_p02,-0.011611944015963604
sgeyesub,DIFF-MATCH,eog_coherence_reduction,MEAN-OF-3-DIFF-WRONG,P1_FULL_C_RESIDUAL,True,study01/study01_p02,0.029372220113046812
