fold_id,method_id,status,successful_optimizer_updates,optimizer_step_attempts,skipped_optimizer_steps,parameter_count,training_walltime_seconds,peak_memory_mb,checkpoint,resumed,minibatch_sequence_updates,minibatch_sequence_verified
study02_fold01,task_matched_multichannel_deterministic_UNet,success_fixed_6000_update_endpoint,6000,6000,0,5790272,514.0841631432995,260.31494140625,/home/infres/yinwang/denoiseNet/results/cgdr/sgeyesub_diffusion_incremental/checkpoints/evaluation/study02_fold01/task_matched_multichannel_deterministic_UNet/final.pt,False,6000,True
study02_fold01,operator_conditioned_conditional_diffusion_DDIM100,success_fixed_6000_update_endpoint,6000,6000,0,5810752,523.7979031670839,403.99365234375,/home/infres/yinwang/denoiseNet/results/cgdr/sgeyesub_diffusion_incremental/checkpoints/evaluation/study02_fold01/operator_conditioned_conditional_diffusion_DDIM100/final.pt,False,6000,True
study02_fold02,task_matched_multichannel_deterministic_UNet,success_fixed_6000_update_endpoint,6000,6000,0,5790272,557.3025903950038,260.31494140625,/home/infres/yinwang/denoiseNet/results/cgdr/sgeyesub_diffusion_incremental/checkpoints/evaluation/study02_fold02/task_matched_multichannel_deterministic_UNet/final.pt,False,6000,True
study02_fold02,operator_conditioned_conditional_diffusion_DDIM100,success_fixed_6000_update_endpoint,6000,6000,0,5810752,564.7746918550038,403.99365234375,/home/infres/yinwang/denoiseNet/results/cgdr/sgeyesub_diffusion_incremental/checkpoints/evaluation/study02_fold02/operator_conditioned_conditional_diffusion_DDIM100/final.pt,False,6000,True
study02_fold03,task_matched_multichannel_deterministic_UNet,success_fixed_6000_update_endpoint,6000,6000,0,5790272,520.5974875470001,260.31494140625,/home/infres/yinwang/denoiseNet/results/cgdr/sgeyesub_diffusion_incremental/checkpoints/evaluation/study02_fold03/task_matched_multichannel_deterministic_UNet/final.pt,False,6000,True
study02_fold03,operator_conditioned_conditional_diffusion_DDIM100,success_fixed_6000_update_endpoint,6000,6000,0,5810752,534.6169096020003,403.99365234375,/home/infres/yinwang/denoiseNet/results/cgdr/sgeyesub_diffusion_incremental/checkpoints/evaluation/study02_fold03/operator_conditioned_conditional_diffusion_DDIM100/final.pt,False,6000,True
study02_fold04,task_matched_multichannel_deterministic_UNet,success_fixed_6000_update_endpoint,6000,6000,0,5790272,555.2860909299998,260.31494140625,/home/infres/yinwang/denoiseNet/results/cgdr/sgeyesub_diffusion_incremental/checkpoints/evaluation/study02_fold04/task_matched_multichannel_deterministic_UNet/final.pt,False,6000,True
study02_fold04,operator_conditioned_conditional_diffusion_DDIM100,success_fixed_6000_update_endpoint,6000,6000,0,5810752,585.1170192290001,403.99365234375,/home/infres/yinwang/denoiseNet/results/cgdr/sgeyesub_diffusion_incremental/checkpoints/evaluation/study02_fold04/operator_conditioned_conditional_diffusion_DDIM100/final.pt,False,6000,True
study02_fold05,task_matched_multichannel_deterministic_UNet,success_fixed_6000_update_endpoint,6000,6000,0,5790272,512.3362950139854,260.31494140625,/home/infres/yinwang/denoiseNet/results/cgdr/sgeyesub_diffusion_incremental/checkpoints/evaluation/study02_fold05/task_matched_multichannel_deterministic_UNet/final.pt,False,6000,True
study02_fold05,operator_conditioned_conditional_diffusion_DDIM100,success_fixed_6000_update_endpoint,6000,6000,0,5810752,534.0974483480095,403.99365234375,/home/infres/yinwang/denoiseNet/results/cgdr/sgeyesub_diffusion_incremental/checkpoints/evaluation/study02_fold05/operator_conditioned_conditional_diffusion_DDIM100/final.pt,False,6000,True
study04_fold01,task_matched_multichannel_deterministic_UNet,success_fixed_6000_update_endpoint,6000,6000,0,5667773,571.3871062450053,171.80224609375,/home/infres/yinwang/denoiseNet/results/cgdr/sgeyesub_diffusion_incremental/checkpoints/evaluation/study04_fold01/task_matched_multichannel_deterministic_UNet/final.pt,False,6000,True
study04_fold01,operator_conditioned_conditional_diffusion_DDIM100,success_fixed_6000_update_endpoint,6000,6000,0,5687293,559.6852089409949,283.1708984375,/home/infres/yinwang/denoiseNet/results/cgdr/sgeyesub_diffusion_incremental/checkpoints/evaluation/study04_fold01/operator_conditioned_conditional_diffusion_DDIM100/final.pt,False,6000,True
study04_fold02,task_matched_multichannel_deterministic_UNet,success_fixed_6000_update_endpoint,6000,6000,0,5667773,387.07340726300026,171.80224609375,/home/infres/yinwang/denoiseNet/results/cgdr/sgeyesub_diffusion_incremental/checkpoints/evaluation/study04_fold02/task_matched_multichannel_deterministic_UNet/final.pt,False,6000,True
study04_fold02,operator_conditioned_conditional_diffusion_DDIM100,success_fixed_6000_update_endpoint,6000,6000,0,5687293,387.9353437329992,283.1708984375,/home/infres/yinwang/denoiseNet/results/cgdr/sgeyesub_diffusion_incremental/checkpoints/evaluation/study04_fold02/operator_conditioned_conditional_diffusion_DDIM100/final.pt,False,6000,True
study04_fold03,task_matched_multichannel_deterministic_UNet,success_fixed_6000_update_endpoint,6000,6000,0,5667773,398.7168211489916,171.80224609375,/home/infres/yinwang/denoiseNet/results/cgdr/sgeyesub_diffusion_incremental/checkpoints/evaluation/study04_fold03/task_matched_multichannel_deterministic_UNet/final.pt,False,6000,True
study04_fold03,operator_conditioned_conditional_diffusion_DDIM100,success_fixed_6000_update_endpoint,6000,6000,0,5687293,403.68228865700075,283.1708984375,/home/infres/yinwang/denoiseNet/results/cgdr/sgeyesub_diffusion_incremental/checkpoints/evaluation/study04_fold03/operator_conditioned_conditional_diffusion_DDIM100/final.pt,False,6000,True
study04_fold04,task_matched_multichannel_deterministic_UNet,success_fixed_6000_update_endpoint,6000,6000,0,5667773,388.0187408409838,171.80224609375,/home/infres/yinwang/denoiseNet/results/cgdr/sgeyesub_diffusion_incremental/checkpoints/evaluation/study04_fold04/task_matched_multichannel_deterministic_UNet/final.pt,False,6000,True
study04_fold04,operator_conditioned_conditional_diffusion_DDIM100,success_fixed_6000_update_endpoint,6000,6000,0,5687293,391.1217988279823,283.1708984375,/home/infres/yinwang/denoiseNet/results/cgdr/sgeyesub_diffusion_incremental/checkpoints/evaluation/study04_fold04/operator_conditioned_conditional_diffusion_DDIM100/final.pt,False,6000,True
study04_fold05,task_matched_multichannel_deterministic_UNet,success_fixed_6000_update_endpoint,6000,6000,0,5667773,409.3642243600043,171.80224609375,/home/infres/yinwang/denoiseNet/results/cgdr/sgeyesub_diffusion_incremental/checkpoints/evaluation/study04_fold05/task_matched_multichannel_deterministic_UNet/final.pt,False,6000,True
study04_fold05,operator_conditioned_conditional_diffusion_DDIM100,success_fixed_6000_update_endpoint,6000,6000,0,5687293,392.13706542001455,283.1708984375,/home/infres/yinwang/denoiseNet/results/cgdr/sgeyesub_diffusion_incremental/checkpoints/evaluation/study04_fold05/operator_conditioned_conditional_diffusion_DDIM100/final.pt,False,6000,True
study05_fold01,task_matched_multichannel_deterministic_UNet,success_fixed_6000_update_endpoint,6000,6000,0,5551034,507.6303739757277,285.6787109375,/home/infres/yinwang/denoiseNet/results/cgdr/sgeyesub_diffusion_incremental/checkpoints/evaluation/study05_fold01/task_matched_multichannel_deterministic_UNet/final.pt,False,6000,True
study05_fold01,operator_conditioned_conditional_diffusion_DDIM100,success_fixed_6000_update_endpoint,6000,6000,0,5569594,513.5460141580552,428.05517578125,/home/infres/yinwang/denoiseNet/results/cgdr/sgeyesub_diffusion_incremental/checkpoints/evaluation/study05_fold01/operator_conditioned_conditional_diffusion_DDIM100/final.pt,False,6000,True
study05_fold02,task_matched_multichannel_deterministic_UNet,success_fixed_6000_update_endpoint,6000,6000,0,5551034,524.8314771199948,285.6787109375,/home/infres/yinwang/denoiseNet/results/cgdr/sgeyesub_diffusion_incremental/checkpoints/evaluation/study05_fold02/task_matched_multichannel_deterministic_UNet/final.pt,False,6000,True
study05_fold02,operator_conditioned_conditional_diffusion_DDIM100,success_fixed_6000_update_endpoint,6000,6000,0,5569594,534.0073177930026,428.05517578125,/home/infres/yinwang/denoiseNet/results/cgdr/sgeyesub_diffusion_incremental/checkpoints/evaluation/study05_fold02/operator_conditioned_conditional_diffusion_DDIM100/final.pt,False,6000,True
