seed,subject,protocol,context,uncertainty_mean,latent_uncertainty_mean,preservation,covariance,eog_attenuation,mi_kappa,low_eog_fraction
20260808,1,same_01,MATCH,0.03687715530395508,0.005912053398787975,0.8469519019126892,0.09482272378439743,0.043362287483857176,0.30000000000000004,0.3
20260808,1,same_01,POP,0.03686594218015671,0.005910261534154415,0.8435623496770859,0.09756507197364993,0.04464117592166683,0.23333333333333328,0.3
20260808,1,same_01,WRONG,0.03705088421702385,0.005939834285527468,0.8045057505369186,0.11230088185823053,0.02641895781958334,0.3666666666666667,0.3
20260808,1,same_02,MATCH,0.0538669191300869,0.005813149735331535,0.7927838265895844,0.10770119354880663,0.09502187382384836,0.1333333333333333,0.3
20260808,1,same_02,POP,0.05374603345990181,0.005800267215818167,0.7818311750888824,0.10873225925578167,0.1019942800498905,0.1333333333333333,0.3
20260808,1,same_02,WRONG,0.0538896881043911,0.005815686658024788,0.7174936532974243,0.12229754447882349,0.08504546004416491,0.23333333333333328,0.3
20260808,1,same_03,MATCH,0.05318580940365791,0.005739902146160603,0.7915089428424835,0.104084507944139,0.05566292359402117,0.625,0.3
20260808,1,same_03,POP,0.05303516238927841,0.00572382565587759,0.6822778284549713,0.12182232084245499,0.05253358641786893,0.55,0.3
20260808,1,same_03,WRONG,0.05339246988296509,0.005762125365436077,0.6815676093101501,0.12445500584864662,0.03588192840936194,0.525,0.3
20260808,2,same_01,MATCH,0.05556466430425644,0.005901057738810778,0.7853270918130875,0.17432268441015977,0.1404707827648222,0.2666666666666667,0.3
20260808,2,same_01,POP,0.05553445965051651,0.005897808354347944,0.8231774866580963,0.15548608038397063,0.12053735483350467,0.2666666666666667,0.3
20260808,2,same_01,WRONG,0.055987779051065445,0.005945108365267515,0.7938372045755386,0.1607352277982429,0.12499359043700276,0.09999999999999998,0.3
20260808,2,same_02,MATCH,0.051182668656110764,0.005763022694736719,0.78038689494133,0.16362559510549957,0.06799507864154833,0.09999999999999998,0.3
20260808,2,same_02,POP,0.051059965044260025,0.005749305244535208,0.8249111324548721,0.1430614135821757,0.07375938429291569,0.1333333333333333,0.3
20260808,2,same_02,WRONG,0.05116010457277298,0.005760474596172571,0.7947713434696198,0.15199846587069435,0.06881890191968221,0.06666666666666665,0.3
20260808,2,same_03,MATCH,0.054566580802202225,0.005795280449092388,0.8051401078701019,0.12661172767437368,0.1143705796965277,0.09999999999999998,0.3
20260808,2,same_03,POP,0.054368097335100174,0.005774148739874363,0.7736532092094421,0.11533118217548617,0.11549311103320356,0.15000000000000002,0.3
20260808,2,same_03,WRONG,0.05451995134353638,0.005790274124592543,0.8184856921434402,0.1214864220183474,0.10482854827721694,0.15000000000000002,0.3
20260808,3,same_01,MATCH,0.06690520793199539,0.0078042554669082165,0.8208818733692169,0.12850758885359062,0.13023189774679916,0.0,0.3
20260808,3,same_01,POP,0.06639835983514786,0.007745427079498768,0.8428504467010498,0.11174290458807566,0.11833664149590833,-0.10000000000000009,0.3
