seed,subject,protocol,threshold,achieved_match_coverage,preservation,covariance,eog_attenuation,mi_kappa
20260808,1,same_01,q50,0.8416666666666667,0.8460808843374252,0.09528144189320131,0.04352317446623434,0.23333333333333328
20260808,1,same_01,q80,1.0,0.8469519019126892,0.09482272378439743,0.043362287483857176,0.30000000000000004
20260808,1,same_02,q50,0.95,0.7920825630426407,0.10777284378756315,0.09543086626440023,0.1333333333333333
20260808,1,same_02,q80,1.0,0.7927838265895844,0.10770119354880663,0.09502187382384836,0.1333333333333333
20260808,1,same_03,q50,0.98125,0.7915089428424835,0.104084507944139,0.055398385324860994,0.625
20260808,1,same_03,q80,1.0,0.7915089428424835,0.104084507944139,0.05566292359402117,0.625
20260808,2,same_01,q50,0.9,0.7878919541835785,0.17417225845071801,0.13886421559644888,0.23333333333333328
20260808,2,same_01,q80,0.9833333333333333,0.7853270918130875,0.17432268441015977,0.14028870120687822,0.23333333333333328
20260808,2,same_02,q50,0.9,0.7847152650356293,0.16092263561780842,0.06909730174773829,0.09999999999999998
20260808,2,same_02,q80,1.0,0.78038689494133,0.16362559510549957,0.06799507864154833,0.09999999999999998
20260808,2,same_03,q50,0.90625,0.8041496872901917,0.1267807776214963,0.11417718353998227,0.09999999999999998
20260808,2,same_03,q80,1.0,0.8051401078701019,0.12661172767437368,0.1143705796965277,0.09999999999999998
20260808,3,same_01,q50,0.7916666666666666,0.8228432089090347,0.12664857548162634,0.12892446533288524,0.033333333333333326
20260808,3,same_01,q80,0.9583333333333334,0.8208818733692169,0.12850758885359062,0.13065390098194324,0.033333333333333326
20260808,3,same_02,q50,0.8916666666666667,0.7942250669002533,0.12286614977699746,0.1555839072839094,0.16666666666666663
20260808,3,same_02,q80,0.9833333333333333,0.7928149104118347,0.12354454415239496,0.157736601453669,0.16666666666666663
20260808,3,same_03,q50,0.88125,0.8259448409080505,0.12353505430683094,0.07793712205101555,-0.17500000000000004
20260808,3,same_03,q80,1.0,0.8267990499734879,0.12344978655874284,0.07679030717873603,-0.1499999999999999
20260808,4,same_01,q50,1.0,0.7850868999958038,0.10971072869843967,0.16299673955016059,0.6
20260808,4,same_01,q80,1.0,0.7850868999958038,0.10971072869843967,0.16299673955016059,0.6
20260808,4,same_02,q50,0.9857142857142858,0.790515661239624,0.09685685856158728,0.13793036994805635,0.7704918032786885
20260808,4,same_02,q80,0.9928571428571429,0.790515661239624,0.09685685856158728,0.13808654944723311,0.7704918032786885
20260808,4,same_03,q50,1.0,0.8270653933286667,0.08360048189234648,0.0576413220726459,0.875
20260808,4,same_03,q80,1.0,0.8270653933286667,0.08360048189234648,0.0576413220726459,0.875
20260808,5,same_01,q50,0.9333333333333333,0.8075675666332245,0.10507970436734032,0.12988710767121692,0.5
20260808,5,same_01,q80,0.9916666666666667,0.8056273758411407,0.10596678184663526,0.13043826589203456,0.4666666666666667
20260808,5,same_02,q50,0.9285714285714286,0.7970941811800003,0.13366503879587371,0.1247985442810883,0.6279640228945217
20260808,5,same_02,q80,1.0,0.7967663258314133,0.13395858949108733,0.1268081646123161,0.6279640228945217
20260808,5,same_03,q50,0.7375,0.8070493936538696,0.12805550175781436,0.06474558211513493,0.65
20260808,5,same_03,q80,0.88125,0.8216574341058731,0.12461009039700714,0.06729213226285538,0.65
20260808,6,same_01,q50,0.8916666666666667,0.805523544549942,0.17864095966936439,0.1281247564511971,0.19999999999999996
20260808,6,same_01,q80,0.9583333333333334,0.8049838840961456,0.1789256526676026,0.12949232417452516,0.19999999999999996
20260808,6,same_02,q50,0.9166666666666666,0.8150234073400497,0.18062735370333305,0.12839638509656112,0.33333333333333337
20260808,6,same_02,q80,0.975,0.8143327534198761,0.18058810857352306,0.12941870458038196,0.33333333333333337
20260808,6,same_03,q50,0.8375,0.8324798196554184,0.17232621118326938,0.09644567463023526,0.5
20260808,6,same_03,q80,0.96875,0.8316330760717392,0.1700332869820769,0.09539595468613699,0.475
20260808,7,same_01,q50,0.95,0.7947746962308884,0.10505310050143302,0.12130378407305722,0.06666666666666665
20260808,7,same_01,q80,1.0,0.7932537496089935,0.105511125668531,0.12269623140860791,0.06666666666666665
