subject,seed,crps,energy_score,risk_coverage_auc,uncertainty_error_spearman,mean_rrmse
1,20260808,0.24646919518616328,0.31294501334644687,0.1182454685181637,0.19570158497908152,0.1254222889741262
1,20260810,0.263394585910631,0.3391891832083738,0.13089846222907242,0.11949279096080752,0.1370472013950348
1,20260811,0.2367315891077015,0.30185846171648945,0.11675247027110285,0.06195368436509716,0.1220088725288709
2,20260808,0.17127565700016137,0.23369499118502723,0.09157460466744782,0.030162588515096584,0.1033201664686203
2,20260810,0.17147370079982813,0.23935092552409554,0.1046801493199828,-0.025953852184869217,0.10650085161129634
2,20260811,0.14669986413279232,0.19868238813395167,0.08168881503638337,-0.015452661057815231,0.09129899740219116
3,20260808,0.19484009840834646,0.26585649453532484,0.06849183563609092,0.10524449898587036,0.07417022188504536
3,20260810,0.2191895073416463,0.3021677582769746,0.0787503754414758,0.032144697354085296,0.08226403842369716
3,20260811,0.24762908103401504,0.33889086017166975,0.0893851121059126,0.006358402722875804,0.09276756644248962
4,20260808,0.16094071133555574,0.2225529361783842,0.08508851273452057,0.05605725017345984,0.09332723418871562
4,20260810,0.1708940314355455,0.2277841828545434,0.09197408071009665,0.060657592088537764,0.09636979425946872
4,20260811,0.14042850515227528,0.1889585948638596,0.07198203592526999,0.17175691647071753,0.07870342830816905
5,20260808,0.2682140321139484,0.37388634446416075,0.10711318286887539,0.29881942159660496,0.1308819850285848
5,20260810,0.2533665089254364,0.36065533708186687,0.10639727960888364,0.21112567126650492,0.12250204384326935
5,20260811,0.2656092714123914,0.36984816920795915,0.1133599532977113,0.11918497967728005,0.125245600938797
6,20260808,0.18593951678139622,0.24458313005447,0.06149625852357458,-0.021031488495823532,0.06417852515975635
6,20260810,0.1333969291883025,0.1766535592894852,0.04333427375571608,0.04844930597346613,0.04595186188817024
6,20260811,0.17844566896509903,0.24663229925122032,0.06075192740281068,0.1016944552609532,0.06508257612586021
7,20260808,0.16031408096361743,0.21101445416363673,0.10393769775768118,-0.003554894765203089,0.10856336603562038
7,20260810,0.1731523187675396,0.23236834268811293,0.11455011532825271,-0.14946815554270687,0.11792429288228352
7,20260811,0.1481540305316508,0.19414869280124736,0.09162509314070975,0.08108710501715564,0.09854252884785335
8,20260808,0.1558943559712934,0.2191466069797147,0.07587961299872348,-0.04858054627957987,0.07928734769423802
8,20260810,0.19268811023029095,0.26418562131500534,0.08067498289503544,0.22943257250666363,0.093811996281147
8,20260811,0.16178787490171712,0.2305689370964306,0.07636446188363158,0.21381314055037018,0.08489849915107091
9,20260808,0.18753461054282886,0.23974410491234263,0.11387882005418642,0.1391805412974304,0.12286757677793503
9,20260810,0.16710546302783333,0.21394237394298055,0.10157225583439135,0.23073212686650332,0.10969232519467671
9,20260811,0.17824903840425585,0.2286839722676378,0.10696079726166807,0.0086533381057081,0.11633339524269104
