seed,subject,R_MM,R_MP,R_PM,R_PP,G_A,G_C,I
20260808,1,0.1314413125316302,0.14819937944412231,0.21823465079069138,0.16675099233786264,0.05267247557640076,-0.017362795770168304,0.06824172536532086
20260808,2,0.12686679512262344,0.1394947444399198,0.1899117479721705,0.17189917961756387,0.04772469401359557,-0.0026923095186551366,0.030640517671902984
20260808,3,0.0793285792072614,0.09494543820619583,0.148268923163414,0.13267500698566437,0.05333495636781057,1.1471410592399367e-05,0.03121077517668408
20260808,4,0.1107824333012104,0.13054549942413965,0.13084221134583154,0.13622577488422394,0.012870026752352715,0.01257331483066082,0.014379502584536852
20260808,5,0.17224918802579245,0.23595755795637766,0.23480357229709625,0.20183750490347543,0.01421716560920079,0.015371151268482194,0.09667443732420597
20260808,6,0.0731946627298991,0.11192495127518971,0.13014032940069833,0.10415901988744736,0.024589867641528443,0.006374489516019821,0.0647115980585416
20260808,7,0.11922702938318253,0.11885263522466023,0.16139723360538483,0.15080888321002325,0.03706322610378266,-0.005481372276941933,0.010213956236839267
20260808,8,0.09192349016666412,0.16868197917938232,0.21952409545580545,0.14285019040107727,0.05088440825541814,4.2291978995009916e-05,0.15343239406744635
20260808,9,0.13162455956141153,0.15809672325849533,0.15559954444567362,0.1535212645928065,0.009699763109286622,0.012196941922108337,0.0285504435499509
20260810,1,0.14326420426368713,0.1397040362159411,0.23239209999640784,0.19148389250040054,0.07045387600859007,-0.022234187771876662,0.03734803944826126
20260810,2,0.1236400157213211,0.14893956234057745,0.18058072527249655,0.1755017191171646,0.0417514331638813,0.010110270231962204,0.030378552774588286
20260810,3,0.09668065110842387,0.10137350112199783,0.15234750509262085,0.1377864877382914,0.04603992030024528,-0.004934083670377738,0.019253867367903382
20260810,4,0.10670166711012523,0.11505549897750218,0.15150679151217142,0.13670980433622995,0.03322971488038698,-0.0032215776542822566,0.02315081904331842
20260810,5,0.1502812703450521,0.21897935370604196,0.226162980000178,0.17419477303822836,0.015548564493656158,0.008364938199520111,0.12066629032293955
20260810,6,0.05458127583066622,0.09944499284029007,0.12116313974062602,0.08132512867450714,0.024230999872088432,0.0025128529717524835,0.08470172807574275
20260810,7,0.1352338840564092,0.1316595325867335,0.17643744746843973,0.1661744018395742,0.03785921633243561,-0.00691869854927063,0.006688694159189823
20260810,8,0.11802968879540761,0.19696065038442612,0.20402384797732034,0.14970862368742624,0.01937106624245643,0.012307868649562202,0.1332461858789126
20260810,9,0.1170344352722168,0.1435287669301033,0.1485716054836909,0.14444023370742798,0.016224318494399384,0.011181479940811798,0.030625703434149387
20260811,1,0.13095398743947348,0.16536359737316766,0.21734290073315302,0.17167127380768457,0.04634829486409822,-0.00563100849588713,0.08008123685916266
20260811,2,0.10821858296791713,0.09875132143497467,0.18924384315808615,0.16443492968877158,0.07335443422198296,-0.017138087501128517,0.01534165193637213
20260811,3,0.10150674978892009,0.09674747039874394,0.16220784684022269,0.13808511197566986,0.05101936931411426,-0.014441007127364486,0.01936345547437668
20260811,4,0.08885213236014049,0.0985618382692337,0.129896841943264,0.11936243126789729,0.030922651290893555,-0.00041235238313674927,0.020244116584459917
20260811,5,0.16038560370604196,0.22612526019414267,0.21332413951555887,0.18128366023302078,0.00404846792419751,0.01684958860278131,0.09778013577063882
20260811,6,0.07402602086464564,0.10933174441258113,0.12763464699188867,0.0914366642634074,0.017856772989034646,-0.0004461295902728965,0.07150370627641674
20260811,7,0.10900658865769704,0.1087161401907603,0.1545493503411611,0.1459759051601092,0.04140126332640648,-0.004431946823994323,0.00828299671411517
20260811,8,0.09473242362340291,0.19227090974648794,0.19288051625092825,0.12825179348389307,0.017064488182465233,0.016454881678024925,0.16216720889012023
20260811,9,0.12967793891827264,0.15545976907014847,0.1596860388914744,0.15381337453921637,0.014180852721134826,0.009954582899808898,0.03165449450413382
