subject,crps,energy_score,risk_coverage_auc,uncertainty_error_spearman,mean_rrmse
1,0.2586453565119213,0.33093229479194136,0.110503973680387,0.1568734652029636,0.12053919831911723
2,0.14318549678296263,0.195415156283988,0.05879578116951653,0.7912643253186281,0.08294827987750371
3,0.19266919372050118,0.2679769697310337,0.05185416205759135,0.6328884798281945,0.07067222024003665
4,0.15393195370816595,0.20834104300316714,0.07430002265966797,0.18588773800120015,0.07956911499301593
5,0.26107894968478845,0.373389859344815,0.09072625774647243,0.5116030707801804,0.11898943533500035
6,0.14844378586039178,0.2056082597856672,0.03967431540005072,0.6939060445273055,0.05053382242719332
7,0.16102304269185122,0.21269225441489006,0.08691301161545695,0.44925549642530777,0.09793109446763992
8,0.14787935518884437,0.2177223611220549,0.05807998497161678,0.6175627324729948,0.07524088521798451
9,0.17720463751688154,0.2286800564035895,0.10353402243603758,0.06218548542524613,0.1049568181236585
