subject,protocol,model,context,samples,mean_rrmse,mean_correlation,crps,energy_score,uncertainty_mean,error_mean,uncertainty_error_pearson,uncertainty_error_spearman,risk_coverage_auc,coverage_50,width_50,coverage_80,width_80,calibration_error_50_80
4,same_02,DET_ENSEMBLE,MATCH,3,0.13835151493549347,0.989120925870542,0.2606663506777304,0.347368537212251,0.16189788281917572,0.13835151493549347,0.8390542268753052,0.075177304964539,0.12967200432212458,0.14798550724637682,0.14576716721057892,0.23043478260869565,0.2332274615764618,0.4607898550724638
4,same_03,DET_ENSEMBLE,MATCH,3,0.03778819367289543,0.999269047544515,0.07708724839075444,0.10082382004950757,0.13316775858402252,0.03778819367289543,0.520948052406311,0.37066602160941786,0.03382353347969827,0.40116981132075474,0.13142237067222595,0.5949811320754717,0.2102757692337036,0.15192452830188682
5,same_01,DET_ENSEMBLE,MATCH,3,0.08070193976163864,0.9899337340749159,0.1728690884405313,0.23228855699972537,0.12980994582176208,0.08070193976163864,0.9944989085197449,0.20487804878048785,0.060836503797892516,0.19825,0.127191424369812,0.31035,0.20350627601146698,0.3957
5,same_02,DET_ENSEMBLE,MATCH,3,0.09058256447315216,0.9938756893262308,0.19309749702196644,0.2673733772683612,0.16955336928367615,0.09058256447315216,0.8457300066947937,0.7873573851372185,0.05769127441798984,0.24628985507246376,0.16015350818634033,0.3647246376811594,0.25624561309814453,0.34449275362318843
5,same_03,DET_ENSEMBLE,MATCH,3,0.18568380177021027,0.9804966010055697,0.41727026359186764,0.6205076437663585,0.21019111573696136,0.18568380177021027,0.2873855233192444,0.5425737784228349,0.15365099502353494,0.15543396226415093,0.19670307636260986,0.24325786163522012,0.31472495198249817,0.4506540880503145
6,same_01,DET_ENSEMBLE,MATCH,3,0.053416717797517776,0.9987160530857879,0.15806200002871554,0.21472123396896475,0.20167836546897888,0.053416717797517776,0.6757045388221741,0.7489681050656661,0.040420830371450896,0.33413333333333334,0.20269182324409485,0.4971333333333333,0.3243069350719452,0.2343666666666667
6,same_02,DET_ENSEMBLE,MATCH,3,0.05229815095663071,0.9984005306073609,0.14578678408439366,0.20632192505746202,0.21491678059101105,0.05229815095663071,0.8732452988624573,0.6221388367729832,0.03966881321454538,0.3628,0.20981422066688538,0.5295833333333333,0.3357027471065521,0.20380833333333337
6,same_03,DET_ENSEMBLE,MATCH,3,0.04588659852743149,0.9991105175968962,0.14148257346806611,0.19578162033057495,0.2045649290084839,0.04588659852743149,0.7875511646270752,0.7106111917432671,0.03893330261415591,0.3538490566037736,0.20156820118427277,0.5248679245283019,0.3225090801715851,0.2106415094339623
7,same_01,DET_ENSEMBLE,MATCH,3,0.16258935630321503,0.984959772970327,0.29219665674759965,0.3823721185309773,0.08892606198787689,0.16258935630321503,0.6299230456352234,0.19455909943714825,0.15339587616893818,0.07643333333333334,0.08349480479955673,0.12041666666666667,0.1335916966199875,0.551575
7,same_02,DET_ENSEMBLE,MATCH,3,0.0631488487124443,0.9982214650511869,0.08761094300632423,0.11477358585004142,0.09714923799037933,0.0631488487124443,0.6185757517814636,0.651594746716698,0.05089539245227836,0.25275,0.09201006591320038,0.38598333333333334,0.14721611142158508,0.33063333333333333
7,same_03,DET_ENSEMBLE,MATCH,3,0.06805507838726044,0.9973481552390859,0.10326152832162976,0.14093105886365143,0.14140689373016357,0.06805507838726044,0.7446611523628235,0.5016126431220771,0.05644776622515431,0.2831069182389937,0.12947025895118713,0.4198490566037736,0.20715241134166718,0.2985220125786164
8,same_01,DET_ENSEMBLE,MATCH,3,0.08192411810159683,0.9964559021008119,0.16671073198715514,0.2491366495856217,0.23417648673057556,0.08192411810159683,0.6161007881164551,0.46524754071923885,0.06860608044372615,0.30930817610062894,0.20809464156627655,0.45369811320754716,0.3329513669013977,0.26849685534591194
8,same_02,DET_ENSEMBLE,MATCH,3,0.08272232860326767,0.9954647887748205,0.14806309649263133,0.23106902776205845,0.21031227707862854,0.08272232860326767,0.8480640053749084,0.6142589118198875,0.06214523947000643,0.32275,0.1862613409757614,0.47465,0.2980181574821472,0.2513
8,same_03,DET_ENSEMBLE,MATCH,3,0.06107620894908905,0.997972148573911,0.12886423708674666,0.1729614060184846,0.21233876049518585,0.06107620894908905,0.6870096921920776,0.773181744879858,0.04348863500111776,0.32155974842767293,0.19709663093090057,0.47835220125786165,0.3153546154499054,0.25004402515723273
9,same_01,DET_ENSEMBLE,MATCH,3,0.13727611303329468,0.9905613697533587,0.2638417253400218,0.33431446473278603,0.11628685891628265,0.13727611303329468,-0.19831982254981995,-0.1461538461538462,0.13650308160892038,0.1148,0.11591940373182297,0.18131666666666665,0.18547102808952332,0.5019416666666667
9,same_02,DET_ENSEMBLE,MATCH,3,0.09111715108156204,0.9959287975524697,0.15797049151818837,0.2052449147514605,0.12625864148139954,0.09111715108156204,-0.0695376992225647,0.18442776735459665,0.08972342139770326,0.20241666666666666,0.1238725408911705,0.3071333333333333,0.19819606840610504,0.39522500000000005
9,same_03,DET_ENSEMBLE,MATCH,3,0.08647719025611877,0.9952658033447046,0.1098016956924344,0.14648078972652184,0.10378438234329224,0.08647719025611877,0.2038857638835907,0.14828253507498793,0.08437556430148908,0.2301509433962264,0.10081658512353897,0.3477232704402516,0.16130656003952026,0.361062893081761
