subject,protocol,model,context,samples,mean_rrmse,mean_correlation,crps,energy_score,uncertainty_mean,error_mean,uncertainty_error_pearson,uncertainty_error_spearman,risk_coverage_auc,coverage_50,width_50,coverage_80,width_80,calibration_error_50_80
1,same_01,DET_ENSEMBLE,MATCH,3,0.15673470497131348,0.9877259928538425,0.36038551351267445,0.4601772103318661,0.08761632442474365,0.15673470497131348,0.011296596378087997,0.09174484052532834,0.14804783450923914,0.07405,0.08939949423074722,0.11693333333333333,0.14303919672966003,0.5545083333333334
1,same_02,DET_ENSEMBLE,MATCH,3,0.09003613144159317,0.9953438750604514,0.18830692191222254,0.2501723980435406,0.14014771580696106,0.09003613144159317,0.4176771342754364,0.2938086303939963,0.07867737466667775,0.19035,0.1384623646736145,0.3003166666666667,0.22153978049755096,0.4046666666666667
1,same_03,DET_ENSEMBLE,MATCH,3,0.11484675854444504,0.9923054803360953,0.2272436341108669,0.2824472760004175,0.15408825874328613,0.11484675854444504,0.005984192248433828,0.0850669246895662,0.10478671186524416,0.17470440251572328,0.14715836942195892,0.2671572327044025,0.23545336723327637,0.42906918238993713
2,same_01,DET_ENSEMBLE,MATCH,3,0.07565195858478546,0.9967808271996333,0.1436625895705361,0.19041288164672243,0.20335951447486877,0.07565195858478546,0.8922700881958008,0.8487804878048782,0.05467562081548628,0.3866833333333333,0.2096228450536728,0.5698666666666666,0.33539655804634094,0.17172500000000004
2,same_02,DET_ENSEMBLE,MATCH,3,0.07134666293859482,0.997165403700063,0.12188982102770782,0.16098906441628427,0.18933644890785217,0.07134666293859482,0.784292459487915,0.7440900562851784,0.05229464684297029,0.3997,0.19550743699073792,0.5874166666666667,0.3128119111061096,0.15644166666666667
2,same_03,DET_ENSEMBLE,MATCH,3,0.10184621810913086,0.9924486088136709,0.16400407975064402,0.23484352278895734,0.21718433499336243,0.10184621810913086,0.8552830815315247,0.780922431865828,0.06941707585009302,0.35966037735849055,0.2096714824438095,0.5346415094339623,0.3354743421077728,0.20284905660377361
3,same_01,DET_ENSEMBLE,MATCH,3,0.07086510211229324,0.9972628553272015,0.20639083505810166,0.27737513406106507,0.20367614924907684,0.07086510211229324,0.538912296295166,0.49305816135084435,0.05619722607463868,0.22051666666666667,0.19060692191123962,0.3412,0.3049710690975189,0.3691416666666667
3,same_02,DET_ENSEMBLE,MATCH,3,0.08433306962251663,0.9962198499982375,0.21075688280185567,0.2950528246025744,0.24070768058300018,0.08433306962251663,0.47089287638664246,0.6632270168855535,0.06046680756915536,0.23976666666666666,0.21755889058113098,0.3612666666666667,0.3480941951274872,0.34948333333333337
3,same_03,DET_ENSEMBLE,MATCH,3,0.056818488985300064,0.9979003859196242,0.1608598633015462,0.23150295052946163,0.20113563537597656,0.056818488985300064,0.6608083844184875,0.7423802612481857,0.038898452528980006,0.25150943396226416,0.16976016759872437,0.379685534591195,0.2716163098812103,0.33440251572327045
4,same_01,DET_ENSEMBLE,MATCH,3,0.06256763637065887,0.9977396032696356,0.12404226205601304,0.17683077174774273,0.13440373539924622,0.06256763637065887,0.3185822069644928,0.11181988742964354,0.05940453017718102,0.34701666666666664,0.13316825032234192,0.5147,0.21306920051574707,0.21914166666666668
