artifact_sample_fraction,clean_waveform_metric,condition_erp_observation_relative_preservation,condition_erp_proxy_status,dataset,eog_coherence_output,eog_coherence_raw,eog_coherence_reduction,exact_cell,fallback_used,gamma,heldout_eog_prediction_remaining_ratio,matching_projector_attenuation_db,method,method_id,nonartifact_observation_preservation,observation_change_ratio,operator_source,outputs_frozen_before_scoring,population_projector_attenuation_db,reference_free_covariance_distortion,reference_free_psd_distortion,rest_sample_fraction,selected_alpha,status,study,training_seed,unit_id,uses_query_external_eog
0.373125,N/A_no_clean_target,-0.17473603149466,success_observation_relative_four_condition_ERP,sgeyesub,0.25931759808450106,0.38018185628556955,0.1208642582010685,study01|layout_01|200,False,,nan,3.5961282949900024,R1_full_C_residual|DIFF-WRONG-1|deployment,R1_full_C_residual|DIFF-WRONG-1|deployment,0.6044288670424973,0.8290929427878053,wide_v2_canonical_carrier,True,2.8010297256525263,0.20593608927856175,0.529335926351671,0.3498,0.5,success,study01,20260811,study01/study01_p02,False
0.373125,N/A_no_clean_target,-0.12148443538435405,success_observation_relative_four_condition_ERP,sgeyesub,0.2490065798542128,0.38018185628556955,0.13117527643135676,study01|layout_01|200,False,,nan,2.128985755663319,R1_full_C_residual|DIFF-WRONG-1|mechanism_g1,R1_full_C_residual|DIFF-WRONG-1|mechanism_g1,0.3229050006695168,0.9026641997270055,wide_v2_canonical_carrier,True,2.0111713122954704,0.5988477377075732,1.1622135671285019,0.3498,0.5,success,study01,20260811,study01/study01_p02,False
0.373125,N/A_no_clean_target,-0.17524202326426286,success_observation_relative_four_condition_ERP,sgeyesub,0.25005802071316546,0.38018185628556955,0.1301238355724041,study01|layout_01|200,False,,nan,3.226971905547373,R1_full_C_residual|DIFF-WRONG-2|deployment,R1_full_C_residual|DIFF-WRONG-2|deployment,0.5651301334940421,0.8420730013606833,wide_v2_canonical_carrier,True,2.493046332940855,0.22787273640565944,0.5549555048913715,0.3498,0.5,success,study01,20260811,study01/study01_p02,False
0.373125,N/A_no_clean_target,-0.13052839490572232,success_observation_relative_four_condition_ERP,sgeyesub,0.24288301999736356,0.38018185628556955,0.137298836288206,study01|layout_01|200,False,,nan,1.267395615594675,R1_full_C_residual|DIFF-WRONG-2|mechanism_g1,R1_full_C_residual|DIFF-WRONG-2|mechanism_g1,0.2293818943785968,0.9529212731027336,wide_v2_canonical_carrier,True,1.1422327071455833,0.7959296032136218,1.403540497099173,0.3498,0.5,success,study01,20260811,study01/study01_p02,False
0.373125,N/A_no_clean_target,-0.2734068225296429,success_observation_relative_four_condition_ERP,sgeyesub,0.2927606843280353,0.38018185628556955,0.08742117195753424,study01|layout_01|200,False,,nan,3.9213198820357755,R1_full_C_residual|DIFF-WRONG-3|deployment,R1_full_C_residual|DIFF-WRONG-3|deployment,0.7340352671408783,0.8587403222767057,wide_v2_canonical_carrier,True,2.679902087098378,0.23986825406627527,0.46048810443439386,0.3498,0.5,success,study01,20260811,study01/study01_p02,False
0.373125,N/A_no_clean_target,-0.2689782853037521,success_observation_relative_four_condition_ERP,sgeyesub,0.2889272691783176,0.38018185628556955,0.09125458710725193,study01|layout_01|200,False,,nan,3.9372211908976125,R1_full_C_residual|DIFF-WRONG-3|mechanism_g1,R1_full_C_residual|DIFF-WRONG-3|mechanism_g1,0.7234529209357232,0.857782072305774,wide_v2_canonical_carrier,True,2.686916657721659,0.22537934483427513,0.456333840908461,0.3498,0.5,success,study01,20260811,study01/study01_p02,False
0.373125,N/A_no_clean_target,-0.2791753239296837,success_observation_relative_four_condition_ERP,sgeyesub,0.29526595205417316,0.38018185628556955,0.08491590423139639,study01|layout_01|200,False,,nan,3.9002661475681095,R1_full_C_residual|DIFF-MATCH|gamma=0,R1_full_C_residual|DIFF-MATCH|gamma=0,0.7342188749266819,0.8624085632134018,wide_v2_canonical_carrier,True,2.667701770657007,0.2554251410727666,0.4690758348796779,0.3498,0.5,success,study01,20260811,study01/study01_p02,False
0.373125,N/A_no_clean_target,-0.3304674664685059,success_observation_relative_four_condition_ERP,sgeyesub,0.29312518079461575,0.38018185628556955,0.0870566754909538,study01|layout_01|200,False,,nan,3.128721409951952,R1_full_C_residual|DIFF-MATCH|gamma=0.25,R1_full_C_residual|DIFF-MATCH|gamma=0.25,0.672035980921644,0.9074180594640868,wide_v2_canonical_carrier,True,2.101437637535342,0.19931989087114008,0.4656560068022876,0.3498,0.5,success,study01,20260811,study01/study01_p02,False
0.373125,N/A_no_clean_target,-0.39443425026519763,success_observation_relative_four_condition_ERP,sgeyesub,0.28845298672486785,0.38018185628556955,0.0917288695607017,study01|layout_01|200,False,,nan,2.025737470188175,R1_full_C_residual|DIFF-MATCH|gamma=0.5,R1_full_C_residual|DIFF-MATCH|gamma=0.5,0.5176540819129176,0.9864277602881333,wide_v2_canonical_carrier,True,1.372187111232333,0.26430310248931427,0.5576000690643593,0.3498,0.5,success,study01,20260811,study01/study01_p02,False
0.373125,N/A_no_clean_target,-0.4694229936787413,success_observation_relative_four_condition_ERP,sgeyesub,0.2870782180093437,0.38018185628556955,0.09310363827622586,study01|layout_01|200,False,,nan,0.8124038676521006,R1_full_C_residual|DIFF-MATCH|gamma=0.75,R1_full_C_residual|DIFF-MATCH|gamma=0.75,0.33221966371554557,1.0920830948275855,wide_v2_canonical_carrier,True,0.5594268792379644,0.5473166671255179,0.7537992328383456,0.3498,0.5,success,study01,20260811,study01/study01_p02,False
