package,seed,participant,protocol,method,eog_attenuation,preservation,mi_band_distortion,covariance,mi_kappa,erd_preservation
POP8-D30,20260808,9,same_01,RAW,0.0,1.0,0.0,0.0,0.3666666666666667,1.0
POP8-D30,20260808,9,same_01,DIFF-POP8,0.07388261831982636,0.7180061340332031,0.07307134427374827,0.10876110885270483,0.4,0.9393611043573302
POP8-D30,20260808,9,same_01,DIFF-MATCH8,0.08279570028063332,0.7374946475028992,0.06712935247347751,0.109878401836071,0.33333333333333337,0.941256935827628
POP8-D30,20260808,9,same_01,LINEAR-MATCH,0.09059000252327679,0.8129734992980957,0.05334013525251659,0.061322115078721144,0.3666666666666667,0.9507351137915456
POP8-D30,20260808,9,same_01,DET-MATCH,0.09314396313268475,0.7673580199480057,0.06215901877067059,0.1171799633912222,0.2666666666666667,0.944185339126907
POP8-D30,20260808,9,same_01,DIFF-WRONG8-1,0.08793683427169605,0.7471703290939331,0.059213256149963506,0.11549772181633577,0.33333333333333337,0.9497890987743485
POP8-D30,20260808,9,same_01,DIFF-WRONG8-2,0.06960351052843584,0.7060990333557129,0.07692734804760297,0.11251981682335341,0.4,0.9357233162797931
POP8-D30,20260808,9,same_01,DIFF-WRONG8-3,0.06958310821424271,0.7113055884838104,0.07553341240171435,0.10830560237456431,0.4,0.9376137567849888
POP8-D30,20260808,9,same_01,DIFF-WRONG8-4,0.0643675069873805,0.7155520617961884,0.07504415201327233,0.10922495876912537,0.3666666666666667,0.9434698544587109
POP8-D30,20260808,9,same_01,DIFF-WRONG8-5,0.07125322644808336,0.7080579400062561,0.07494078639605149,0.11043791037011878,0.43333333333333335,0.9360324062798359
POP8-D30,20260808,9,same_01,DIFF-WRONG8-6,0.07891716971165874,0.7122315466403961,0.0730360235551726,0.11352433798226397,0.2666666666666667,0.9332182798863047
POP8-D30,20260808,9,same_01,DIFF-WRONG8-7,0.08194716387765598,0.7298177778720856,0.06697411493397298,0.11271500169003049,0.30000000000000004,0.9432773565948575
POP8-D30,20260808,9,same_01,DIFF-WRONG8-8,0.08492895709923351,0.741401731967926,0.06455918667258655,0.10958846219782802,0.30000000000000004,0.9420529334522895
POP8-D30,20260808,9,same_02,RAW,0.0,1.0,0.0,0.0,0.33333333333333337,1.0
POP8-D30,20260808,9,same_02,DIFF-POP8,0.05741056725431479,0.7454171776771545,0.06125843589527635,0.11874424055725973,0.1333333333333333,0.9539665469155298
POP8-D30,20260808,9,same_02,DIFF-MATCH8,0.0585575095057316,0.7484696805477142,0.06023394478997374,0.12231972180588827,0.09999999999999998,0.9534529743376186
POP8-D30,20260808,9,same_02,LINEAR-MATCH,0.048508937386213785,0.7628435492515564,0.057481247410775406,0.07662161114143366,0.19999999999999996,0.9626579814629528
POP8-D30,20260808,9,same_02,DET-MATCH,0.06509324507659987,0.7603033483028412,0.05926198156592717,0.12952828863089472,0.2666666666666667,0.9544461743556177
POP8-D30,20260808,9,same_02,DIFF-WRONG8-1,0.05596812080165599,0.745839387178421,0.05872550422317405,0.12394276838554379,0.19999999999999996,0.9553173726666278
POP8-D30,20260808,9,same_02,DIFF-WRONG8-2,0.059750698813111194,0.7500939816236496,0.056487927277003656,0.11615046966008775,0.1333333333333333,0.9562863502437027
POP8-D30,20260808,9,same_02,DIFF-WRONG8-3,0.04267726534758198,0.7333686649799347,0.06326689160911166,0.11883704245285334,0.30000000000000004,0.9552012167022792
POP8-D30,20260808,9,same_02,DIFF-WRONG8-4,0.05511068800255155,0.7489432990550995,0.058636188180256496,0.122162312230577,0.1333333333333333,0.9554664673450858
POP8-D30,20260808,9,same_02,DIFF-WRONG8-5,0.04925317159593556,0.7359639704227448,0.06034662517616466,0.11322113516810386,0.19999999999999996,0.95843007580034
