package,seed,participant,protocol,method,rrmse,correlation,delta_snr,paired_spectral_utility
POP8-D30,20260811,5,same_01,RAW,1.2696977853775024,0.6191969472505824,0.0,0.0
POP8-D30,20260811,5,same_01,DIFF-POP8,0.19647635519504547,0.9804822602965432,16.207801818847656,0.11123650521039963
POP8-D30,20260811,5,same_01,DIFF-MATCH8,0.19196385145187378,0.9813552573695024,16.409618377685547,0.10299322754144669
POP8-D30,20260811,5,same_01,LINEAR-MATCH,0.47352656722068787,0.9049134745097968,8.567120552062988,0.13085903972387314
POP8-D30,20260811,5,same_01,DET-MATCH,0.22509726881980896,0.975018913792498,15.026603698730469,0.101681649684906
POP8-D30,20260811,5,same_01,DIFF-WRONG8-1,0.5611034035682678,0.8660429912661494,7.093149185180664,0.10265675187110901
POP8-D30,20260811,5,same_01,DIFF-WRONG8-2,0.21257023513317108,0.9772505236764595,15.523959159851074,0.10008534044027328
POP8-D30,20260811,5,same_01,DIFF-WRONG8-3,0.21380363404750824,0.9769211541598559,15.47370719909668,0.09383727610111237
POP8-D30,20260811,5,same_01,DIFF-WRONG8-4,0.3034394085407257,0.9548170637351419,12.43256950378418,0.10978806763887405
POP8-D30,20260811,5,same_01,DIFF-WRONG8-6,0.2346717119216919,0.9724854423169399,14.664793968200684,0.1015193834900856
POP8-D30,20260811,5,same_01,DIFF-WRONG8-7,0.2211616337299347,0.9755757096615654,15.179811477661133,0.10909407585859299
POP8-D30,20260811,5,same_01,DIFF-WRONG8-8,0.19171665608882904,0.9815958309590842,16.42081069946289,0.10977664589881897
POP8-D30,20260811,5,same_01,DIFF-WRONG8-9,0.18005070090293884,0.9837456665314434,16.966110229492188,0.11121267825365067
POP8-D30,20260811,5,same_02,RAW,0.38967233896255493,0.9326669000557968,0.0,0.0
POP8-D30,20260811,5,same_02,DIFF-POP8,0.14841000735759735,0.9890064531124593,8.384727478027344,0.14612840861082077
POP8-D30,20260811,5,same_02,DIFF-MATCH8,0.11561007052659988,0.9934150930454047,10.554079055786133,0.1679353043437004
POP8-D30,20260811,5,same_02,LINEAR-MATCH,0.13228340446949005,0.9913052045589598,9.38388442993164,0.1857709102332592
POP8-D30,20260811,5,same_02,DET-MATCH,0.11259917169809341,0.9936363762491432,10.783287048339844,0.17293592542409897
POP8-D30,20260811,5,same_02,DIFF-WRONG8-1,0.14954981207847595,0.9889556103127457,8.318273544311523,0.14571993798017502
POP8-D30,20260811,5,same_02,DIFF-WRONG8-2,0.18007820844650269,0.9838592603104066,6.704769134521484,0.13018660247325897
POP8-D30,20260811,5,same_02,DIFF-WRONG8-3,0.154500812292099,0.9880218580210584,8.03537654876709,0.15758086740970612
POP8-D30,20260811,5,same_02,DIFF-WRONG8-4,0.15456901490688324,0.9880089549160179,8.03154182434082,0.14205613732337952
POP8-D30,20260811,5,same_02,DIFF-WRONG8-6,0.12839581072330475,0.9917836675446626,9.642973899841309,0.16573476791381836
POP8-D30,20260811,5,same_02,DIFF-WRONG8-7,0.14661623537540436,0.9892684267214923,8.490350723266602,0.1382533684372902
POP8-D30,20260811,5,same_02,DIFF-WRONG8-8,0.1488398313522339,0.9890291013138299,8.359607696533203,0.14424771815538406
POP8-D30,20260811,5,same_02,DIFF-WRONG8-9,0.1594453901052475,0.9873005008058557,7.761752605438232,0.14140627533197403
POP8-D30,20260811,5,same_03,RAW,0.5438153743743896,0.8779989001189236,0.0,0.0
POP8-D30,20260811,5,same_03,DIFF-POP8,0.23517446219921112,0.9718799500982471,7.281226634979248,0.09447162598371506
POP8-D30,20260811,5,same_03,DIFF-MATCH8,0.21975162625312805,0.9755206982145936,7.870387554168701,0.07806131988763809
POP8-D30,20260811,5,same_03,LINEAR-MATCH,0.23793591558933258,0.973884568715197,7.179830074310303,0.009085521101951599
POP8-D30,20260811,5,same_03,DET-MATCH,0.2119949609041214,0.9775886041699409,8.18251895904541,0.06278287619352341
POP8-D30,20260811,5,same_03,DIFF-WRONG8-1,0.18311074376106262,0.9832431391941062,9.454752922058105,0.10596280544996262
POP8-D30,20260811,5,same_03,DIFF-WRONG8-2,0.3538646996021271,0.9380838186170481,3.732285261154175,0.0654669851064682
POP8-D30,20260811,5,same_03,DIFF-WRONG8-3,0.25926950573921204,0.9657731366625466,6.4340009689331055,0.08466576784849167
POP8-D30,20260811,5,same_03,DIFF-WRONG8-4,0.18156705796718597,0.9833261044227075,9.528287887573242,0.10628974437713623
POP8-D30,20260811,5,same_03,DIFF-WRONG8-6,0.5768933296203613,0.8520381395715505,-0.5128810405731201,0.03477700054645538
POP8-D30,20260811,5,same_03,DIFF-WRONG8-7,0.2993832230567932,0.954332071465961,5.184480667114258,0.0789114460349083
POP8-D30,20260811,5,same_03,DIFF-WRONG8-8,0.21010668575763702,0.9775501961219883,8.260231971740723,0.09793412685394287
POP8-D30,20260811,5,same_03,DIFF-WRONG8-9,0.22696353495121002,0.9739360619719123,7.589907646179199,0.09801556169986725
POP8-D60,20260811,5,same_01,RAW,1.2696977853775024,0.6191969472505824,0.0,0.0
POP8-D60,20260811,5,same_01,DIFF-POP8,0.19307337701320648,0.9811434959183368,16.359561920166016,0.11147464066743851
POP8-D60,20260811,5,same_01,DIFF-MATCH8,0.197687029838562,0.9802005773203712,16.154443740844727,0.10696087032556534
POP8-D60,20260811,5,same_01,LINEAR-MATCH,0.3817560076713562,0.9352535757966405,10.438289642333984,0.13952090218663216
POP8-D60,20260811,5,same_01,DET-MATCH,0.234712615609169,0.9726749470344511,14.663278579711914,0.10860468447208405
POP8-D60,20260811,5,same_01,DIFF-WRONG8-1,0.43694064021110535,0.912320242094408,9.265558242797852,0.10408462584018707
POP8-D60,20260811,5,same_01,DIFF-WRONG8-2,0.21045656502246857,0.9776535062853665,15.610757827758789,0.10028766095638275
POP8-D60,20260811,5,same_01,DIFF-WRONG8-3,0.2351507544517517,0.9722884592420677,14.647079467773438,0.0893353819847107
POP8-D60,20260811,5,same_01,DIFF-WRONG8-4,0.2619606554508209,0.9658809699391808,13.7092866897583,0.11078106611967087
POP8-D60,20260811,5,same_01,DIFF-WRONG8-6,0.2244846522808075,0.9747122673064064,15.050275802612305,0.1054336354136467
POP8-D60,20260811,5,same_01,DIFF-WRONG8-7,0.21623340249061584,0.9766224541330671,15.375553131103516,0.10956887155771255
POP8-D60,20260811,5,same_01,DIFF-WRONG8-8,0.1832527071237564,0.9830959410361382,16.812999725341797,0.11050452291965485
POP8-D60,20260811,5,same_01,DIFF-WRONG8-9,0.18074747920036316,0.9836117775687465,16.93256187438965,0.11089658737182617
POP8-D60,20260811,5,same_02,RAW,0.38967233896255493,0.9326669000557968,0.0,0.0
POP8-D60,20260811,5,same_02,DIFF-POP8,0.16268351674079895,0.986781939792193,7.58712100982666,0.15021196752786636
POP8-D60,20260811,5,same_02,DIFF-MATCH8,0.14051882922649384,0.9901298700119741,8.859301567077637,0.16944176703691483
POP8-D60,20260811,5,same_02,LINEAR-MATCH,0.11168991029262543,0.9937575188427062,10.85371208190918,0.16297117620706558
POP8-D60,20260811,5,same_02,DET-MATCH,0.13309533894062042,0.9910921475505113,9.330734252929688,0.16969861090183258
POP8-D60,20260811,5,same_02,DIFF-WRONG8-1,0.15234637260437012,0.9885206125348769,8.157349586486816,0.15119435638189316
POP8-D60,20260811,5,same_02,DIFF-WRONG8-2,0.1818862408399582,0.9834856041907416,6.617994785308838,0.13632173091173172
POP8-D60,20260811,5,same_02,DIFF-WRONG8-3,0.16460031270980835,0.9863890102763833,7.485379219055176,0.15966924279928207
POP8-D60,20260811,5,same_02,DIFF-WRONG8-4,0.16172297298908234,0.9869195840576875,7.638557434082031,0.1448451429605484
POP8-D60,20260811,5,same_02,DIFF-WRONG8-6,0.19248105585575104,0.9814144175761315,6.126232147216797,0.1456165388226509
POP8-D60,20260811,5,same_02,DIFF-WRONG8-7,0.16302070021629333,0.9867158849544613,7.569136619567871,0.1414077952504158
POP8-D60,20260811,5,same_02,DIFF-WRONG8-8,0.1625293642282486,0.9868093894302497,7.595355033874512,0.1512594372034073
POP8-D60,20260811,5,same_02,DIFF-WRONG8-9,0.1816490739583969,0.9835255476147975,6.629327774047852,0.13744018971920013
