package,seed,participant,protocol,method,rrmse,correlation,delta_snr,paired_spectral_utility
POP8-D30,20260811,4,same_01,RAW,0.41136810183525085,0.927249593745963,0.0,0.0
POP8-D30,20260811,4,same_01,DIFF-POP8,0.12492206692695618,0.9921842460200007,10.351829528808594,0.171069897711277
POP8-D30,20260811,4,same_01,DIFF-MATCH8,0.09344176203012466,0.9956552059846961,12.873791694641113,0.17581500858068466
POP8-D30,20260811,4,same_01,LINEAR-MATCH,0.061611074954271317,0.9981320266854401,16.491436004638672,0.198054987937212
POP8-D30,20260811,4,same_01,DET-MATCH,0.1134931743144989,0.9946742633184766,11.185216903686523,0.16497765481472015
POP8-D30,20260811,4,same_01,DIFF-WRONG8-1,0.12866409122943878,0.9916910734284915,10.095464706420898,0.1402885764837265
POP8-D30,20260811,4,same_01,DIFF-WRONG8-2,0.15973137319087982,0.987165613151272,8.21680736541748,0.1667359173297882
POP8-D30,20260811,4,same_01,DIFF-WRONG8-3,0.14413894712924957,0.9895564882277231,9.10898494720459,0.16560015082359314
POP8-D30,20260811,4,same_01,DIFF-WRONG8-5,0.15895095467567444,0.9872813966652598,8.259349822998047,0.15875139087438583
POP8-D30,20260811,4,same_01,DIFF-WRONG8-6,0.18782728910446167,0.9823057471178321,6.8094377517700195,0.14456957578659058
POP8-D30,20260811,4,same_01,DIFF-WRONG8-7,0.14951945841312408,0.9887590017576476,8.790657043457031,0.15192396193742752
POP8-D30,20260811,4,same_01,DIFF-WRONG8-8,0.11565954983234406,0.9932981541997905,11.02098274230957,0.15607712417840958
POP8-D30,20260811,4,same_01,DIFF-WRONG8-9,0.10643113404512405,0.9943245193865187,11.743239402770996,0.16101998090744019
POP8-D30,20260811,4,same_02,RAW,0.46032410860061646,0.9072802347681396,0.0,0.0
POP8-D30,20260811,4,same_02,DIFF-POP8,0.15508005023002625,0.9881312544642216,9.450155258178711,0.06637159734964371
POP8-D30,20260811,4,same_02,DIFF-MATCH8,0.13494448363780975,0.9909499074642171,10.658170700073242,0.07613980025053024
POP8-D30,20260811,4,same_02,LINEAR-MATCH,0.1705920249223709,0.9857901155679747,8.622099876403809,0.09168800711631775
POP8-D30,20260811,4,same_02,DET-MATCH,0.14946429431438446,0.9893575878699528,9.770524978637695,0.06875427812337875
POP8-D30,20260811,4,same_02,DIFF-WRONG8-1,0.15429450571537018,0.9882179025067662,9.494264602661133,0.0675579234957695
POP8-D30,20260811,4,same_02,DIFF-WRONG8-2,0.22367703914642334,0.9752779327900392,6.2688469886779785,0.050630420446395874
POP8-D30,20260811,4,same_02,DIFF-WRONG8-3,0.1987481415271759,0.9805200231655608,7.295212745666504,0.04286262392997742
POP8-D30,20260811,4,same_02,DIFF-WRONG8-5,0.17818646132946014,0.984398937593431,8.243780136108398,0.031025856733322144
POP8-D30,20260811,4,same_02,DIFF-WRONG8-6,0.2774888277053833,0.9632259886556918,4.396364212036133,0.026396170258522034
POP8-D30,20260811,4,same_02,DIFF-WRONG8-7,0.14907455444335938,0.9889993545908898,9.793203353881836,0.07658568769693375
POP8-D30,20260811,4,same_02,DIFF-WRONG8-8,0.1592174619436264,0.9874967658747421,9.221460342407227,0.06293446570634842
POP8-D30,20260811,4,same_02,DIFF-WRONG8-9,0.143036350607872,0.9899056861959604,10.152345657348633,0.07707006484270096
POP8-D30,20260811,4,same_03,RAW,0.27097582817077637,0.9673785457663677,0.0,0.0
POP8-D30,20260811,4,same_03,DIFF-POP8,0.13637854158878326,0.9911925701049329,5.963690280914307,0.07128746062517166
POP8-D30,20260811,4,same_03,DIFF-MATCH8,0.10291483253240585,0.9949167626936463,8.409051895141602,0.09318967163562775
POP8-D30,20260811,4,same_03,LINEAR-MATCH,0.07105886191129684,0.997489302596969,11.62624740600586,0.12854162976145744
POP8-D30,20260811,4,same_03,DET-MATCH,0.10828179121017456,0.9945920673566182,7.967503070831299,0.0894378051161766
POP8-D30,20260811,4,same_03,DIFF-WRONG8-1,0.09637469053268433,0.9954264979928037,8.979351043701172,0.09816301986575127
POP8-D30,20260811,4,same_03,DIFF-WRONG8-2,0.17409998178482056,0.9858518504472362,3.842637300491333,0.043415337800979614
POP8-D30,20260811,4,same_03,DIFF-WRONG8-3,0.14607447385787964,0.9899165381729012,5.367124557495117,0.061071597039699554
POP8-D30,20260811,4,same_03,DIFF-WRONG8-5,0.15101797878742218,0.9895123308637506,5.078038215637207,0.0545472726225853
POP8-D30,20260811,4,same_03,DIFF-WRONG8-6,0.1929558366537094,0.9820784629766154,2.9494526386260986,0.04634910821914673
POP8-D30,20260811,4,same_03,DIFF-WRONG8-7,0.13081854581832886,0.9914181514980057,6.325224876403809,0.07100743800401688
