package,seed,participant,protocol,method,rrmse,correlation,delta_snr,paired_spectral_utility
POP8-D30,20260810,9,same_01,RAW,0.42463502287864685,0.9213587847764606,0.0,0.0
POP8-D30,20260810,9,same_01,DIFF-POP8,0.10411012917757034,0.9946284352478713,12.210455894470215,0.24031489342451096
POP8-D30,20260810,9,same_01,DIFF-MATCH8,0.14375218749046326,0.9898161181990781,9.408026695251465,0.20829641819000244
POP8-D30,20260810,9,same_01,LINEAR-MATCH,0.1926828771829605,0.9819846732042928,6.8634538650512695,0.17232763767242432
POP8-D30,20260810,9,same_01,DET-MATCH,0.17528928816318512,0.985332273657664,7.685208320617676,0.1769101619720459
POP8-D30,20260810,9,same_01,DIFF-WRONG8-1,0.1925887167453766,0.9817303262892186,6.867699146270752,0.175489604473114
POP8-D30,20260810,9,same_01,DIFF-WRONG8-2,0.10070306062698364,0.9949361230126845,12.499462127685547,0.24514006823301315
POP8-D30,20260810,9,same_01,DIFF-WRONG8-3,0.12378442287445068,0.9923632169718262,10.706995964050293,0.23583968728780746
POP8-D30,20260810,9,same_01,DIFF-WRONG8-4,0.12635838985443115,0.9920650165484681,10.528234481811523,0.2275911048054695
POP8-D30,20260810,9,same_01,DIFF-WRONG8-5,0.11274648457765579,0.9936578927033332,11.518257141113281,0.23915595561265945
POP8-D30,20260810,9,same_01,DIFF-WRONG8-6,0.16668440401554108,0.9860619126427035,8.122416496276855,0.20205912739038467
POP8-D30,20260810,9,same_01,DIFF-WRONG8-7,0.15402264893054962,0.988202406430531,8.808624267578125,0.20363660156726837
POP8-D30,20260810,9,same_01,DIFF-WRONG8-8,0.15489433705806732,0.9881927912789104,8.759604454040527,0.20263201743364334
POP8-D30,20260810,9,same_02,RAW,0.39713260531425476,0.9301812702034131,0.0,0.0
POP8-D30,20260810,9,same_02,DIFF-POP8,0.09589307010173798,0.9955605906834197,12.34296703338623,0.2219957523047924
POP8-D30,20260810,9,same_02,DIFF-MATCH8,0.10314033180475235,0.9948035922171052,11.710140228271484,0.22071589156985283
POP8-D30,20260810,9,same_02,LINEAR-MATCH,0.04418029636144638,0.9990242058557832,19.074138641357422,0.25896391086280346
POP8-D30,20260810,9,same_02,DET-MATCH,0.11098311841487885,0.994126211826433,11.073572158813477,0.21274742484092712
POP8-D30,20260810,9,same_02,DIFF-WRONG8-1,0.12209608405828476,0.992610982550246,10.244675636291504,0.2092452049255371
POP8-D30,20260810,9,same_02,DIFF-WRONG8-2,0.1418742537498474,0.9898891990823663,8.940638542175293,0.19228145480155945
POP8-D30,20260810,9,same_02,DIFF-WRONG8-3,0.1517132818698883,0.9884127533637996,8.35823917388916,0.17322998493909836
POP8-D30,20260810,9,same_02,DIFF-WRONG8-4,0.1132066547870636,0.9936515976400973,10.90127182006836,0.21691055595874786
POP8-D30,20260810,9,same_02,DIFF-WRONG8-5,0.12773652374744415,0.9918745471171523,9.852408409118652,0.19956722855567932
POP8-D30,20260810,9,same_02,DIFF-WRONG8-6,0.1550644189119339,0.9878951759492521,8.16846752166748,0.17444033920764923
POP8-D30,20260810,9,same_02,DIFF-WRONG8-7,0.10930415242910385,0.9941104872871422,11.205978393554688,0.21339023113250732
POP8-D30,20260810,9,same_02,DIFF-WRONG8-8,0.11172087490558624,0.993878426469966,11.016024589538574,0.21569132059812546
POP8-D30,20260810,9,same_03,RAW,0.4501093327999115,0.9131974779932596,0.0,0.0
POP8-D30,20260810,9,same_03,DIFF-POP8,0.23865404725074768,0.9722389793827808,5.510985374450684,0.06312768161296844
POP8-D30,20260810,9,same_03,DIFF-MATCH8,0.18615154922008514,0.9826177885400619,7.669028282165527,0.10817765444517136
POP8-D30,20260810,9,same_03,LINEAR-MATCH,0.1338919848203659,0.9914874273526749,10.531269073486328,0.15232671797275543
POP8-D30,20260810,9,same_03,DET-MATCH,0.1838325709104538,0.9840414413676728,7.777911186218262,0.12691142410039902
POP8-D30,20260810,9,same_03,DIFF-WRONG8-1,0.18948744237422943,0.9818655093838877,7.514751434326172,0.11893071979284286
POP8-D30,20260810,9,same_03,DIFF-WRONG8-2,0.31915152072906494,0.9540376611869774,2.986422061920166,0.022686481475830078
POP8-D30,20260810,9,same_03,DIFF-WRONG8-3,0.25548383593559265,0.9686615692938273,4.919091701507568,0.04806192219257355
POP8-D30,20260810,9,same_03,DIFF-WRONG8-4,0.20529980957508087,0.9790541081529429,6.818589687347412,0.09837944060564041
POP8-D30,20260810,9,same_03,DIFF-WRONG8-5,0.27053239941596985,0.9671059896279735,4.4219746589660645,0.042963966727256775
POP8-D30,20260810,9,same_03,DIFF-WRONG8-6,0.445905476808548,0.9112225566509807,0.08150428533554077,0.007359325885772705
