participant,role,dataset,blocks,trials,trials_per_condition,channels,samples,source_sampling_rate,model_sampling_rate
1,R,Day_1,4,320,160,57,200,1000,250
1,T,Day_7,4,318,159,57,200,1000,250
1,G,Day_80,4,314,157,57,200,1000,250
2,R,Day_1,4,324,162,57,200,1000,250
2,T,Day_7,4,318,159,57,200,1000,250
2,G,Day_80,4,318,159,57,200,1000,250
3,R,Day_1,4,316,158,57,200,1000,250
3,T,Day_7,4,314,157,57,200,1000,250
3,G,Day_80,4,318,159,57,200,1000,250
4,R,Day_1,4,332,166,57,200,1000,250
4,T,Day_7,4,318,159,57,200,1000,250
4,G,Day_80,4,314,157,57,200,1000,250
5,R,Day_1,4,310,155,57,200,1000,250
5,T,Day_7,4,306,153,57,200,1000,250
5,G,Day_80,4,306,153,57,200,1000,250
6,R,Day_1,4,322,161,57,200,1000,250
6,T,Day_7,4,318,159,57,200,1000,250
6,G,Day_80,4,318,159,57,200,1000,250
7,R,Day_1,4,318,159,57,200,1000,250
7,T,Day_7,4,318,159,57,200,1000,250
7,G,Day_80,4,318,159,57,200,1000,250
8,R,Day_1,4,318,159,57,200,1000,250
8,T,Day_7,4,318,159,57,200,1000,250
8,G,Day_80,4,314,157,57,200,1000,250
9,R,Day_1,4,318,159,57,200,1000,250
9,T,Day_7,4,314,157,57,200,1000,250
9,G,Day_80,4,316,158,57,200,1000,250
10,R,Day_1,4,306,153,57,200,1000,250
10,T,Day_7,4,306,153,57,200,1000,250
10,G,Day_80,4,306,153,57,200,1000,250
11,R,Day_1,4,306,153,57,200,1000,250
11,T,Day_7,4,318,159,57,200,1000,250
11,G,Day_80,4,302,151,57,200,1000,250
12,R,Day_1,4,318,159,57,200,1000,250
12,T,Day_7,4,314,157,57,200,1000,250
12,G,Day_80,4,314,157,57,200,1000,250
13,R,Day_1,4,318,159,57,200,1000,250
13,T,Day_7,4,316,158,57,200,1000,250
13,G,Day_80,4,314,157,57,200,1000,250
14,R,Day_1,4,318,159,57,200,1000,250
14,T,Day_7,4,318,159,57,200,1000,250
14,G,Day_80,4,318,159,57,200,1000,250
15,R,Day_1,4,318,159,57,200,1000,250
15,T,Day_7,4,320,160,57,200,1000,250
15,G,Day_80,4,318,159,57,200,1000,250
